Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,364.0,441.99,34.12,9.8,eia.gov,false,
2024-01-01 01:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,364.18,442.16,34.13,9.82,eia.gov,false,
2024-01-01 02:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,358.94,436.42,34.77,10.08,eia.gov,false,
2024-01-01 03:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,358.09,435.77,34.66,9.93,eia.gov,false,
2024-01-01 04:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,381.26,463.64,29.65,4.26,eia.gov,false,
2024-01-01 05:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,390.06,473.3,28.37,2.01,eia.gov,false,
2024-01-01 06:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,389.7,472.48,28.68,2.03,eia.gov,false,
2024-01-01 07:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,388.48,470.99,28.9,2.04,eia.gov,false,
2024-01-01 08:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,389.37,471.87,28.87,2.09,eia.gov,false,
2024-01-01 09:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,389.61,472.67,28.48,1.98,eia.gov,false,
2024-01-01 10:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,383.38,465.25,29.88,3.79,eia.gov,false,
2024-01-01 11:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,373.81,454.0,31.79,6.33,eia.gov,false,
2024-01-01 12:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,366.43,445.2,33.42,8.85,eia.gov,false,
2024-01-01 13:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,350.67,427.0,36.33,11.89,eia.gov,false,
2024-01-01 14:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,326.67,398.85,41.1,17.19,eia.gov,false,
2024-01-01 15:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,319.38,390.02,42.78,18.86,eia.gov,false,
2024-01-01 16:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,322.55,393.91,41.97,17.83,eia.gov,false,
2024-01-01 17:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,319.48,390.17,42.69,18.53,eia.gov,false,
2024-01-01 18:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,320.08,390.75,42.65,18.32,eia.gov,false,
2024-01-01 19:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,326.09,397.87,41.37,16.83,eia.gov,false,
2024-01-01 20:00:00,USA,South Carolina Electric & Gas Company,US-CAR-SCEG,334.82,407.72,39.87,14.49,eia.gov,false,
