Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,767.55,865.65,6.95,2.65,eia.gov,false,
2024-01-01 01:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,773.47,872.27,6.39,2.52,eia.gov,false,
2024-01-01 02:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,768.85,867.42,6.62,2.75,eia.gov,false,
2024-01-01 03:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,766.49,865.1,6.55,2.68,eia.gov,false,
2024-01-01 04:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,766.17,865.09,6.28,2.57,eia.gov,false,
2024-01-01 05:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,772.23,871.81,5.82,2.39,eia.gov,false,
2024-01-01 06:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,766.97,866.42,5.95,2.44,eia.gov,false,
2024-01-01 07:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,764.27,863.31,6.26,2.58,eia.gov,false,
2024-01-01 08:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,768.43,868.0,5.81,2.42,eia.gov,false,
2024-01-01 09:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,763.67,862.85,6.23,2.46,eia.gov,false,
2024-01-01 10:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,768.2,867.29,6.25,2.43,eia.gov,false,
2024-01-01 11:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,760.26,858.74,6.83,2.69,eia.gov,false,
2024-01-01 12:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,765.27,864.1,6.55,2.71,eia.gov,false,
2024-01-01 13:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,766.99,865.73,6.61,2.77,eia.gov,false,
2024-01-01 14:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,769.11,867.8,6.65,2.83,eia.gov,false,
2024-01-01 15:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,769.62,868.14,6.84,3.07,eia.gov,false,
2024-01-01 16:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,770.26,868.63,6.92,3.04,eia.gov,false,
2024-01-01 17:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,769.38,867.57,6.95,3.01,eia.gov,false,
2024-01-01 18:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,771.32,869.48,6.86,2.83,eia.gov,false,
2024-01-01 19:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,762.54,860.2,7.45,3.16,eia.gov,false,
2024-01-01 20:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,763.02,860.68,7.39,3.16,eia.gov,false,
2024-01-01 21:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,765.24,862.81,7.33,3.25,eia.gov,false,
2024-01-01 22:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,767.25,864.7,7.44,3.41,eia.gov,false,
2024-01-01 23:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,778.35,876.31,6.96,3.3,eia.gov,false,
2024-01-02 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,779.19,877.17,6.88,3.46,eia.gov,false,
2024-01-02 01:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,772.61,870.52,7.07,3.66,eia.gov,false,
2024-01-02 02:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,764.88,862.35,7.54,4.1,eia.gov,false,
2024-01-02 03:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,764.15,861.65,7.47,4.29,eia.gov,false,
2024-01-02 04:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,753.15,850.18,8.09,4.79,eia.gov,false,
2024-01-02 05:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,749.1,846.16,8.21,4.84,eia.gov,false,
2024-01-02 06:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,743.08,839.79,8.55,5.36,eia.gov,false,
2024-01-02 07:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,748.38,845.7,7.93,5.15,eia.gov,false,
2024-01-02 08:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,749.59,847.15,7.69,4.9,eia.gov,false,
2024-01-02 09:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,750.06,847.44,7.82,4.86,eia.gov,false,
2024-01-02 10:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,756.58,854.24,7.44,4.41,eia.gov,false,
2024-01-02 11:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,761.49,858.96,7.39,4.07,eia.gov,false,
2024-01-02 12:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,772.92,870.83,6.83,3.78,eia.gov,false,
2024-01-02 13:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,780.86,878.9,6.53,3.61,eia.gov,false,
2024-01-02 14:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,780.06,877.94,6.77,3.67,eia.gov,false,
2024-01-02 15:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,783.81,881.8,6.57,3.46,eia.gov,false,
2024-01-02 16:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,780.55,878.54,6.7,3.33,eia.gov,false,
2024-01-02 17:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,787.31,885.82,6.13,3.06,eia.gov,false,
2024-01-02 18:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,780.34,878.4,6.57,3.16,eia.gov,false,
2024-01-02 19:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,776.77,874.66,6.8,3.29,eia.gov,false,
2024-01-02 20:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,778.25,876.41,6.6,3.05,eia.gov,false,
2024-01-02 21:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,776.14,874.16,6.65,3.04,eia.gov,false,
2024-01-02 22:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,793.65,892.64,5.63,2.42,eia.gov,false,
2024-01-02 23:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,806.3,905.62,5.08,2.3,eia.gov,false,
2024-01-03 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,811.66,911.18,4.75,2.26,eia.gov,false,
2024-01-03 01:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,812.35,912.01,4.5,2.34,eia.gov,false,
2024-01-03 02:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,789.82,888.21,5.8,2.94,eia.gov,false,
2024-01-03 03:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,789.07,887.6,5.63,2.88,eia.gov,false,
2024-01-03 04:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,784.07,882.57,5.71,2.89,eia.gov,false,
2024-01-03 05:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,780.82,879.39,5.77,2.85,eia.gov,false,
2024-01-03 06:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,779.64,878.23,5.73,2.8,eia.gov,false,
2024-01-03 07:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,780.01,878.55,5.7,2.67,eia.gov,false,
2024-01-03 08:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,791.85,890.92,5.02,2.35,eia.gov,false,
2024-01-03 09:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,800.1,899.46,4.77,2.17,eia.gov,false,
2024-01-03 10:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,803.85,903.11,4.93,2.24,eia.gov,false,
2024-01-03 11:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,811.99,911.45,4.75,2.25,eia.gov,false,
2024-01-03 12:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,800.03,901.27,3.83,2.12,eia.gov,false,
2024-01-03 13:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,795.87,896.92,4.09,2.25,eia.gov,false,
2024-01-03 14:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,799.2,899.36,4.64,2.43,eia.gov,false,
2024-01-03 15:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,788.39,887.14,5.93,2.89,eia.gov,false,
2024-01-03 16:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,783.88,882.72,6.01,2.67,eia.gov,false,
2024-01-03 17:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,778.04,876.6,6.28,2.72,eia.gov,false,
2024-01-03 18:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,776.75,875.32,6.15,2.76,eia.gov,false,
2024-01-03 19:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,775.71,874.33,6.21,2.71,eia.gov,false,
2024-01-03 20:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,773.12,871.57,6.33,2.72,eia.gov,false,
2024-01-03 21:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,775.86,874.47,6.18,2.68,eia.gov,false,
2024-01-03 22:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,796.62,896.26,5.05,2.23,eia.gov,false,
2024-01-03 23:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,809.52,909.72,4.41,2.04,eia.gov,false,
2024-01-04 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,821.51,922.43,3.62,1.87,eia.gov,false,
2024-01-04 01:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,824.29,925.31,3.47,1.82,eia.gov,false,
2024-01-04 02:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,823.77,924.82,3.45,1.81,eia.gov,false,
2024-01-04 03:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,812.53,912.86,4.22,2.02,eia.gov,false,
2024-01-04 04:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,787.19,886.69,5.18,2.39,eia.gov,false,
2024-01-04 05:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,784.77,884.52,5.03,2.34,eia.gov,false,
2024-01-04 06:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,786.44,886.47,4.82,2.27,eia.gov,false,
2024-01-04 07:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,782.91,882.77,5.03,2.35,eia.gov,false,
2024-01-04 08:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,783.03,882.91,4.96,2.36,eia.gov,false,
2024-01-04 09:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,788.77,888.9,4.75,2.29,eia.gov,false,
2024-01-04 10:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,792.0,891.82,4.93,2.39,eia.gov,false,
2024-01-04 11:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,815.03,916.3,3.56,2.01,eia.gov,false,
2024-01-04 12:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,819.75,920.68,3.7,2.04,eia.gov,false,
2024-01-04 13:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,823.53,924.62,3.47,2.0,eia.gov,false,
2024-01-04 14:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,814.35,914.85,4.2,2.23,eia.gov,false,
2024-01-04 15:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,793.53,892.94,5.49,2.64,eia.gov,false,
2024-01-04 16:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,784.23,883.23,5.9,2.7,eia.gov,false,
2024-01-04 17:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,780.66,878.83,6.57,2.79,eia.gov,false,
2024-01-04 18:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,772.96,870.67,6.96,2.85,eia.gov,false,
2024-01-04 19:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,771.15,868.98,6.83,2.67,eia.gov,false,
2024-01-04 20:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,772.22,870.28,6.63,2.57,eia.gov,false,
2024-01-04 21:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,772.94,871.17,6.46,2.33,eia.gov,false,
2024-01-04 22:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,775.36,874.05,6.16,2.25,eia.gov,false,
2024-01-04 23:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,794.15,893.2,5.66,2.44,eia.gov,false,
2024-01-05 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,795.31,894.31,5.66,2.58,eia.gov,false,
2024-01-05 01:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,792.45,891.31,5.75,2.63,eia.gov,false,
2024-01-05 02:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,793.67,892.24,5.94,2.64,eia.gov,false,
2024-01-05 03:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,790.62,888.92,6.05,2.6,eia.gov,false,
2024-01-05 04:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,780.31,878.0,6.5,2.79,eia.gov,false,
2024-01-05 05:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,772.13,869.4,6.89,2.92,eia.gov,false,
2024-01-05 06:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,768.48,865.63,7.04,3.01,eia.gov,false,
2024-01-05 07:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,768.42,865.67,6.97,3.02,eia.gov,false,
2024-01-05 08:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,765.07,862.08,7.14,3.09,eia.gov,false,
2024-01-05 09:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,766.32,863.22,7.26,3.08,eia.gov,false,
2024-01-05 10:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,782.11,879.72,6.44,2.88,eia.gov,false,
2024-01-05 11:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,773.28,871.55,6.35,2.87,eia.gov,false,
2024-01-05 12:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,774.78,873.08,6.43,3.09,eia.gov,false,
2024-01-05 13:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,776.95,875.31,6.38,3.17,eia.gov,false,
2024-01-05 14:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,777.58,876.19,6.27,3.05,eia.gov,false,
2024-01-05 15:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,785.08,883.12,6.53,3.05,eia.gov,false,
2024-01-05 16:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,781.46,879.55,6.66,3.08,eia.gov,false,
2024-01-05 17:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,777.27,875.17,6.84,3.1,eia.gov,false,
2024-01-05 18:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,773.08,871.03,6.82,3.02,eia.gov,false,
2024-01-05 19:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,770.8,868.95,6.67,2.88,eia.gov,false,
2024-01-05 20:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,777.11,875.5,6.43,2.64,eia.gov,false,
2024-01-05 21:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,790.14,889.2,5.69,2.37,eia.gov,false,
