Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,USA,ISO New England,US-NE-ISNE,216.15,300.11,44.68,20.17,iso-ne.com,false,
2024-01-01 01:00:00,USA,ISO New England,US-NE-ISNE,211.87,295.03,45.8,20.2,iso-ne.com,false,
2024-01-01 02:00:00,USA,ISO New England,US-NE-ISNE,206.09,288.01,47.35,20.31,iso-ne.com,false,
2024-01-01 03:00:00,USA,ISO New England,US-NE-ISNE,195.32,275.11,50.12,21.83,iso-ne.com,false,
2024-01-01 04:00:00,USA,ISO New England,US-NE-ISNE,187.1,265.03,52.23,22.4,iso-ne.com,false,
2024-01-01 05:00:00,USA,ISO New England,US-NE-ISNE,187.29,265.34,52.28,21.32,iso-ne.com,false,
2024-01-01 06:00:00,USA,ISO New England,US-NE-ISNE,184.85,262.31,52.93,21.32,iso-ne.com,false,
2024-01-01 07:00:00,USA,ISO New England,US-NE-ISNE,180.64,256.92,54.04,22.07,iso-ne.com,false,
2024-01-01 08:00:00,USA,ISO New England,US-NE-ISNE,183.03,259.65,53.44,21.48,iso-ne.com,false,
2024-01-01 09:00:00,USA,ISO New England,US-NE-ISNE,181.42,257.58,53.84,21.56,iso-ne.com,false,
2024-01-01 10:00:00,USA,ISO New England,US-NE-ISNE,181.16,257.32,53.95,21.77,iso-ne.com,false,
2024-01-01 11:00:00,USA,ISO New England,US-NE-ISNE,185.49,262.51,52.85,21.43,iso-ne.com,false,
2024-01-01 12:00:00,USA,ISO New England,US-NE-ISNE,192.53,271.1,51.01,20.97,iso-ne.com,false,
2024-01-01 13:00:00,USA,ISO New England,US-NE-ISNE,192.15,270.56,51.05,21.4,iso-ne.com,false,
2024-01-01 14:00:00,USA,ISO New England,US-NE-ISNE,197.03,276.69,49.76,20.59,iso-ne.com,false,
2024-01-01 15:00:00,USA,ISO New England,US-NE-ISNE,191.94,270.47,51.01,21.84,iso-ne.com,false,
2024-01-01 16:00:00,USA,ISO New England,US-NE-ISNE,191.29,269.93,51.14,22.2,iso-ne.com,false,
2024-01-01 17:00:00,USA,ISO New England,US-NE-ISNE,186.82,264.69,52.2,23.02,iso-ne.com,false,
2024-01-01 18:00:00,USA,ISO New England,US-NE-ISNE,187.49,265.65,52.05,22.69,iso-ne.com,false,
2024-01-01 19:00:00,USA,ISO New England,US-NE-ISNE,196.04,276.29,49.82,21.34,iso-ne.com,false,
2024-01-01 20:00:00,USA,ISO New England,US-NE-ISNE,210.75,293.85,46.01,19.78,iso-ne.com,false,
2024-01-01 21:00:00,USA,ISO New England,US-NE-ISNE,208.94,290.53,46.51,22.62,iso-ne.com,false,
2024-01-01 22:00:00,USA,ISO New England,US-NE-ISNE,197.93,276.21,49.33,26.8,iso-ne.com,false,
2024-01-01 23:00:00,USA,ISO New England,US-NE-ISNE,206.06,286.27,47.27,24.04,iso-ne.com,false,
2024-01-02 00:00:00,USA,ISO New England,US-NE-ISNE,211.75,293.4,45.85,22.01,iso-ne.com,false,
2024-01-02 01:00:00,USA,ISO New England,US-NE-ISNE,218.87,302.38,44.0,19.44,iso-ne.com,false,
2024-01-02 02:00:00,USA,ISO New England,US-NE-ISNE,217.76,301.66,44.3,18.52,iso-ne.com,false,
2024-01-02 03:00:00,USA,ISO New England,US-NE-ISNE,208.81,290.79,46.64,19.02,iso-ne.com,false,
2024-01-02 04:00:00,USA,ISO New England,US-NE-ISNE,190.11,267.58,51.59,21.37,iso-ne.com,false,
2024-01-02 05:00:00,USA,ISO New England,US-NE-ISNE,182.65,258.68,53.55,22.59,iso-ne.com,false,
2024-01-02 06:00:00,USA,ISO New England,US-NE-ISNE,175.98,250.63,55.28,23.43,iso-ne.com,false,
2024-01-02 07:00:00,USA,ISO New England,US-NE-ISNE,175.48,249.85,55.42,23.48,iso-ne.com,false,
2024-01-02 08:00:00,USA,ISO New England,US-NE-ISNE,177.33,251.91,54.97,23.21,iso-ne.com,false,
2024-01-02 09:00:00,USA,ISO New England,US-NE-ISNE,182.27,258.19,53.66,22.59,iso-ne.com,false,
2024-01-02 10:00:00,USA,ISO New England,US-NE-ISNE,190.76,267.8,51.48,22.39,iso-ne.com,false,
2024-01-02 11:00:00,USA,ISO New England,US-NE-ISNE,185.58,260.78,52.88,26.64,iso-ne.com,false,
2024-01-02 12:00:00,USA,ISO New England,US-NE-ISNE,193.9,270.96,50.64,26.5,iso-ne.com,false,
2024-01-02 13:00:00,USA,ISO New England,US-NE-ISNE,195.51,273.38,50.14,25.43,iso-ne.com,false,
