Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,USA,Southeastern Power Administration,US-SE-SEPA,434.63,501.57,39.96,5.57,eia.gov,false,
2024-01-01 01:00:00,USA,Southeastern Power Administration,US-SE-SEPA,432.92,499.78,40.12,5.15,eia.gov,false,
2024-01-01 02:00:00,USA,Southeastern Power Administration,US-SE-SEPA,484.64,558.35,33.65,4.92,eia.gov,false,
2024-01-01 03:00:00,USA,Southeastern Power Administration,US-SE-SEPA,467.47,540.79,34.68,5.05,eia.gov,false,
2024-01-01 04:00:00,USA,Southeastern Power Administration,US-SE-SEPA,473.12,547.47,33.63,3.9,eia.gov,false,
2024-01-01 05:00:00,USA,Southeastern Power Administration,US-SE-SEPA,474.17,548.33,33.69,3.25,eia.gov,false,
2024-01-01 06:00:00,USA,Southeastern Power Administration,US-SE-SEPA,474.46,548.53,33.73,3.29,eia.gov,false,
2024-01-01 07:00:00,USA,Southeastern Power Administration,US-SE-SEPA,468.95,542.88,34.01,3.32,eia.gov,false,
2024-01-01 08:00:00,USA,Southeastern Power Administration,US-SE-SEPA,459.19,533.0,34.38,2.86,eia.gov,false,
2024-01-01 09:00:00,USA,Southeastern Power Administration,US-SE-SEPA,466.47,543.04,32.09,2.51,eia.gov,false,
2024-01-01 10:00:00,USA,Southeastern Power Administration,US-SE-SEPA,275.93,330.14,59.5,35.66,eia.gov,false,
2024-01-01 11:00:00,USA,Southeastern Power Administration,US-SE-SEPA,264.79,317.57,61.25,38.65,eia.gov,false,
2024-01-01 12:00:00,USA,Southeastern Power Administration,US-SE-SEPA,231.51,280.01,67.06,49.82,eia.gov,false,
2024-01-01 13:00:00,USA,Southeastern Power Administration,US-SE-SEPA,251.72,302.05,64.25,44.25,eia.gov,false,
2024-01-01 14:00:00,USA,Southeastern Power Administration,US-SE-SEPA,243.88,293.6,65.26,45.41,eia.gov,false,
2024-01-01 15:00:00,USA,Southeastern Power Administration,US-SE-SEPA,236.04,283.91,67.3,47.55,eia.gov,false,
2024-01-01 16:00:00,USA,Southeastern Power Administration,US-SE-SEPA,318.72,375.68,54.79,25.6,eia.gov,false,
2024-01-01 17:00:00,USA,Southeastern Power Administration,US-SE-SEPA,383.58,447.23,45.69,10.93,eia.gov,false,
2024-01-01 18:00:00,USA,Southeastern Power Administration,US-SE-SEPA,379.54,443.34,45.62,10.34,eia.gov,false,
2024-01-01 19:00:00,USA,Southeastern Power Administration,US-SE-SEPA,386.37,451.5,44.23,9.55,eia.gov,false,
2024-01-01 20:00:00,USA,Southeastern Power Administration,US-SE-SEPA,398.49,465.26,42.4,8.5,eia.gov,false,
2024-01-01 21:00:00,USA,Southeastern Power Administration,US-SE-SEPA,421.84,491.07,38.89,3.77,eia.gov,false,
2024-01-01 22:00:00,USA,Southeastern Power Administration,US-SE-SEPA,375.51,438.1,47.35,19.49,eia.gov,false,
2024-01-01 23:00:00,USA,Southeastern Power Administration,US-SE-SEPA,322.43,378.03,55.81,31.85,eia.gov,false,
2024-01-02 00:00:00,USA,Southeastern Power Administration,US-SE-SEPA,223.44,269.35,69.15,51.93,eia.gov,false,
2024-01-02 01:00:00,USA,Southeastern Power Administration,US-SE-SEPA,385.88,448.35,46.63,18.59,eia.gov,false,
2024-01-02 02:00:00,USA,Southeastern Power Administration,US-SE-SEPA,519.92,595.94,30.29,3.76,eia.gov,false,
2024-01-02 03:00:00,USA,Southeastern Power Administration,US-SE-SEPA,520.97,596.5,30.56,3.13,eia.gov,false,
2024-01-02 04:00:00,USA,Southeastern Power Administration,US-SE-SEPA,522.47,598.28,30.3,2.86,eia.gov,false,
2024-01-02 05:00:00,USA,Southeastern Power Administration,US-SE-SEPA,539.25,615.19,29.75,2.74,eia.gov,false,
2024-01-02 06:00:00,USA,Southeastern Power Administration,US-SE-SEPA,528.29,604.16,30.12,2.72,eia.gov,false,
2024-01-02 07:00:00,USA,Southeastern Power Administration,US-SE-SEPA,526.49,601.72,30.63,2.71,eia.gov,false,
2024-01-02 08:00:00,USA,Southeastern Power Administration,US-SE-SEPA,519.82,595.56,30.39,2.85,eia.gov,false,
2024-01-02 09:00:00,USA,Southeastern Power Administration,US-SE-SEPA,498.71,575.2,30.37,3.08,eia.gov,false,
2024-01-02 10:00:00,USA,Southeastern Power Administration,US-SE-SEPA,49.54,78.8,92.04,84.89,eia.gov,false,
2024-01-02 11:00:00,USA,Southeastern Power Administration,US-SE-SEPA,10.06,35.18,98.35,96.97,eia.gov,false,
2024-01-02 12:00:00,USA,Southeastern Power Administration,US-SE-SEPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-02 13:00:00,USA,Southeastern Power Administration,US-SE-SEPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-02 14:00:00,USA,Southeastern Power Administration,US-SE-SEPA,11.07,36.3,98.17,96.45,eia.gov,false,
2024-01-02 15:00:00,USA,Southeastern Power Administration,US-SE-SEPA,263.58,312.98,66.38,55.45,eia.gov,false,
2024-01-02 16:00:00,USA,Southeastern Power Administration,US-SE-SEPA,366.32,427.01,49.96,21.99,eia.gov,false,
2024-01-02 17:00:00,USA,Southeastern Power Administration,US-SE-SEPA,404.08,469.73,43.68,11.04,eia.gov,false,
2024-01-02 18:00:00,USA,Southeastern Power Administration,US-SE-SEPA,403.58,469.23,43.72,11.34,eia.gov,false,
2024-01-02 19:00:00,USA,Southeastern Power Administration,US-SE-SEPA,401.13,466.68,43.88,11.39,eia.gov,false,
2024-01-02 20:00:00,USA,Southeastern Power Administration,US-SE-SEPA,405.61,471.98,42.74,9.69,eia.gov,false,
2024-01-02 21:00:00,USA,Southeastern Power Administration,US-SE-SEPA,444.3,514.13,37.51,4.19,eia.gov,false,
2024-01-02 22:00:00,USA,Southeastern Power Administration,US-SE-SEPA,429.13,495.63,42.04,16.87,eia.gov,false,
2024-01-02 23:00:00,USA,Southeastern Power Administration,US-SE-SEPA,21.73,47.94,96.56,93.38,eia.gov,false,
2024-01-03 00:00:00,USA,Southeastern Power Administration,US-SE-SEPA,15.86,41.48,97.49,95.17,eia.gov,false,
2024-01-03 01:00:00,USA,Southeastern Power Administration,US-SE-SEPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-03 02:00:00,USA,Southeastern Power Administration,US-SE-SEPA,0.0,24.0,100.0,100.0,eia.gov,false,
2024-01-03 03:00:00,USA,Southeastern Power Administration,US-SE-SEPA,553.53,630.34,28.16,2.74,eia.gov,false,
2024-01-03 04:00:00,USA,Southeastern Power Administration,US-SE-SEPA,554.93,631.39,28.5,2.64,eia.gov,false,
2024-01-03 05:00:00,USA,Southeastern Power Administration,US-SE-SEPA,551.79,628.62,28.34,2.48,eia.gov,false,
2024-01-03 06:00:00,USA,Southeastern Power Administration,US-SE-SEPA,570.05,647.37,27.39,2.4,eia.gov,false,
2024-01-03 07:00:00,USA,Southeastern Power Administration,US-SE-SEPA,556.02,633.04,27.94,2.92,eia.gov,false,
2024-01-03 08:00:00,USA,Southeastern Power Administration,US-SE-SEPA,549.76,626.3,28.63,3.99,eia.gov,false,
