Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,425.84,486.65,33.56,2.31,eia.gov,false,
2024-01-01 01:00:00,USA,Arizona Public Service Company,US-SW-AZPS,425.9,486.99,33.51,2.54,eia.gov,false,
2024-01-01 02:00:00,USA,Arizona Public Service Company,US-SW-AZPS,435.28,497.43,32.0,1.27,eia.gov,false,
2024-01-01 03:00:00,USA,Arizona Public Service Company,US-SW-AZPS,428.19,489.32,32.76,1.19,eia.gov,false,
2024-01-01 04:00:00,USA,Arizona Public Service Company,US-SW-AZPS,430.76,491.6,32.57,1.1,eia.gov,false,
2024-01-01 05:00:00,USA,Arizona Public Service Company,US-SW-AZPS,431.16,491.53,32.88,1.05,eia.gov,false,
2024-01-01 06:00:00,USA,Arizona Public Service Company,US-SW-AZPS,429.34,489.58,33.12,1.39,eia.gov,false,
2024-01-01 07:00:00,USA,Arizona Public Service Company,US-SW-AZPS,431.66,491.77,33.01,0.94,eia.gov,false,
2024-01-01 08:00:00,USA,Arizona Public Service Company,US-SW-AZPS,435.64,495.5,32.86,0.78,eia.gov,false,
2024-01-01 09:00:00,USA,Arizona Public Service Company,US-SW-AZPS,436.86,497.08,32.54,0.66,eia.gov,false,
2024-01-01 10:00:00,USA,Arizona Public Service Company,US-SW-AZPS,439.64,499.32,32.72,0.57,eia.gov,false,
2024-01-01 11:00:00,USA,Arizona Public Service Company,US-SW-AZPS,440.18,499.52,32.93,0.47,eia.gov,false,
2024-01-01 12:00:00,USA,Arizona Public Service Company,US-SW-AZPS,445.75,505.05,32.72,0.32,eia.gov,false,
2024-01-01 13:00:00,USA,Arizona Public Service Company,US-SW-AZPS,449.3,508.58,32.89,0.51,eia.gov,false,
2024-01-01 14:00:00,USA,Arizona Public Service Company,US-SW-AZPS,442.89,501.7,33.6,1.18,eia.gov,false,
2024-01-01 15:00:00,USA,Arizona Public Service Company,US-SW-AZPS,437.68,494.66,35.18,3.04,eia.gov,false,
2024-01-01 16:00:00,USA,Arizona Public Service Company,US-SW-AZPS,433.21,486.96,37.77,5.34,eia.gov,false,
