interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,market,location_type,lmp,energy,congestion,loss
2025-03-24T00:00:00-04:00,2025-03-24 04:00:00+00:00,2025-03-24T00:05:00-04:00,2025-03-24 04:05:00+00:00,.H.INTERNAL_HUB,REAL_TIME_5_MIN,HUB,38.61,38.3,0.0,0.31
2025-03-24T00:05:00-04:00,2025-03-24 04:05:00+00:00,2025-03-24T00:10:00-04:00,2025-03-24 04:10:00+00:00,.H.INTERNAL_HUB,REAL_TIME_5_MIN,HUB,38.61,38.3,0.0,0.31
2025-03-24T00:10:00-04:00,2025-03-24 04:10:00+00:00,2025-03-24T00:15:00-04:00,2025-03-24 04:15:00+00:00,.H.INTERNAL_HUB,REAL_TIME_5_MIN,HUB,38.61,38.31,0.0,0.3
2025-03-24T00:15:00-04:00,2025-03-24 04:15:00+00:00,2025-03-24T00:20:00-04:00,2025-03-24 04:20:00+00:00,.H.INTERNAL_HUB,REAL_TIME_5_MIN,HUB,40.82,40.51,0.0,0.31
2025-03-24T00:20:00-04:00,2025-03-24 04:20:00+00:00,2025-03-24T00:25:00-04:00,2025-03-24 04:25:00+00:00,.H.INTERNAL_HUB,REAL_TIME_5_MIN,HUB,38.59,38.31,0.0,0.28
2025-03-24T00:25:00-04:00,2025-03-24 04:25:00+00:00,2025-03-24T00:30:00-04:00,2025-03-24 04:30:00+00:00,.H.INTERNAL_HUB,REAL_TIME_5_MIN,HUB,38.59,38.31,0.0,0.28
2025-03-24T00:30:00-04:00,2025-03-24 04:30:00+00:00,2025-03-24T00:35:00-04:00,2025-03-24 04:35:00+00:00,.H.INTERNAL_HUB,REAL_TIME_5_MIN,HUB,38.62,38.36,0.0,0.26
2025-03-24T00:35:00-04:00,2025-03-24 04:35:00+00:00,2025-03-24T00:40:00-04:00,2025-03-24 04:40:00+00:00,.H.INTERNAL_HUB,REAL_TIME_5_MIN,HUB,38.61,38.35,0.0,0.26
2025-03-24T00:40:00-04:00,2025-03-24 04:40:00+00:00,2025-03-24T00:45:00-04:00,2025-03-24 04:45:00+00:00,.H.INTERNAL_HUB,REAL_TIME_5_MIN,HUB,38.61,38.35,0.0,0.26
2025-03-24T00:45:00-04:00,2025-03-24 04:45:00+00:00,2025-03-24T00:50:00-04:00,2025-03-24 04:50:00+00:00,.H.INTERNAL_HUB,REAL_TIME_5_MIN,HUB,40.41,40.13,0.0,0.28
2025-03-24T00:50:00-04:00,2025-03-24 04:50:00+00:00,2025-03-24T00:55:00-04:00,2025-03-24 04:55:00+00:00,.H.INTERNAL_HUB,REAL_TIME_5_MIN,HUB,38.68,38.42,0.0,0.26
2025-03-24T00:55:00-04:00,2025-03-24 04:55:00+00:00,2025-03-24T01:00:00-04:00,2025-03-24 05:00:00+00:00,.H.INTERNAL_HUB,REAL_TIME_5_MIN,HUB,38.68,38.42,0.0,0.26
2025-03-24T01:00:00-04:00,2025-03-24 05:00:00+00:00,2025-03-24T01:05:00-04:00,2025-03-24 05:05:00+00:00,.H.INTERNAL_HUB,REAL_TIME_5_MIN,HUB,38.68,38.42,0.0,0.26
