interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,market,location_type,lmp,energy,congestion,loss,ghg
2025-03-24T00:00:00-07:00,2025-03-24 07:00:00+00:00,2025-03-24T00:05:00-07:00,2025-03-24 07:05:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,33.82879,35.36991,0.00455,-1.54567,0
2025-03-24T00:05:00-07:00,2025-03-24 07:05:00+00:00,2025-03-24T00:10:00-07:00,2025-03-24 07:10:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,34.53201,36.13498,0.00504,-1.60801,0
2025-03-24T00:10:00-07:00,2025-03-24 07:10:00+00:00,2025-03-24T00:15:00-07:00,2025-03-24 07:15:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,32.59188,34.06604,0.00431,-1.47847,0
2025-03-24T00:15:00-07:00,2025-03-24 07:15:00+00:00,2025-03-24T00:20:00-07:00,2025-03-24 07:20:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,32.66328,34.16014,0.00278,-1.49963,0
2025-03-24T00:20:00-07:00,2025-03-24 07:20:00+00:00,2025-03-24T00:25:00-07:00,2025-03-24 07:25:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,32.66922,34.16634,0.00278,-1.4999,0
2025-03-24T00:25:00-07:00,2025-03-24 07:25:00+00:00,2025-03-24T00:30:00-07:00,2025-03-24 07:30:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,32.95478,34.40163,0.06338,-1.51023,0
2025-03-24T00:30:00-07:00,2025-03-24 07:30:00+00:00,2025-03-24T00:35:00-07:00,2025-03-24 07:35:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,32.7952,34.34161,0.0024,-1.54881,0
2025-03-24T00:35:00-07:00,2025-03-24 07:35:00+00:00,2025-03-24T00:40:00-07:00,2025-03-24 07:40:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,32.72066,34.26423,0.00175,-1.54532,0
2025-03-24T00:40:00-07:00,2025-03-24 07:40:00+00:00,2025-03-24T00:45:00-07:00,2025-03-24 07:45:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,32.28776,33.81091,0.00173,-1.52487,0
2025-03-24T00:45:00-07:00,2025-03-24 07:45:00+00:00,2025-03-24T00:50:00-07:00,2025-03-24 07:50:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,31.38341,32.90356,0,-1.52014,0
2025-03-24T00:50:00-07:00,2025-03-24 07:50:00+00:00,2025-03-24T00:55:00-07:00,2025-03-24 07:55:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,31.34114,32.85924,0,-1.5181,0
2025-03-24T00:55:00-07:00,2025-03-24 07:55:00+00:00,2025-03-24T01:00:00-07:00,2025-03-24 08:00:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,31.34114,32.85924,0,-1.5181,0
2025-03-24T01:00:00-07:00,2025-03-24 08:00:00+00:00,2025-03-24T01:05:00-07:00,2025-03-24 08:05:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,31.79871,33.28662,0,-1.48791,0
2025-03-24T01:05:00-07:00,2025-03-24 08:05:00+00:00,2025-03-24T01:10:00-07:00,2025-03-24 08:10:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,31.79871,33.28662,0,-1.48791,0
2025-03-24T01:10:00-07:00,2025-03-24 08:10:00+00:00,2025-03-24T01:15:00-07:00,2025-03-24 08:15:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,31.48255,32.95567,0,-1.47312,0
2025-03-24T01:15:00-07:00,2025-03-24 08:15:00+00:00,2025-03-24T01:20:00-07:00,2025-03-24 08:20:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,31.40974,32.90356,0,-1.49382,0
2025-03-24T01:20:00-07:00,2025-03-24 08:20:00+00:00,2025-03-24T01:25:00-07:00,2025-03-24 08:25:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,31.32987,32.81989,0,-1.49002,0
2025-03-24T01:25:00-07:00,2025-03-24 08:25:00+00:00,2025-03-24T01:30:00-07:00,2025-03-24 08:30:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,31.10797,32.58744,0,-1.47947,0
2025-03-24T01:30:00-07:00,2025-03-24 08:30:00+00:00,2025-03-24T01:35:00-07:00,2025-03-24 08:35:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,30.56758,32.00124,0,-1.43366,0
2025-03-24T01:35:00-07:00,2025-03-24 08:35:00+00:00,2025-03-24T01:40:00-07:00,2025-03-24 08:40:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,30.95849,32.41048,0,-1.45199,0
2025-03-24T01:40:00-07:00,2025-03-24 08:40:00+00:00,2025-03-24T01:45:00-07:00,2025-03-24 08:45:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,30.39295,31.81841,0,-1.42546,0
2025-03-24T01:45:00-07:00,2025-03-24 08:45:00+00:00,2025-03-24T01:50:00-07:00,2025-03-24 08:50:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,30.46717,31.92954,0,-1.46237,0
2025-03-24T01:50:00-07:00,2025-03-24 08:50:00+00:00,2025-03-24T01:55:00-07:00,2025-03-24 08:55:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,30.4446,31.90589,0,-1.46129,0
2025-03-24T01:55:00-07:00,2025-03-24 08:55:00+00:00,2025-03-24T02:00:00-07:00,2025-03-24 09:00:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,30.4027,31.86198,0,-1.45928,0
2025-03-24T02:00:00-07:00,2025-03-24 09:00:00+00:00,2025-03-24T02:05:00-07:00,2025-03-24 09:05:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,30.63122,32.14189,0,-1.51067,0
2025-03-24T02:05:00-07:00,2025-03-24 09:05:00+00:00,2025-03-24T02:10:00-07:00,2025-03-24 09:10:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,30.42285,31.92324,0,-1.50039,0
2025-03-24T02:10:00-07:00,2025-03-24 09:10:00+00:00,2025-03-24T02:15:00-07:00,2025-03-24 09:15:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,30.70634,32.22072,0,-1.51437,0
2025-03-24T02:15:00-07:00,2025-03-24 09:15:00+00:00,2025-03-24T02:20:00-07:00,2025-03-24 09:20:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,30.19181,31.61446,0,-1.42265,0
2025-03-24T02:20:00-07:00,2025-03-24 09:20:00+00:00,2025-03-24T02:25:00-07:00,2025-03-24 09:25:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,29.68593,31.08474,0,-1.39881,0
2025-03-24T02:25:00-07:00,2025-03-24 09:25:00+00:00,2025-03-24T02:30:00-07:00,2025-03-24 09:30:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,29.39067,30.77557,0,-1.3849,0
2025-03-24T02:30:00-07:00,2025-03-24 09:30:00+00:00,2025-03-24T02:35:00-07:00,2025-03-24 09:35:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,28.88612,30.21561,0,-1.32949,0
2025-03-24T02:35:00-07:00,2025-03-24 09:35:00+00:00,2025-03-24T02:40:00-07:00,2025-03-24 09:40:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,28.70932,30.03067,0,-1.32135,0
2025-03-24T02:40:00-07:00,2025-03-24 09:40:00+00:00,2025-03-24T02:45:00-07:00,2025-03-24 09:45:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,28.5675,29.88232,0,-1.31482,0
2025-03-24T02:45:00-07:00,2025-03-24 09:45:00+00:00,2025-03-24T02:50:00-07:00,2025-03-24 09:50:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,28.49722,29.73106,0,-1.23384,0
2025-03-24T02:50:00-07:00,2025-03-24 09:50:00+00:00,2025-03-24T02:55:00-07:00,2025-03-24 09:55:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,28.40438,29.6342,0,-1.22982,0
2025-03-24T02:55:00-07:00,2025-03-24 09:55:00+00:00,2025-03-24T03:00:00-07:00,2025-03-24 10:00:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,28.86774,30.11762,0,-1.24988,0
2025-03-24T03:00:00-07:00,2025-03-24 10:00:00+00:00,2025-03-24T03:05:00-07:00,2025-03-24 10:05:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,30.50118,31.93506,0,-1.43388,0
2025-03-24T03:05:00-07:00,2025-03-24 10:05:00+00:00,2025-03-24T03:10:00-07:00,2025-03-24 10:10:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,30.50003,31.93386,0,-1.43383,0
2025-03-24T03:10:00-07:00,2025-03-24 10:10:00+00:00,2025-03-24T03:15:00-07:00,2025-03-24 10:15:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,30.79391,32.24156,0,-1.44765,0
2025-03-24T03:15:00-07:00,2025-03-24 10:15:00+00:00,2025-03-24T03:20:00-07:00,2025-03-24 10:20:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,30.6797,32.10853,0,-1.42883,0
2025-03-24T03:20:00-07:00,2025-03-24 10:20:00+00:00,2025-03-24T03:25:00-07:00,2025-03-24 10:25:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,30.74935,32.18142,0,-1.43207,0
2025-03-24T03:25:00-07:00,2025-03-24 10:25:00+00:00,2025-03-24T03:30:00-07:00,2025-03-24 10:30:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,30.79105,32.22506,0,-1.43402,0
2025-03-24T03:30:00-07:00,2025-03-24 10:30:00+00:00,2025-03-24T03:35:00-07:00,2025-03-24 10:35:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,30.86449,32.26815,0,-1.40366,0
2025-03-24T03:35:00-07:00,2025-03-24 10:35:00+00:00,2025-03-24T03:40:00-07:00,2025-03-24 10:40:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,30.97313,32.38174,0,-1.40861,0
2025-03-24T03:40:00-07:00,2025-03-24 10:40:00+00:00,2025-03-24T03:45:00-07:00,2025-03-24 10:45:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,31.04991,32.46201,0,-1.4121,0
2025-03-24T03:45:00-07:00,2025-03-24 10:45:00+00:00,2025-03-24T03:50:00-07:00,2025-03-24 10:50:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,31.09545,32.45872,0,-1.36327,0
2025-03-24T03:50:00-07:00,2025-03-24 10:50:00+00:00,2025-03-24T03:55:00-07:00,2025-03-24 10:55:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,30.74688,32.09486,0,-1.34798,0
2025-03-24T03:55:00-07:00,2025-03-24 10:55:00+00:00,2025-03-24T04:00:00-07:00,2025-03-24 11:00:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,30.31087,31.63974,0,-1.32887,0
2025-03-24T04:00:00-07:00,2025-03-24 11:00:00+00:00,2025-03-24T04:05:00-07:00,2025-03-24 11:05:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,25.39918,26.35316,0,-0.95398,0
2025-03-24T04:05:00-07:00,2025-03-24 11:05:00+00:00,2025-03-24T04:10:00-07:00,2025-03-24 11:10:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,26.48095,27.47557,0,-0.99462,0
2025-03-24T04:10:00-07:00,2025-03-24 11:10:00+00:00,2025-03-24T04:15:00-07:00,2025-03-24 11:15:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,27.85827,28.90462,0,-1.04635,0
2025-03-24T04:15:00-07:00,2025-03-24 11:15:00+00:00,2025-03-24T04:20:00-07:00,2025-03-24 11:20:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,28.50366,29.50384,0,-1.00018,0
2025-03-24T04:20:00-07:00,2025-03-24 11:20:00+00:00,2025-03-24T04:25:00-07:00,2025-03-24 11:25:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,29.10522,30.12651,0,-1.02129,0
2025-03-24T04:25:00-07:00,2025-03-24 11:25:00+00:00,2025-03-24T04:30:00-07:00,2025-03-24 11:30:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,29.57819,30.61607,0,-1.03788,0
2025-03-24T04:30:00-07:00,2025-03-24 11:30:00+00:00,2025-03-24T04:35:00-07:00,2025-03-24 11:35:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,29.88779,30.82169,0,-0.9339,0
2025-03-24T04:35:00-07:00,2025-03-24 11:35:00+00:00,2025-03-24T04:40:00-07:00,2025-03-24 11:40:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,30.58566,31.54136,0,-0.9557,0
2025-03-24T04:40:00-07:00,2025-03-24 11:40:00+00:00,2025-03-24T04:45:00-07:00,2025-03-24 11:45:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,30.59052,31.54136,0.00485,-0.9557,0
2025-03-24T04:45:00-07:00,2025-03-24 11:45:00+00:00,2025-03-24T04:50:00-07:00,2025-03-24 11:50:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,31.47422,32.41629,0.00773,-0.9498,0
2025-03-24T04:50:00-07:00,2025-03-24 11:50:00+00:00,2025-03-24T04:55:00-07:00,2025-03-24 11:55:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,31.53843,32.48142,0.00872,-0.95171,0
2025-03-24T04:55:00-07:00,2025-03-24 11:55:00+00:00,2025-03-24T05:00:00-07:00,2025-03-24 12:00:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,33.224,34.21767,0.00891,-1.00258,0
2025-03-24T05:00:00-07:00,2025-03-24 12:00:00+00:00,2025-03-24T05:05:00-07:00,2025-03-24 12:05:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,25.49961,25.92074,0.00916,-0.43028,0
2025-03-24T05:05:00-07:00,2025-03-24 12:05:00+00:00,2025-03-24T05:10:00-07:00,2025-03-24 12:10:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,25.80908,26.23543,0.00916,-0.43551,0
2025-03-24T05:10:00-07:00,2025-03-24 12:10:00+00:00,2025-03-24T05:15:00-07:00,2025-03-24 12:15:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,28.49466,28.96633,0.00916,-0.48084,0
2025-03-24T05:15:00-07:00,2025-03-24 12:15:00+00:00,2025-03-24T05:20:00-07:00,2025-03-24 12:20:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,27.90074,28.50443,0.00915,-0.61285,0
2025-03-24T05:20:00-07:00,2025-03-24 12:20:00+00:00,2025-03-24T05:25:00-07:00,2025-03-24 12:25:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,32.36068,33.06495,0.00663,-0.7109,0
2025-03-24T05:25:00-07:00,2025-03-24 12:25:00+00:00,2025-03-24T05:30:00-07:00,2025-03-24 12:30:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,32.21508,32.90711,0.01547,-0.7075,0
2025-03-24T05:30:00-07:00,2025-03-24 12:30:00+00:00,2025-03-24T05:35:00-07:00,2025-03-24 12:35:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,32.40411,33.11272,0,-0.70861,0
2025-03-24T05:35:00-07:00,2025-03-24 12:35:00+00:00,2025-03-24T05:40:00-07:00,2025-03-24 12:40:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,32.82505,33.54287,0,-0.71782,0
2025-03-24T05:40:00-07:00,2025-03-24 12:40:00+00:00,2025-03-24T05:45:00-07:00,2025-03-24 12:45:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,32.84274,33.56095,0,-0.7182,0
2025-03-24T05:45:00-07:00,2025-03-24 12:45:00+00:00,2025-03-24T05:50:00-07:00,2025-03-24 12:50:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,33.38421,34.15614,0,-0.77193,0
2025-03-24T05:50:00-07:00,2025-03-24 12:50:00+00:00,2025-03-24T05:55:00-07:00,2025-03-24 12:55:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,34.99227,35.80138,0,-0.80911,0
2025-03-24T05:55:00-07:00,2025-03-24 12:55:00+00:00,2025-03-24T06:00:00-07:00,2025-03-24 13:00:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,37.69853,38.57021,0,-0.87169,0
2025-03-24T06:00:00-07:00,2025-03-24 13:00:00+00:00,2025-03-24T06:05:00-07:00,2025-03-24 13:05:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,25.48748,27.18082,-1.03828,-0.65506,0
2025-03-24T06:05:00-07:00,2025-03-24 13:05:00+00:00,2025-03-24T06:10:00-07:00,2025-03-24 13:10:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,28.40453,30.16582,-1.03429,-0.727,0
2025-03-24T06:10:00-07:00,2025-03-24 13:10:00+00:00,2025-03-24T06:15:00-07:00,2025-03-24 13:15:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,28.31985,30.07822,-1.03348,-0.72489,0
2025-03-24T06:15:00-07:00,2025-03-24 13:15:00+00:00,2025-03-24T06:20:00-07:00,2025-03-24 13:20:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,30.11463,32.04403,-1.15394,-0.77547,0
2025-03-24T06:20:00-07:00,2025-03-24 13:20:00+00:00,2025-03-24T06:25:00-07:00,2025-03-24 13:25:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,33.73338,35.78924,-1.18976,-0.8661,0
2025-03-24T06:25:00-07:00,2025-03-24 13:25:00+00:00,2025-03-24T06:30:00-07:00,2025-03-24 13:30:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,34.64152,36.72911,-1.19875,-0.88884,0
2025-03-24T06:30:00-07:00,2025-03-24 13:30:00+00:00,2025-03-24T06:35:00-07:00,2025-03-24 13:35:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,36.03009,37.86179,-1.10854,-0.72316,0
2025-03-24T06:35:00-07:00,2025-03-24 13:35:00+00:00,2025-03-24T06:40:00-07:00,2025-03-24 13:40:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,37.90394,39.79051,-1.12657,-0.76,0
2025-03-24T06:40:00-07:00,2025-03-24 13:40:00+00:00,2025-03-24T06:45:00-07:00,2025-03-24 13:45:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,39.02918,40.94869,-1.1374,-0.78212,0
2025-03-24T06:45:00-07:00,2025-03-24 13:45:00+00:00,2025-03-24T06:50:00-07:00,2025-03-24 13:50:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,40.62837,42.38347,-1.15326,-0.60185,0
2025-03-24T06:50:00-07:00,2025-03-24 13:50:00+00:00,2025-03-24T06:55:00-07:00,2025-03-24 13:55:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,41.4036,43.17745,-1.16073,-0.61312,0
2025-03-24T06:55:00-07:00,2025-03-24 13:55:00+00:00,2025-03-24T07:00:00-07:00,2025-03-24 14:00:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,41.4036,43.17745,-1.16073,-0.61312,0
2025-03-24T07:00:00-07:00,2025-03-24 14:00:00+00:00,2025-03-24T07:05:00-07:00,2025-03-24 14:05:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,42.51535,44.06991,-1.17115,-0.38341,0
2025-03-24T07:05:00-07:00,2025-03-24 14:05:00+00:00,2025-03-24T07:10:00-07:00,2025-03-24 14:10:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,41.09318,42.62145,-1.15746,-0.37081,0
2025-03-24T07:10:00-07:00,2025-03-24 14:10:00+00:00,2025-03-24T07:15:00-07:00,2025-03-24 14:15:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,40.59107,42.11005,-1.15263,-0.36636,0
2025-03-24T07:15:00-07:00,2025-03-24 14:15:00+00:00,2025-03-24T07:20:00-07:00,2025-03-24 14:20:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,38.78766,39.99182,-1.13617,-0.06799,0
2025-03-24T07:20:00-07:00,2025-03-24 14:20:00+00:00,2025-03-24T07:25:00-07:00,2025-03-24 14:25:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,38.93598,40.14182,-1.1376,-0.06824,0
2025-03-24T07:25:00-07:00,2025-03-24 14:25:00+00:00,2025-03-24T07:30:00-07:00,2025-03-24 14:30:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,33.60408,34.11758,-0.4555,-0.058,0
2025-03-24T07:30:00-07:00,2025-03-24 14:30:00+00:00,2025-03-24T07:35:00-07:00,2025-03-24 14:35:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,32.28148,32.21888,-0.33369,0.39629,0
2025-03-24T07:35:00-07:00,2025-03-24 14:35:00+00:00,2025-03-24T07:40:00-07:00,2025-03-24 14:40:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,23.56814,23.07303,0.21132,0.2838,0
2025-03-24T07:40:00-07:00,2025-03-24 14:40:00+00:00,2025-03-24T07:45:00-07:00,2025-03-24 14:45:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,19.32234,18.95011,0.13914,0.23309,0
2025-03-24T07:45:00-07:00,2025-03-24 14:45:00+00:00,2025-03-24T07:50:00-07:00,2025-03-24 14:50:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,13.34875,11.28896,1.88933,0.17046,0
2025-03-24T07:50:00-07:00,2025-03-24 14:50:00+00:00,2025-03-24T07:55:00-07:00,2025-03-24 14:55:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,12.69206,10.65863,1.87248,0.16095,0
2025-03-24T07:55:00-07:00,2025-03-24 14:55:00+00:00,2025-03-24T08:00:00-07:00,2025-03-24 15:00:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,12.80105,12.05344,0.5656,0.18201,0
2025-03-24T08:00:00-07:00,2025-03-24 15:00:00+00:00,2025-03-24T08:05:00-07:00,2025-03-24 15:05:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,16.29006,15.17092,0.71407,0.40506,0
2025-03-24T08:05:00-07:00,2025-03-24 15:05:00+00:00,2025-03-24T08:10:00-07:00,2025-03-24 15:10:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,12.57842,11.63797,0.62971,0.31073,0
2025-03-24T08:10:00-07:00,2025-03-24 15:10:00+00:00,2025-03-24T08:15:00-07:00,2025-03-24 15:15:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,10.33384,9.43535,0.64657,0.25192,0
2025-03-24T08:15:00-07:00,2025-03-24 15:15:00+00:00,2025-03-24T08:20:00-07:00,2025-03-24 15:20:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,6.75584,4.60732,2.01675,0.13177,0
2025-03-24T08:20:00-07:00,2025-03-24 15:20:00+00:00,2025-03-24T08:25:00-07:00,2025-03-24 15:25:00+00:00,TH_NP15_GEN-APND,REAL_TIME_5_MIN,Trading Hub,5.7889,3.59774,2.08827,0.1029,0
