interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,lmp
2025-03-24T00:00:00-05:00,2025-03-24 05:00:00+00:00,2025-03-24T00:05:00-05:00,2025-03-24 05:05:00+00:00,HB_HOUSTON,27.25
2025-03-24T00:05:00-05:00,2025-03-24 05:05:00+00:00,2025-03-24T00:10:00-05:00,2025-03-24 05:10:00+00:00,HB_HOUSTON,27.13
2025-03-24T00:10:00-05:00,2025-03-24 05:10:00+00:00,2025-03-24T00:15:00-05:00,2025-03-24 05:15:00+00:00,HB_HOUSTON,28.25
2025-03-24T00:15:00-05:00,2025-03-24 05:15:00+00:00,2025-03-24T00:20:00-05:00,2025-03-24 05:20:00+00:00,HB_HOUSTON,28.28
2025-03-24T00:20:00-05:00,2025-03-24 05:20:00+00:00,2025-03-24T00:25:00-05:00,2025-03-24 05:25:00+00:00,HB_HOUSTON,28.56
2025-03-24T00:25:00-05:00,2025-03-24 05:25:00+00:00,2025-03-24T00:30:00-05:00,2025-03-24 05:30:00+00:00,HB_HOUSTON,28.63
2025-03-24T00:30:00-05:00,2025-03-24 05:30:00+00:00,2025-03-24T00:35:00-05:00,2025-03-24 05:35:00+00:00,HB_HOUSTON,28.72
2025-03-24T00:35:00-05:00,2025-03-24 05:35:00+00:00,2025-03-24T00:40:00-05:00,2025-03-24 05:40:00+00:00,HB_HOUSTON,29.14
2025-03-24T00:40:00-05:00,2025-03-24 05:40:00+00:00,2025-03-24T00:45:00-05:00,2025-03-24 05:45:00+00:00,HB_HOUSTON,29.41
2025-03-24T00:45:00-05:00,2025-03-24 05:45:00+00:00,2025-03-24T00:50:00-05:00,2025-03-24 05:50:00+00:00,HB_HOUSTON,29.19
2025-03-24T00:50:00-05:00,2025-03-24 05:50:00+00:00,2025-03-24T00:55:00-05:00,2025-03-24 05:55:00+00:00,HB_HOUSTON,29.11
2025-03-24T00:55:00-05:00,2025-03-24 05:55:00+00:00,2025-03-24T01:00:00-05:00,2025-03-24 06:00:00+00:00,HB_HOUSTON,29.14
2025-03-24T01:00:00-05:00,2025-03-24 06:00:00+00:00,2025-03-24T01:05:00-05:00,2025-03-24 06:05:00+00:00,HB_HOUSTON,28.89
2025-03-24T01:05:00-05:00,2025-03-24 06:05:00+00:00,2025-03-24T01:10:00-05:00,2025-03-24 06:10:00+00:00,HB_HOUSTON,28.88
2025-03-24T01:10:00-05:00,2025-03-24 06:10:00+00:00,2025-03-24T01:15:00-05:00,2025-03-24 06:15:00+00:00,HB_HOUSTON,28.49
2025-03-24T01:15:00-05:00,2025-03-24 06:15:00+00:00,2025-03-24T01:20:00-05:00,2025-03-24 06:20:00+00:00,HB_HOUSTON,27.5
