interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,market,location_type,lmp,energy,congestion,loss
2025-03-24T00:00:00-05:00,2025-03-24 05:00:00+00:00,2025-03-24T00:05:00-05:00,2025-03-24 05:05:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,19.62,24.860000000000003,-4.05,-1.19
2025-03-24T00:05:00-05:00,2025-03-24 05:05:00+00:00,2025-03-24T00:10:00-05:00,2025-03-24 05:10:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,19.19,23.660000000000004,-3.37,-1.1
2025-03-24T00:10:00-05:00,2025-03-24 05:10:00+00:00,2025-03-24T00:15:00-05:00,2025-03-24 05:15:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,18.33,23.55,-4.12,-1.1
2025-03-24T00:15:00-05:00,2025-03-24 05:15:00+00:00,2025-03-24T00:20:00-05:00,2025-03-24 05:20:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,18.06,23.569999999999997,-4.38,-1.13
2025-03-24T00:20:00-05:00,2025-03-24 05:20:00+00:00,2025-03-24T00:25:00-05:00,2025-03-24 05:25:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,16.02,20.939999999999998,-3.88,-1.04
2025-03-24T00:25:00-05:00,2025-03-24 05:25:00+00:00,2025-03-24T00:30:00-05:00,2025-03-24 05:30:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,13.61,20.21,-5.59,-1.01
2025-03-24T00:30:00-05:00,2025-03-24 05:30:00+00:00,2025-03-24T00:35:00-05:00,2025-03-24 05:35:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,17.71,22.61,-3.81,-1.09
2025-03-24T00:35:00-05:00,2025-03-24 05:35:00+00:00,2025-03-24T00:40:00-05:00,2025-03-24 05:40:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,18.65,23.61,-3.76,-1.2
2025-03-24T00:40:00-05:00,2025-03-24 05:40:00+00:00,2025-03-24T00:45:00-05:00,2025-03-24 05:45:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,17.88,21.78,-2.8,-1.1
2025-03-24T00:45:00-05:00,2025-03-24 05:45:00+00:00,2025-03-24T00:50:00-05:00,2025-03-24 05:50:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,19.15,21.569999999999997,-1.34,-1.08
2025-03-24T00:50:00-05:00,2025-03-24 05:50:00+00:00,2025-03-24T00:55:00-05:00,2025-03-24 05:55:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,18.31,21.62,-2.19,-1.12
2025-03-24T00:55:00-05:00,2025-03-24 05:55:00+00:00,2025-03-24T01:00:00-05:00,2025-03-24 06:00:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,18.19,21.66,-2.38,-1.09
2025-03-24T01:00:00-05:00,2025-03-24 06:00:00+00:00,2025-03-24T01:05:00-05:00,2025-03-24 06:05:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,19.07,22.240000000000002,-2.01,-1.16
2025-03-24T01:05:00-05:00,2025-03-24 06:05:00+00:00,2025-03-24T01:10:00-05:00,2025-03-24 06:10:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,10.28,16.3,-5.2,-0.82
2025-03-24T01:10:00-05:00,2025-03-24 06:10:00+00:00,2025-03-24T01:15:00-05:00,2025-03-24 06:15:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,16.9,20.03,-2.08,-1.05
2025-03-24T01:15:00-05:00,2025-03-24 06:15:00+00:00,2025-03-24T01:20:00-05:00,2025-03-24 06:20:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,19.38,21.599999999999998,-1.07,-1.15
2025-03-24T01:20:00-05:00,2025-03-24 06:20:00+00:00,2025-03-24T01:25:00-05:00,2025-03-24 06:25:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,19.52,21.48,-0.82,-1.14
2025-03-24T01:25:00-05:00,2025-03-24 06:25:00+00:00,2025-03-24T01:30:00-05:00,2025-03-24 06:30:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,19.44,21.34,-0.81,-1.09
2025-03-24T01:30:00-05:00,2025-03-24 06:30:00+00:00,2025-03-24T01:35:00-05:00,2025-03-24 06:35:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,19.4,21.7,-1.21,-1.09
2025-03-24T01:35:00-05:00,2025-03-24 06:35:00+00:00,2025-03-24T01:40:00-05:00,2025-03-24 06:40:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,19.43,22.33,-1.77,-1.13
2025-03-24T01:40:00-05:00,2025-03-24 06:40:00+00:00,2025-03-24T01:45:00-05:00,2025-03-24 06:45:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,19.66,22.12,-1.35,-1.11
2025-03-24T01:45:00-05:00,2025-03-24 06:45:00+00:00,2025-03-24T01:50:00-05:00,2025-03-24 06:50:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,20.09,22.630000000000003,-1.42,-1.12
2025-03-24T01:50:00-05:00,2025-03-24 06:50:00+00:00,2025-03-24T01:55:00-05:00,2025-03-24 06:55:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,19.76,21.950000000000003,-1.11,-1.08
2025-03-24T01:55:00-05:00,2025-03-24 06:55:00+00:00,2025-03-24T02:00:00-05:00,2025-03-24 07:00:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,20.88,22.61,-0.59,-1.14
2025-03-24T02:00:00-05:00,2025-03-24 07:00:00+00:00,2025-03-24T02:05:00-05:00,2025-03-24 07:05:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,20.17,22.32,-1.06,-1.09
2025-03-24T02:05:00-05:00,2025-03-24 07:05:00+00:00,2025-03-24T02:10:00-05:00,2025-03-24 07:10:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,19.76,21.800000000000004,-0.96,-1.08
2025-03-24T02:10:00-05:00,2025-03-24 07:10:00+00:00,2025-03-24T02:15:00-05:00,2025-03-24 07:15:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,20.18,21.86,-0.64,-1.04
2025-03-24T02:15:00-05:00,2025-03-24 07:15:00+00:00,2025-03-24T02:20:00-05:00,2025-03-24 07:20:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,20.4,22.04,-0.55,-1.09
2025-03-24T02:20:00-05:00,2025-03-24 07:20:00+00:00,2025-03-24T02:25:00-05:00,2025-03-24 07:25:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,19.51,22.230000000000004,-1.62,-1.1
2025-03-24T02:25:00-05:00,2025-03-24 07:25:00+00:00,2025-03-24T02:30:00-05:00,2025-03-24 07:30:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,20.26,22.180000000000003,-0.8,-1.12
2025-03-24T02:30:00-05:00,2025-03-24 07:30:00+00:00,2025-03-24T02:35:00-05:00,2025-03-24 07:35:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,17.85,21.22,-2.33,-1.04
2025-03-24T02:35:00-05:00,2025-03-24 07:35:00+00:00,2025-03-24T02:40:00-05:00,2025-03-24 07:40:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,19.16,22.490000000000002,-2.24,-1.09
2025-03-24T02:40:00-05:00,2025-03-24 07:40:00+00:00,2025-03-24T02:45:00-05:00,2025-03-24 07:45:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,19.14,22.46,-2.21,-1.11
2025-03-24T02:45:00-05:00,2025-03-24 07:45:00+00:00,2025-03-24T02:50:00-05:00,2025-03-24 07:50:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,20.25,21.57,-0.32,-1.0
2025-03-24T02:50:00-05:00,2025-03-24 07:50:00+00:00,2025-03-24T02:55:00-05:00,2025-03-24 07:55:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,19.65,21.259999999999998,-0.66,-0.95
2025-03-24T02:55:00-05:00,2025-03-24 07:55:00+00:00,2025-03-24T03:00:00-05:00,2025-03-24 08:00:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,20.02,21.549999999999997,-0.58,-0.95
2025-03-24T03:00:00-05:00,2025-03-24 08:00:00+00:00,2025-03-24T03:05:00-05:00,2025-03-24 08:05:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,19.64,21.23,-0.62,-0.97
2025-03-24T03:05:00-05:00,2025-03-24 08:05:00+00:00,2025-03-24T03:10:00-05:00,2025-03-24 08:10:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,19.62,21.25,-0.66,-0.97
2025-03-24T03:10:00-05:00,2025-03-24 08:10:00+00:00,2025-03-24T03:15:00-05:00,2025-03-24 08:15:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,19.78,21.340000000000003,-0.62,-0.94
2025-03-24T03:15:00-05:00,2025-03-24 08:15:00+00:00,2025-03-24T03:20:00-05:00,2025-03-24 08:20:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,20.94,22.240000000000002,-0.34,-0.96
2025-03-24T03:20:00-05:00,2025-03-24 08:20:00+00:00,2025-03-24T03:25:00-05:00,2025-03-24 08:25:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,20.58,21.93,-0.39,-0.96
2025-03-24T03:25:00-05:00,2025-03-24 08:25:00+00:00,2025-03-24T03:30:00-05:00,2025-03-24 08:30:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,20.74,22.03,-0.35,-0.94
2025-03-24T03:30:00-05:00,2025-03-24 08:30:00+00:00,2025-03-24T03:35:00-05:00,2025-03-24 08:35:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,20.52,21.83,-0.36,-0.95
2025-03-24T03:35:00-05:00,2025-03-24 08:35:00+00:00,2025-03-24T03:40:00-05:00,2025-03-24 08:40:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,20.96,22.3,-0.36,-0.98
2025-03-24T03:40:00-05:00,2025-03-24 08:40:00+00:00,2025-03-24T03:45:00-05:00,2025-03-24 08:45:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,20.71,21.990000000000002,-0.32,-0.96
2025-03-24T03:45:00-05:00,2025-03-24 08:45:00+00:00,2025-03-24T03:50:00-05:00,2025-03-24 08:50:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,21.06,22.34,-0.32,-0.96
2025-03-24T03:50:00-05:00,2025-03-24 08:50:00+00:00,2025-03-24T03:55:00-05:00,2025-03-24 08:55:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,21.06,22.299999999999997,-0.29,-0.95
2025-03-24T03:55:00-05:00,2025-03-24 08:55:00+00:00,2025-03-24T04:00:00-05:00,2025-03-24 09:00:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,21.2,22.41,-0.28,-0.93
2025-03-24T04:00:00-05:00,2025-03-24 09:00:00+00:00,2025-03-24T04:05:00-05:00,2025-03-24 09:05:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,20.49,21.719999999999995,-0.33,-0.9
2025-03-24T04:05:00-05:00,2025-03-24 09:05:00+00:00,2025-03-24T04:10:00-05:00,2025-03-24 09:10:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,21.14,22.41,-0.29,-0.98
2025-03-24T04:10:00-05:00,2025-03-24 09:10:00+00:00,2025-03-24T04:15:00-05:00,2025-03-24 09:15:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,20.97,22.169999999999998,-0.25,-0.95
2025-03-24T04:15:00-05:00,2025-03-24 09:15:00+00:00,2025-03-24T04:20:00-05:00,2025-03-24 09:20:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,21.2,22.31,-0.23,-0.88
2025-03-24T04:20:00-05:00,2025-03-24 09:20:00+00:00,2025-03-24T04:25:00-05:00,2025-03-24 09:25:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,21.39,22.610000000000003,-0.28,-0.94
2025-03-24T04:25:00-05:00,2025-03-24 09:25:00+00:00,2025-03-24T04:30:00-05:00,2025-03-24 09:30:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,21.91,23.130000000000003,-0.26,-0.96
2025-03-24T04:30:00-05:00,2025-03-24 09:30:00+00:00,2025-03-24T04:35:00-05:00,2025-03-24 09:35:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,21.52,22.89,-0.37,-1.0
2025-03-24T04:35:00-05:00,2025-03-24 09:35:00+00:00,2025-03-24T04:40:00-05:00,2025-03-24 09:40:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,18.55,23.28,-3.73,-1.0
2025-03-24T04:40:00-05:00,2025-03-24 09:40:00+00:00,2025-03-24T04:45:00-05:00,2025-03-24 09:45:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,24.14,25.75,-0.46,-1.15
2025-03-24T04:45:00-05:00,2025-03-24 09:45:00+00:00,2025-03-24T04:50:00-05:00,2025-03-24 09:50:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,25.23,26.71,-0.37,-1.11
2025-03-24T04:50:00-05:00,2025-03-24 09:50:00+00:00,2025-03-24T04:55:00-05:00,2025-03-24 09:55:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,25.38,27.099999999999998,-0.59,-1.13
2025-03-24T04:55:00-05:00,2025-03-24 09:55:00+00:00,2025-03-24T05:00:00-05:00,2025-03-24 10:00:00+00:00,ILLINOIS.HUB,REAL_TIME_5_MIN,Hub,25.97,27.76,-0.67,-1.12
