interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,market,location_id,location_short_name,location_type,lmp,energy,congestion,loss
2025-03-24T00:00:00-04:00,2025-03-24 04:00:00+00:00,2025-03-24T00:05:00-04:00,2025-03-24 04:05:00+00:00,NEW JERSEY HUB,REAL_TIME_5_MIN,4669664,NEW JERSEY HUB,HUB,28.39,26.75,0.57,1.07
2025-03-24T00:05:00-04:00,2025-03-24 04:05:00+00:00,2025-03-24T00:10:00-04:00,2025-03-24 04:10:00+00:00,NEW JERSEY HUB,REAL_TIME_5_MIN,4669664,NEW JERSEY HUB,HUB,23.99,18.32,4.93,0.74
2025-03-24T00:10:00-04:00,2025-03-24 04:10:00+00:00,2025-03-24T00:15:00-04:00,2025-03-24 04:15:00+00:00,NEW JERSEY HUB,REAL_TIME_5_MIN,4669664,NEW JERSEY HUB,HUB,25.04,20.38,3.77,0.89
2025-03-24T00:15:00-04:00,2025-03-24 04:15:00+00:00,2025-03-24T00:20:00-04:00,2025-03-24 04:20:00+00:00,NEW JERSEY HUB,REAL_TIME_5_MIN,4669664,NEW JERSEY HUB,HUB,24.82,23.59,0.23,1
2025-03-24T00:20:00-04:00,2025-03-24 04:20:00+00:00,2025-03-24T00:25:00-04:00,2025-03-24 04:25:00+00:00,NEW JERSEY HUB,REAL_TIME_5_MIN,4669664,NEW JERSEY HUB,HUB,24.69,23.47,0.27,0.95
2025-03-24T00:25:00-04:00,2025-03-24 04:25:00+00:00,2025-03-24T00:30:00-04:00,2025-03-24 04:30:00+00:00,NEW JERSEY HUB,REAL_TIME_5_MIN,4669664,NEW JERSEY HUB,HUB,26.64,20.94,4.86,0.84
2025-03-24T00:30:00-04:00,2025-03-24 04:30:00+00:00,2025-03-24T00:35:00-04:00,2025-03-24 04:35:00+00:00,NEW JERSEY HUB,REAL_TIME_5_MIN,4669664,NEW JERSEY HUB,HUB,24.31,18.4,5.16,0.75
2025-03-24T00:35:00-04:00,2025-03-24 04:35:00+00:00,2025-03-24T00:40:00-04:00,2025-03-24 04:40:00+00:00,NEW JERSEY HUB,REAL_TIME_5_MIN,4669664,NEW JERSEY HUB,HUB,31.55,25.7,4.87,0.98
2025-03-24T00:40:00-04:00,2025-03-24 04:40:00+00:00,2025-03-24T00:45:00-04:00,2025-03-24 04:45:00+00:00,NEW JERSEY HUB,REAL_TIME_5_MIN,4669664,NEW JERSEY HUB,HUB,32.18,30.68,0.4,1.1
2025-03-24T00:45:00-04:00,2025-03-24 04:45:00+00:00,2025-03-24T00:50:00-04:00,2025-03-24 04:50:00+00:00,NEW JERSEY HUB,REAL_TIME_5_MIN,4669664,NEW JERSEY HUB,HUB,27.16,26.24,0.04,0.88
2025-03-24T00:50:00-04:00,2025-03-24 04:50:00+00:00,2025-03-24T00:55:00-04:00,2025-03-24 04:55:00+00:00,NEW JERSEY HUB,REAL_TIME_5_MIN,4669664,NEW JERSEY HUB,HUB,28.77,22.23,5.84,0.7
2025-03-24T00:55:00-04:00,2025-03-24 04:55:00+00:00,2025-03-24T01:00:00-04:00,2025-03-24 05:00:00+00:00,NEW JERSEY HUB,REAL_TIME_5_MIN,4669664,NEW JERSEY HUB,HUB,28.06,27.02,0.2,0.84
2025-03-24T01:00:00-04:00,2025-03-24 05:00:00+00:00,2025-03-24T01:05:00-04:00,2025-03-24 05:05:00+00:00,NEW JERSEY HUB,REAL_TIME_5_MIN,4669664,NEW JERSEY HUB,HUB,36.51,35.2,0.2,1.11
2025-03-24T01:05:00-04:00,2025-03-24 05:05:00+00:00,2025-03-24T01:10:00-04:00,2025-03-24 05:10:00+00:00,NEW JERSEY HUB,REAL_TIME_5_MIN,4669664,NEW JERSEY HUB,HUB,30.56,26.42,3.36,0.78
2025-03-24T01:10:00-04:00,2025-03-24 05:10:00+00:00,2025-03-24T01:15:00-04:00,2025-03-24 05:15:00+00:00,NEW JERSEY HUB,REAL_TIME_5_MIN,4669664,NEW JERSEY HUB,HUB,30.69,29.6,0.14,0.95
2025-03-24T01:15:00-04:00,2025-03-24 05:15:00+00:00,2025-03-24T01:20:00-04:00,2025-03-24 05:20:00+00:00,NEW JERSEY HUB,REAL_TIME_5_MIN,4669664,NEW JERSEY HUB,HUB,30.88,25.41,4.69,0.78
2025-03-24T01:20:00-04:00,2025-03-24 05:20:00+00:00,2025-03-24T01:25:00-04:00,2025-03-24 05:25:00+00:00,NEW JERSEY HUB,REAL_TIME_5_MIN,4669664,NEW JERSEY HUB,HUB,30.73,29.57,0.19,0.97
2025-03-24T01:25:00-04:00,2025-03-24 05:25:00+00:00,2025-03-24T01:30:00-04:00,2025-03-24 05:30:00+00:00,NEW JERSEY HUB,REAL_TIME_5_MIN,4669664,NEW JERSEY HUB,HUB,31.12,29.29,0.91,0.92
2025-03-24T01:30:00-04:00,2025-03-24 05:30:00+00:00,2025-03-24T01:35:00-04:00,2025-03-24 05:35:00+00:00,NEW JERSEY HUB,REAL_TIME_5_MIN,4669664,NEW JERSEY HUB,HUB,31.12,29.29,0.91,0.92
2025-03-24T01:35:00-04:00,2025-03-24 05:35:00+00:00,2025-03-24T01:40:00-04:00,2025-03-24 05:40:00+00:00,NEW JERSEY HUB,REAL_TIME_5_MIN,4669664,NEW JERSEY HUB,HUB,28.1,27.3,-0.06,0.86
2025-03-24T01:40:00-04:00,2025-03-24 05:40:00+00:00,2025-03-24T01:45:00-04:00,2025-03-24 05:45:00+00:00,NEW JERSEY HUB,REAL_TIME_5_MIN,4669664,NEW JERSEY HUB,HUB,30.98,30.19,-0.13,0.92
