interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,market,location_id,location_short_name,location_type,lmp,energy,congestion,loss
2025-03-24T00:00:00-04:00,2025-03-24 04:00:00+00:00,2025-03-24T00:05:00-04:00,2025-03-24 04:05:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,26.13,26.75,0.5,-1.12
2025-03-24T00:05:00-04:00,2025-03-24 04:05:00+00:00,2025-03-24T00:10:00-04:00,2025-03-24 04:10:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,25.6,18.32,8.07,-0.79
2025-03-24T00:10:00-04:00,2025-03-24 04:10:00+00:00,2025-03-24T00:15:00-04:00,2025-03-24 04:15:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,26.26,20.380000000000003,6.77,-0.89
2025-03-24T00:15:00-04:00,2025-03-24 04:15:00+00:00,2025-03-24T00:20:00-04:00,2025-03-24 04:20:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,22.61,23.59,0.06,-1.04
2025-03-24T00:20:00-04:00,2025-03-24 04:20:00+00:00,2025-03-24T00:25:00-04:00,2025-03-24 04:25:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,22.5,23.47,0.07,-1.04
2025-03-24T00:25:00-04:00,2025-03-24 04:25:00+00:00,2025-03-24T00:30:00-04:00,2025-03-24 04:30:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,28.85,20.94,8.85,-0.94
2025-03-24T00:30:00-04:00,2025-03-24 04:30:00+00:00,2025-03-24T00:35:00-04:00,2025-03-24 04:35:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,26.5,18.4,8.93,-0.83
2025-03-24T00:35:00-04:00,2025-03-24 04:35:00+00:00,2025-03-24T00:40:00-04:00,2025-03-24 04:40:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,33.41,25.699999999999996,8.8,-1.09
2025-03-24T00:40:00-04:00,2025-03-24 04:40:00+00:00,2025-03-24T00:45:00-04:00,2025-03-24 04:45:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,29.53,30.68,0.1,-1.25
2025-03-24T00:45:00-04:00,2025-03-24 04:45:00+00:00,2025-03-24T00:50:00-04:00,2025-03-24 04:50:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,25.2,26.24,0.01,-1.05
2025-03-24T00:50:00-04:00,2025-03-24 04:50:00+00:00,2025-03-24T00:55:00-04:00,2025-03-24 04:55:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,32.17,22.23,10.78,-0.84
2025-03-24T00:55:00-04:00,2025-03-24 04:55:00+00:00,2025-03-24T01:00:00-04:00,2025-03-24 05:00:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,26.2,27.02,0.19,-1.01
2025-03-24T01:00:00-04:00,2025-03-24 05:00:00+00:00,2025-03-24T01:05:00-04:00,2025-03-24 05:05:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,33.93,35.2,0.08,-1.35
2025-03-24T01:05:00-04:00,2025-03-24 05:05:00+00:00,2025-03-24T01:10:00-04:00,2025-03-24 05:10:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,31.46,26.42,6.0,-0.96
2025-03-24T01:10:00-04:00,2025-03-24 05:10:00+00:00,2025-03-24T01:15:00-04:00,2025-03-24 05:15:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,28.52,29.599999999999998,0.03,-1.11
2025-03-24T01:15:00-04:00,2025-03-24 05:15:00+00:00,2025-03-24T01:20:00-04:00,2025-03-24 05:20:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,33.46,25.41,8.98,-0.93
2025-03-24T01:20:00-04:00,2025-03-24 05:20:00+00:00,2025-03-24T01:25:00-04:00,2025-03-24 05:25:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,28.49,29.569999999999997,0.05,-1.13
2025-03-24T01:25:00-04:00,2025-03-24 05:25:00+00:00,2025-03-24T01:30:00-04:00,2025-03-24 05:30:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,30.3,29.290000000000003,2.11,-1.1
2025-03-24T01:30:00-04:00,2025-03-24 05:30:00+00:00,2025-03-24T01:35:00-04:00,2025-03-24 05:35:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,30.3,29.290000000000003,2.11,-1.1
2025-03-24T01:35:00-04:00,2025-03-24 05:35:00+00:00,2025-03-24T01:40:00-04:00,2025-03-24 05:40:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,26.56,27.299999999999997,0.28,-1.02
2025-03-24T01:40:00-04:00,2025-03-24 05:40:00+00:00,2025-03-24T01:45:00-04:00,2025-03-24 05:45:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,29.46,30.189999999999998,0.35,-1.08
2025-03-24T01:45:00-04:00,2025-03-24 05:45:00+00:00,2025-03-24T01:50:00-04:00,2025-03-24 05:50:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,27.01,27.740000000000002,0.3,-1.03
2025-03-24T01:50:00-04:00,2025-03-24 05:50:00+00:00,2025-03-24T01:55:00-04:00,2025-03-24 05:55:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,32.66,27.029999999999998,6.63,-1.0
2025-03-24T01:55:00-04:00,2025-03-24 05:55:00+00:00,2025-03-24T02:00:00-04:00,2025-03-24 06:00:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,29.18,29.9,0.34,-1.06
2025-03-24T02:00:00-04:00,2025-03-24 06:00:00+00:00,2025-03-24T02:05:00-04:00,2025-03-24 06:05:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,26.99,27.65,0.3,-0.96
2025-03-24T02:05:00-04:00,2025-03-24 06:05:00+00:00,2025-03-24T02:10:00-04:00,2025-03-24 06:10:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,26.65,27.349999999999998,0.25,-0.95
2025-03-24T02:10:00-04:00,2025-03-24 06:10:00+00:00,2025-03-24T02:15:00-04:00,2025-03-24 06:15:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,26.48,27.16,0.26,-0.94
2025-03-24T02:15:00-04:00,2025-03-24 06:15:00+00:00,2025-03-24T02:20:00-04:00,2025-03-24 06:20:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,23.8,24.52,0.09,-0.81
2025-03-24T02:20:00-04:00,2025-03-24 06:20:00+00:00,2025-03-24T02:25:00-04:00,2025-03-24 06:25:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,24.47,25.24,0.11,-0.88
2025-03-24T02:25:00-04:00,2025-03-24 06:25:00+00:00,2025-03-24T02:30:00-04:00,2025-03-24 06:30:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,22.85,23.59,0.07,-0.81
2025-03-24T02:30:00-04:00,2025-03-24 06:30:00+00:00,2025-03-24T02:35:00-04:00,2025-03-24 06:35:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,23.73,24.48,0.09,-0.84
2025-03-24T02:35:00-04:00,2025-03-24 06:35:00+00:00,2025-03-24T02:40:00-04:00,2025-03-24 06:40:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,25.23,25.95,0.12,-0.84
2025-03-24T02:40:00-04:00,2025-03-24 06:40:00+00:00,2025-03-24T02:45:00-04:00,2025-03-24 06:45:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,25.22,25.97,0.13,-0.88
2025-03-24T02:45:00-04:00,2025-03-24 06:45:00+00:00,2025-03-24T02:50:00-04:00,2025-03-24 06:50:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,24.81,25.55,0.08,-0.82
2025-03-24T02:50:00-04:00,2025-03-24 06:50:00+00:00,2025-03-24T02:55:00-04:00,2025-03-24 06:55:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,24.66,25.41,0.07,-0.82
2025-03-24T02:55:00-04:00,2025-03-24 06:55:00+00:00,2025-03-24T03:00:00-04:00,2025-03-24 07:00:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,24.74,25.599999999999998,0.0,-0.86
2025-03-24T03:00:00-04:00,2025-03-24 07:00:00+00:00,2025-03-24T03:05:00-04:00,2025-03-24 07:05:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,24.5,25.24,0.1,-0.84
2025-03-24T03:05:00-04:00,2025-03-24 07:05:00+00:00,2025-03-24T03:10:00-04:00,2025-03-24 07:10:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,24.83,25.429999999999996,0.23,-0.83
2025-03-24T03:10:00-04:00,2025-03-24 07:10:00+00:00,2025-03-24T03:15:00-04:00,2025-03-24 07:15:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,26.44,27.05,0.28,-0.89
2025-03-24T03:15:00-04:00,2025-03-24 07:15:00+00:00,2025-03-24T03:20:00-04:00,2025-03-24 07:20:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,26.11,26.849999999999998,0.16,-0.9
2025-03-24T03:20:00-04:00,2025-03-24 07:20:00+00:00,2025-03-24T03:25:00-04:00,2025-03-24 07:25:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,26.02,26.65,0.26,-0.89
2025-03-24T03:25:00-04:00,2025-03-24 07:25:00+00:00,2025-03-24T03:30:00-04:00,2025-03-24 07:30:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,26.03,26.89,0.04,-0.9
2025-03-24T03:30:00-04:00,2025-03-24 07:30:00+00:00,2025-03-24T03:35:00-04:00,2025-03-24 07:35:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,22.21,22.880000000000003,0.09,-0.76
2025-03-24T03:35:00-04:00,2025-03-24 07:35:00+00:00,2025-03-24T03:40:00-04:00,2025-03-24 07:40:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,23.97,24.7,0.09,-0.82
2025-03-24T03:40:00-04:00,2025-03-24 07:40:00+00:00,2025-03-24T03:45:00-04:00,2025-03-24 07:45:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,24.97,25.709999999999997,0.12,-0.86
2025-03-24T03:45:00-04:00,2025-03-24 07:45:00+00:00,2025-03-24T03:50:00-04:00,2025-03-24 07:50:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,24.86,25.64,0.08,-0.86
2025-03-24T03:50:00-04:00,2025-03-24 07:50:00+00:00,2025-03-24T03:55:00-04:00,2025-03-24 07:55:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,29.07,29.78,0.24,-0.95
2025-03-24T03:55:00-04:00,2025-03-24 07:55:00+00:00,2025-03-24T04:00:00-04:00,2025-03-24 08:00:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,27.66,28.36,0.23,-0.93
2025-03-24T04:00:00-04:00,2025-03-24 08:00:00+00:00,2025-03-24T04:05:00-04:00,2025-03-24 08:05:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,24.69,25.26,0.25,-0.82
2025-03-24T04:05:00-04:00,2025-03-24 08:05:00+00:00,2025-03-24T04:10:00-04:00,2025-03-24 08:10:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,24.68,25.2,0.26,-0.78
2025-03-24T04:10:00-04:00,2025-03-24 08:10:00+00:00,2025-03-24T04:15:00-04:00,2025-03-24 08:15:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,24.36,24.819999999999997,0.26,-0.72
2025-03-24T04:15:00-04:00,2025-03-24 08:15:00+00:00,2025-03-24T04:20:00-04:00,2025-03-24 08:20:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,24.58,25.24,0.08,-0.74
2025-03-24T04:20:00-04:00,2025-03-24 08:20:00+00:00,2025-03-24T04:25:00-04:00,2025-03-24 08:25:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,27.18,27.78,0.2,-0.8
2025-03-24T04:25:00-04:00,2025-03-24 08:25:00+00:00,2025-03-24T04:30:00-04:00,2025-03-24 08:30:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,25.59,26.28,0.08,-0.77
2025-03-24T04:30:00-04:00,2025-03-24 08:30:00+00:00,2025-03-24T04:35:00-04:00,2025-03-24 08:35:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,23.75,24.39,0.06,-0.7
2025-03-24T04:35:00-04:00,2025-03-24 08:35:00+00:00,2025-03-24T04:40:00-04:00,2025-03-24 08:40:00+00:00,OHIO HUB,REAL_TIME_5_MIN,34497151,OHIO HUB,HUB,35.14,36.06,0.08,-1.0
