interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,market,location_type,pnode,lmp,energy,congestion,loss
2025-03-24T00:00:00-05:00,2025-03-24 05:00:00+00:00,2025-03-24T00:05:00-05:00,2025-03-24 05:05:00+00:00,SPPSOUTH_HUB,REAL_TIME_5_MIN,Hub,SPPSOUTH_H,25.5081,26.1687,-0.7287,0.0681
2025-03-24T00:05:00-05:00,2025-03-24 05:05:00+00:00,2025-03-24T00:10:00-05:00,2025-03-24 05:10:00+00:00,SPPSOUTH_HUB,REAL_TIME_5_MIN,Hub,SPPSOUTH_H,26.2109,26.7846,-0.6649,0.0912
2025-03-24T00:10:00-05:00,2025-03-24 05:10:00+00:00,2025-03-24T00:15:00-05:00,2025-03-24 05:15:00+00:00,SPPSOUTH_HUB,REAL_TIME_5_MIN,Hub,SPPSOUTH_H,26.2085,27.489,-1.3783,0.0978
2025-03-24T00:15:00-05:00,2025-03-24 05:15:00+00:00,2025-03-24T00:20:00-05:00,2025-03-24 05:20:00+00:00,SPPSOUTH_HUB,REAL_TIME_5_MIN,Hub,SPPSOUTH_H,26.7354,29.2144,-2.5597,0.0807
2025-03-24T00:20:00-05:00,2025-03-24 05:20:00+00:00,2025-03-24T00:25:00-05:00,2025-03-24 05:25:00+00:00,SPPSOUTH_HUB,REAL_TIME_5_MIN,Hub,SPPSOUTH_H,26.0502,28.0335,-2.0372,0.0539
2025-03-24T00:25:00-05:00,2025-03-24 05:25:00+00:00,2025-03-24T00:30:00-05:00,2025-03-24 05:30:00+00:00,SPPSOUTH_HUB,REAL_TIME_5_MIN,Hub,SPPSOUTH_H,25.9796,27.3794,-1.4222,0.0224
2025-03-24T00:30:00-05:00,2025-03-24 05:30:00+00:00,2025-03-24T00:35:00-05:00,2025-03-24 05:35:00+00:00,SPPSOUTH_HUB,REAL_TIME_5_MIN,Hub,SPPSOUTH_H,25.6854,27.1209,-1.4647,0.0292
2025-03-24T00:35:00-05:00,2025-03-24 05:35:00+00:00,2025-03-24T00:40:00-05:00,2025-03-24 05:40:00+00:00,SPPSOUTH_HUB,REAL_TIME_5_MIN,Hub,SPPSOUTH_H,13.0021,35.2311,-22.2458,0.0168
2025-03-24T00:40:00-05:00,2025-03-24 05:40:00+00:00,2025-03-24T00:45:00-05:00,2025-03-24 05:45:00+00:00,SPPSOUTH_HUB,REAL_TIME_5_MIN,Hub,SPPSOUTH_H,25.7168,26.8583,-1.1692,0.0277
2025-03-24T00:45:00-05:00,2025-03-24 05:45:00+00:00,2025-03-24T00:50:00-05:00,2025-03-24 05:50:00+00:00,SPPSOUTH_HUB,REAL_TIME_5_MIN,Hub,SPPSOUTH_H,25.9046,26.5766,-0.8328,0.1608
2025-03-24T00:50:00-05:00,2025-03-24 05:50:00+00:00,2025-03-24T00:55:00-05:00,2025-03-24 05:55:00+00:00,SPPSOUTH_HUB,REAL_TIME_5_MIN,Hub,SPPSOUTH_H,25.8148,26.8894,-1.2069,0.1323
2025-03-24T00:55:00-05:00,2025-03-24 05:55:00+00:00,2025-03-24T01:00:00-05:00,2025-03-24 06:00:00+00:00,SPPSOUTH_HUB,REAL_TIME_5_MIN,Hub,SPPSOUTH_H,25.7037,26.8939,-1.2989,0.1087
2025-03-24T01:00:00-05:00,2025-03-24 06:00:00+00:00,2025-03-24T01:05:00-05:00,2025-03-24 06:05:00+00:00,SPPSOUTH_HUB,REAL_TIME_5_MIN,Hub,SPPSOUTH_H,25.042,26.4064,-1.4267,0.0623
2025-03-24T01:05:00-05:00,2025-03-24 06:05:00+00:00,2025-03-24T01:10:00-05:00,2025-03-24 06:10:00+00:00,SPPSOUTH_HUB,REAL_TIME_5_MIN,Hub,SPPSOUTH_H,24.9907,26.1317,-1.2276,0.0866
2025-03-24T01:10:00-05:00,2025-03-24 06:10:00+00:00,2025-03-24T01:15:00-05:00,2025-03-24 06:15:00+00:00,SPPSOUTH_HUB,REAL_TIME_5_MIN,Hub,SPPSOUTH_H,25.2851,26.3892,-1.2125,0.1084
2025-03-24T01:15:00-05:00,2025-03-24 06:15:00+00:00,2025-03-24T01:20:00-05:00,2025-03-24 06:20:00+00:00,SPPSOUTH_HUB,REAL_TIME_5_MIN,Hub,SPPSOUTH_H,26.1029,27.1568,-1.1904,0.1365
2025-03-24T01:20:00-05:00,2025-03-24 06:20:00+00:00,2025-03-24T01:25:00-05:00,2025-03-24 06:25:00+00:00,SPPSOUTH_HUB,REAL_TIME_5_MIN,Hub,SPPSOUTH_H,25.6754,26.2796,-0.7127,0.1085
