interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,market,location_type,lmp,energy,congestion,loss
2025-03-24T00:00:00-04:00,2025-03-24 04:00:00+00:00,2025-03-24T00:05:00-04:00,2025-03-24 04:05:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,55.15,53.24,-0.0,1.91
2025-03-24T00:05:00-04:00,2025-03-24 04:05:00+00:00,2025-03-24T00:10:00-04:00,2025-03-24 04:10:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,55.15,53.29,-0.0,1.86
2025-03-24T00:10:00-04:00,2025-03-24 04:10:00+00:00,2025-03-24T00:15:00-04:00,2025-03-24 04:15:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,57.74,55.74,-0.0,2.0
2025-03-24T00:15:00-04:00,2025-03-24 04:15:00+00:00,2025-03-24T00:20:00-04:00,2025-03-24 04:20:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,56.35,54.34,-0.0,2.01
2025-03-24T00:20:00-04:00,2025-03-24 04:20:00+00:00,2025-03-24T00:25:00-04:00,2025-03-24 04:25:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,55.1,53.13,-0.0,1.97
2025-03-24T00:25:00-04:00,2025-03-24 04:25:00+00:00,2025-03-24T00:30:00-04:00,2025-03-24 04:30:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,52.37,50.5,-0.0,1.87
2025-03-24T00:30:00-04:00,2025-03-24 04:30:00+00:00,2025-03-24T00:35:00-04:00,2025-03-24 04:35:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,52.32,50.45,-0.0,1.87
2025-03-24T00:35:00-04:00,2025-03-24 04:35:00+00:00,2025-03-24T00:40:00-04:00,2025-03-24 04:40:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,45.54,43.91,-0.0,1.63
2025-03-24T00:40:00-04:00,2025-03-24 04:40:00+00:00,2025-03-24T00:45:00-04:00,2025-03-24 04:45:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,45.5,43.88,-0.0,1.62
2025-03-24T00:45:00-04:00,2025-03-24 04:45:00+00:00,2025-03-24T00:50:00-04:00,2025-03-24 04:50:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,44.09,42.52,-0.0,1.57
2025-03-24T00:50:00-04:00,2025-03-24 04:50:00+00:00,2025-03-24T00:55:00-04:00,2025-03-24 04:55:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,44.09,42.52,-0.0,1.57
2025-03-24T00:55:00-04:00,2025-03-24 04:55:00+00:00,2025-03-24T01:00:00-04:00,2025-03-24 05:00:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,42.69,41.21,-0.0,1.48
2025-03-24T01:00:00-04:00,2025-03-24 05:00:00+00:00,2025-03-24T01:05:00-04:00,2025-03-24 05:05:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,40.89,39.39,-0.0,1.5
2025-03-24T01:05:00-04:00,2025-03-24 05:05:00+00:00,2025-03-24T01:10:00-04:00,2025-03-24 05:10:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,37.7,36.35,-0.0,1.35
2025-03-24T01:10:00-04:00,2025-03-24 05:10:00+00:00,2025-03-24T01:15:00-04:00,2025-03-24 05:15:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,37.77,36.42,-0.0,1.35
2025-03-24T01:15:00-04:00,2025-03-24 05:15:00+00:00,2025-03-24T01:20:00-04:00,2025-03-24 05:20:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,39.37,37.96,-0.0,1.41
2025-03-24T01:20:00-04:00,2025-03-24 05:20:00+00:00,2025-03-24T01:25:00-04:00,2025-03-24 05:25:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,39.37,37.96,-0.0,1.41
2025-03-24T01:25:00-04:00,2025-03-24 05:25:00+00:00,2025-03-24T01:30:00-04:00,2025-03-24 05:30:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,37.98,36.589999999999996,-0.0,1.39
2025-03-24T01:30:00-04:00,2025-03-24 05:30:00+00:00,2025-03-24T01:35:00-04:00,2025-03-24 05:35:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,39.41,37.97,-0.0,1.44
2025-03-24T01:35:00-04:00,2025-03-24 05:35:00+00:00,2025-03-24T01:40:00-04:00,2025-03-24 05:40:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,37.98,36.589999999999996,-0.0,1.39
2025-03-24T01:40:00-04:00,2025-03-24 05:40:00+00:00,2025-03-24T01:45:00-04:00,2025-03-24 05:45:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,37.85,36.5,-0.0,1.35
2025-03-24T01:45:00-04:00,2025-03-24 05:45:00+00:00,2025-03-24T01:50:00-04:00,2025-03-24 05:50:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,37.85,36.5,-0.0,1.35
2025-03-24T01:50:00-04:00,2025-03-24 05:50:00+00:00,2025-03-24T01:55:00-04:00,2025-03-24 05:55:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,37.6,36.26,-0.0,1.34
2025-03-24T01:55:00-04:00,2025-03-24 05:55:00+00:00,2025-03-24T02:00:00-04:00,2025-03-24 06:00:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,37.56,36.22,-0.0,1.34
2025-03-24T02:00:00-04:00,2025-03-24 06:00:00+00:00,2025-03-24T02:05:00-04:00,2025-03-24 06:05:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,37.36,36.03,-0.0,1.33
2025-03-24T02:05:00-04:00,2025-03-24 06:05:00+00:00,2025-03-24T02:10:00-04:00,2025-03-24 06:10:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,37.28,35.92,-0.0,1.36
2025-03-24T02:10:00-04:00,2025-03-24 06:10:00+00:00,2025-03-24T02:15:00-04:00,2025-03-24 06:15:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,37.18,35.82,-0.0,1.36
2025-03-24T02:15:00-04:00,2025-03-24 06:15:00+00:00,2025-03-24T02:20:00-04:00,2025-03-24 06:20:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,37.22,35.82,-0.0,1.4
2025-03-24T02:20:00-04:00,2025-03-24 06:20:00+00:00,2025-03-24T02:25:00-04:00,2025-03-24 06:25:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,35.59,34.290000000000006,-0.0,1.3
2025-03-24T02:25:00-04:00,2025-03-24 06:25:00+00:00,2025-03-24T02:30:00-04:00,2025-03-24 06:30:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,32.98,31.769999999999996,-0.0,1.21
2025-03-24T02:30:00-04:00,2025-03-24 06:30:00+00:00,2025-03-24T02:35:00-04:00,2025-03-24 06:35:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,32.98,31.74,-0.0,1.24
2025-03-24T02:35:00-04:00,2025-03-24 06:35:00+00:00,2025-03-24T02:40:00-04:00,2025-03-24 06:40:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,32.98,31.74,-0.0,1.24
2025-03-24T02:40:00-04:00,2025-03-24 06:40:00+00:00,2025-03-24T02:45:00-04:00,2025-03-24 06:45:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,32.64,31.42,-0.0,1.22
2025-03-24T02:45:00-04:00,2025-03-24 06:45:00+00:00,2025-03-24T02:50:00-04:00,2025-03-24 06:50:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,32.64,31.42,-0.0,1.22
2025-03-24T02:50:00-04:00,2025-03-24 06:50:00+00:00,2025-03-24T02:55:00-04:00,2025-03-24 06:55:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,32.64,31.42,-0.0,1.22
2025-03-24T02:55:00-04:00,2025-03-24 06:55:00+00:00,2025-03-24T03:00:00-04:00,2025-03-24 07:00:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,31.29,30.09,-0.0,1.2
2025-03-24T03:00:00-04:00,2025-03-24 07:00:00+00:00,2025-03-24T03:05:00-04:00,2025-03-24 07:05:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,32.64,31.38,-0.0,1.26
2025-03-24T03:05:00-04:00,2025-03-24 07:05:00+00:00,2025-03-24T03:10:00-04:00,2025-03-24 07:10:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,31.29,30.09,-0.0,1.2
2025-03-24T03:10:00-04:00,2025-03-24 07:10:00+00:00,2025-03-24T03:15:00-04:00,2025-03-24 07:15:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,31.23,30.03,-0.0,1.2
2025-03-24T03:15:00-04:00,2025-03-24 07:15:00+00:00,2025-03-24T03:20:00-04:00,2025-03-24 07:20:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,31.29,30.09,-0.0,1.2
2025-03-24T03:20:00-04:00,2025-03-24 07:20:00+00:00,2025-03-24T03:25:00-04:00,2025-03-24 07:25:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,31.26,30.060000000000002,-0.0,1.2
2025-03-24T03:25:00-04:00,2025-03-24 07:25:00+00:00,2025-03-24T03:30:00-04:00,2025-03-24 07:30:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,31.23,30.03,-0.0,1.2
2025-03-24T03:30:00-04:00,2025-03-24 07:30:00+00:00,2025-03-24T03:35:00-04:00,2025-03-24 07:35:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,31.23,30.060000000000002,-0.0,1.17
2025-03-24T03:35:00-04:00,2025-03-24 07:35:00+00:00,2025-03-24T03:40:00-04:00,2025-03-24 07:40:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,31.23,30.060000000000002,-0.0,1.17
2025-03-24T03:40:00-04:00,2025-03-24 07:40:00+00:00,2025-03-24T03:45:00-04:00,2025-03-24 07:45:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,31.17,30.03,-0.0,1.14
2025-03-24T03:45:00-04:00,2025-03-24 07:45:00+00:00,2025-03-24T03:50:00-04:00,2025-03-24 07:50:00+00:00,CAPITL,REAL_TIME_5_MIN,Zone,31.17,30.03,-0.0,1.14
