Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
20.355,19.997,20.572,0.159,2025-03-24 00:12:16
20.369,19.925,22.501,0.45,2025-03-24 01:12:16
20.283,19.912,20.838,0.202,2025-03-24 02:12:16
20.358,19.939,20.937,0.211,2025-03-24 03:12:11
20.44,19.926,23.519,0.601,2025-03-24 04:12:16
20.36,20.025,21.011,0.185,2025-03-24 05:12:16
20.387,19.876,21.06,0.25,2025-03-24 06:12:10
20.57,19.952,27.688,1.341,2025-03-24 07:12:16
20.378,20.076,20.849,0.185,2025-03-24 08:12:11
20.47,19.926,22.223,0.413,2025-03-24 09:12:11
20.324,19.994,20.685,0.178,2025-03-24 10:12:16
20.279,19.946,20.56,0.154,2025-03-24 11:12:15
20.222,19.892,20.824,0.183,2025-03-24 12:12:12
20.369,19.926,20.951,0.217,2025-03-24 13:12:13
20.335,19.981,21.806,0.407,2025-03-24 14:12:15
20.382,19.957,21.379,0.334,2025-03-24 15:12:19
20.349,19.898,21.698,0.341,2025-03-24 16:12:17
20.889,19.875,32.426,2.197,2025-03-24 17:12:16
21.158,19.955,32.494,2.343,2025-03-24 18:12:16
21.182,20.017,43.165,4.12,2025-03-24 19:12:12
20.885,19.829,28.619,1.791,2025-03-24 20:12:17
25.17,19.961,59.22,9.891,2025-03-24 21:12:15
20.503,19.92,23.318,0.615,2025-03-24 22:12:15
20.307,20.001,20.85,0.202,2025-03-24 23:12:15
20.402,19.835,21.777,0.412,2025-03-25 00:12:16
20.328,19.882,22.165,0.381,2025-03-25 01:12:15
21.988,19.91,61.335,7.507,2025-03-25 02:12:12
20.41,20.019,21.695,0.321,2025-03-25 03:12:15
20.406,19.903,20.925,0.257,2025-03-25 04:12:16
20.257,19.931,20.686,0.211,2025-03-25 05:12:16
20.686,19.875,24.189,0.872,2025-03-25 06:12:16
20.267,19.903,20.535,0.194,2025-03-25 07:12:15
20.455,20.15,20.664,0.128,2025-03-25 08:12:16
20.632,20.03,31.299,1.986,2025-03-25 09:12:15
20.739,19.941,27.401,1.552,2025-03-25 10:12:17
20.3,19.915,21.635,0.354,2025-03-25 11:12:16
20.243,19.86,21.152,0.279,2025-03-25 12:12:12
20.367,19.979,21.51,0.336,2025-03-25 13:12:15
20.408,19.961,21.437,0.276,2025-03-25 14:12:16
20.778,19.969,22.888,0.762,2025-03-25 15:12:17
21.117,20.129,30.57,1.994,2025-03-25 16:12:18
20.388,19.924,21.449,0.341,2025-03-25 17:12:15
20.618,19.971,26.313,1.135,2025-03-25 18:12:18
20.233,19.84,20.979,0.25,2025-03-25 19:12:16
20.683,19.961,28.001,1.46,2025-03-25 20:12:18
25.369,19.92,72.733,11.746,2025-03-25 21:12:18
20.28,19.863,22.096,0.403,2025-03-25 22:12:15
20.232,19.965,20.92,0.197,2025-03-25 22:12:16
