Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
22.597,22.405,23.421,0.186,2025-03-24 00:13:06
22.682,22.445,24.329,0.387,2025-03-24 01:13:07
22.564,22.436,22.896,0.112,2025-03-24 02:13:07
22.522,22.399,22.766,0.081,2025-03-24 03:13:06
22.63,22.408,23.675,0.256,2025-03-24 04:13:08
22.539,22.399,23.229,0.144,2025-03-24 05:13:08
22.52,22.391,22.808,0.085,2025-03-24 06:13:06
22.662,22.458,24.257,0.363,2025-03-24 07:13:07
22.521,22.41,22.601,0.051,2025-03-24 08:13:08
22.68,22.475,23.964,0.286,2025-03-24 09:13:06
22.52,22.407,22.639,0.053,2025-03-24 10:13:07
22.793,22.477,25.259,0.529,2025-03-24 11:13:07
23.065,22.432,31.393,1.619,2025-03-24 12:13:09
22.655,22.405,25.192,0.493,2025-03-24 13:13:07
22.732,22.433,27.138,0.83,2025-03-24 14:13:07
22.942,22.462,29.043,1.174,2025-03-24 15:13:07
23.571,22.424,28.461,1.511,2025-03-24 16:13:07
31.902,25.4,37.828,2.934,2025-03-24 17:13:07
25.775,22.57,31.73,2.304,2025-03-24 18:13:08
29.934,22.544,36.465,3.08,2025-03-24 19:13:09
31.947,22.795,49.683,5.346,2025-03-24 20:13:07
22.604,22.493,22.823,0.093,2025-03-24 21:13:07
22.815,22.461,25.525,0.587,2025-03-24 22:13:06
22.562,22.452,22.885,0.108,2025-03-24 23:13:07
22.575,22.429,22.881,0.121,2025-03-25 00:13:07
22.617,22.446,23.419,0.216,2025-03-25 01:13:08
22.578,22.387,22.951,0.115,2025-03-25 02:13:07
22.552,22.447,22.785,0.08,2025-03-25 03:13:06
22.551,22.373,23.272,0.154,2025-03-25 04:13:08
22.678,22.457,23.468,0.226,2025-03-25 05:13:07
22.597,22.475,23.044,0.124,2025-03-25 06:13:07
22.601,22.408,23.26,0.176,2025-03-25 07:13:07
22.556,22.462,22.681,0.067,2025-03-25 08:13:07
22.537,22.446,22.768,0.074,2025-03-25 09:13:08
22.603,22.437,23.187,0.136,2025-03-25 10:13:06
22.67,22.431,24.136,0.334,2025-03-25 11:13:07
22.566,22.428,22.931,0.108,2025-03-25 12:13:06
22.596,22.453,23.094,0.135,2025-03-25 13:13:07
22.708,22.422,24.143,0.333,2025-03-25 14:13:07
22.592,22.433,22.922,0.088,2025-03-25 15:13:08
22.86,22.432,27.948,1.022,2025-03-25 16:13:06
22.674,22.466,23.731,0.282,2025-03-25 17:13:07
22.856,22.479,26.16,0.711,2025-03-25 18:13:07
22.58,22.438,22.829,0.094,2025-03-25 19:13:07
22.637,22.431,23.829,0.267,2025-03-25 20:13:08
22.704,22.424,24.115,0.339,2025-03-25 21:13:07
22.748,22.397,26.002,0.643,2025-03-25 22:13:10
22.624,22.449,23.292,0.187,2025-03-25 23:13:06
