Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
47.655,47.503,48.015,0.126,2025-03-24 00:13:45
48.602,47.471,55.723,2.054,2025-03-24 01:13:44
47.833,47.477,54.224,1.200,2025-03-24 02:13:49
47.623,47.483,48.350,0.174,2025-03-24 03:13:45
47.726,47.481,52.173,0.828,2025-03-24 04:13:46
47.601,47.442,48.076,0.111,2025-03-24 05:13:44
47.583,47.448,48.873,0.095,2025-03-24 06:13:44
47.638,47.497,48.277,0.111,2025-03-24 07:13:44
47.551,47.453,48.887,0.095,2025-03-24 08:13:44
47.632,47.547,48.872,0.081,2025-03-24 09:13:44
47.639,47.518,48.172,0.079,2025-03-24 10:13:44
47.591,47.511,47.734,0.149,2025-03-24 11:13:45
47.802,47.505,50.508,0.063,2025-03-24 12:13:44
38.882,38.802,39.000,0.588,2025-03-24 13:13:45
38.936,38.790,39.275,0.043,2025-03-24 14:13:44
38.935,38.837,39.118,0.094,2025-03-24 15:13:44
38.984,38.859,39.857,0.063,2025-03-24 16:13:48
38.969,38.826,39.462,0.212,2025-03-24 17:13:45
38.959,38.833,39.323,0.136,2025-03-24 18:13:44
38.959,38.838,39.572,0.105,2025-03-24 19:13:48
38.999,38.813,40.220,0.179,2025-03-24 20:13:45
38.935,38.822,39.290,0.283,2025-03-24 21:13:44
38.908,38.798,39.217,0.105,2025-03-24 22:13:46
38.907,38.809,39.079,0.071,2025-03-24 23:13:44
38.363,38.849,39.224,0.063,2025-03-25 00:13:44
40.446,38.862,46.879,0.080,2025-03-25 01:13:47
38.955,38.840,39.312,2.252,2025-03-25 02:13:45
38.397,38.840,39.349,0.129,2025-03-25 03:13:44
38.938,38.836,39.088,0.057,2025-03-25 04:13:34
38.382,38.816,39.922,0.102,2025-03-25 05:13:34
38.844,38.824,39.163,0.091,2025-03-25 06:13:44
38.890,38.803,39.373,0.080,2025-03-25 07:13:46
38.935,38.836,39.123,0.095,2025-03-25 08:13:44
38.947,38.873,39.076,0.066,2025-03-25 09:13:47
38.906,38.813,39.070,0.045,2025-03-25 10:13:45
38.921,38.847,39.063,0.060,2025-03-25 11:13:43
38.944,38.829,39.588,0.143,2025-03-25 12:13:45
38.969,38.853,39.152,0.075,2025-03-25 13:13:45
38.970,38.875,39.188,0.084,2025-03-25 14:13:44
39.056,38.876,41.533,0.468,2025-03-25 15:13:46
38.973,38.827,39.284,0.010,2025-03-25 16:13:45
39.043,38.821,39.958,0.290,2025-03-25 17:13:44
38.967,38.829,39.508,0.154,2025-03-25 18:13:45
38.934,38.815,39.168,0.075,2025-03-25 19:13:49
38.950,38.827,39.597,0.137,2025-03-25 20:13:49
38.961,38.831,39.405,0.101,2025-03-25 21:13:44
39.048,38.788,40.300,0.371,2025-03-25 22:13:44
38.952,38.797,41.019,0.386,2025-03-25 23:13:44
