Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
54.554,54.222,54.834,0.116,2025-03-24 00:29:05
54.541,54.237,55.855,0.269,2025-03-24 01:29:03
54.660,54.420,55.321,0.244,2025-03-24 02:29:04
54.610,54.332,55.461,0.213,2025-03-24 03:29:03
54.536,54.244,55.286,0.231,2025-03-24 04:29:04
54.655,54.461,55.783,0.276,2025-03-24 05:29:04
54.550,54.280,55.237,0.157,2025-03-24 06:29:04
54.611,54.277,55.440,0.217,2025-03-24 07:29:03
54.598,54.279,55.454,0.244,2025-03-24 08:29:04
54.484,54.227,55.058,0.184,2025-03-24 09:29:17
54.584,54.295,55.079,0.146,2025-03-24 10:29:01
54.582,54.301,55.424,0.178,2025-03-24 11:29:04
54.559,54.218,55.806,0.285,2025-03-24 12:29:03
54.583,54.270,55.097,0.159,2025-03-24 13:29:04
54.742,54.451,55.490,0.220,2025-03-24 14:29:03
54.510,54.205,55.185,0.210,2025-03-24 15:29:02
54.537,54.273,55.028,0.149,2025-03-24 16:29:03
54.703,54.235,58.522,0.784,2025-03-24 17:29:04
54.503,54.264,55.411,0.216,2025-03-24 18:29:03
55.093,54.421,66.507,2.133,2025-03-24 19:29:03
54.810,54.449,56.464,0.351,2025-03-24 20:29:02
54.746,54.514,55.343,0.169,2025-03-24 21:29:03
54.643,54.412,55.432,0.205,2025-03-24 22:29:02
54.557,54.172,55.995,0.368,2025-03-24 23:29:06
54.549,54.297,54.736,0.099,2025-03-25 00:29:02
54.583,54.289,55.402,0.220,2025-03-25 01:29:03
54.528,54.271,55.249,0.167,2025-03-25 02:29:03
54.708,54.288,57.615,0.677,2025-03-25 03:29:03
54.576,54.273,55.268,0.197,2025-03-25 04:29:03
54.537,54.341,54.728,0.098,2025-03-25 05:29:04
54.593,54.259,57.392,0.530,2025-03-25 06:29:04
54.589,54.322,55.018,0.120,2025-03-25 07:29:04
54.785,54.518,55.030,0.112,2025-03-25 08:29:03
54.540,54.263,54.710,0.113,2025-03-25 09:29:03
54.594,54.337,55.091,0.133,2025-03-25 10:29:16
54.607,54.296,55.213,0.176,2025-03-25 11:29:05
54.567,54.213,54.780,0.129,2025-03-25 12:29:03
54.693,54.307,58.234,0.674,2025-03-25 13:29:04
54.637,54.325,55.442,0.277,2025-03-25 14:29:04
54.684,54.359,56.865,0.431,2025-03-25 15:29:02
54.696,54.323,55.524,0.248,2025-03-25 16:29:04
54.548,54.282,55.033,0.146,2025-03-25 17:29:01
54.645,54.260,55.753,0.329,2025-03-25 18:29:04
54.566,54.280,54.958,0.159,2025-03-25 19:29:04
54.671,54.266,56.924,0.439,2025-03-25 20:29:04
54.582,54.243,55.940,0.389,2025-03-25 21:29:02
54.780,54.413,56.022,0.341,2025-03-25 22:29:03
54.506,54.229,54.648,0.111,2025-03-25 23:29:19
