Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
76.507,76.088,78.038,0.392,2025-03-24 00:38:54
76.917,76.110,79.398,0.921,2025-03-24 01:38:52
77.706,76.059,95.442,4.246,2025-03-24 02:38:52
76.594,75.947,77.788,0.451,2025-03-24 03:38:50
76.491,76.080,84.800,1.522,2025-03-24 04:38:55
76.493,76.040,77.167,0.270,2025-03-24 05:38:52
78.079,76.102,114.469,6.901,2025-03-24 06:38:54
76.425,75.993,78.524,0.494,2025-03-24 07:38:52
76.736,76.137,78.264,0.580,2025-03-24 08:38:54
76.438,76.012,77.296,0.280,2025-03-24 09:38:52
76.929,76.141,82.596,1.324,2025-03-24 10:38:51
81.850,76.371,113.178,9.288,2025-03-24 11:38:52
78.352,76.147,103.362,5.066,2025-03-24 12:38:56
79.408,76.075,105.158,6.250,2025-03-24 13:38:52
76.593,76.125,77.529,0.391,2025-03-24 14:38:52
76.337,75.902,77.634,0.348,2025-03-24 15:38:54
77.564,76.194,81.811,1.577,2025-03-24 16:38:58
85.297,78.906,91.806,3.769,2025-03-24 17:38:54
83.323,76.332,89.370,4.605,2025-03-24 18:38:51
81.242,76.531,88.563,3.156,2025-03-24 19:38:51
81.184,76.181,90.843,4.067,2025-03-24 20:38:51
76.500,76.149,77.071,0.246,2025-03-24 21:38:54
89.840,76.180,121.133,15.001,2025-03-24 22:38:55
76.666,76.048,80.069,0.775,2025-03-24 23:38:53
76.458,76.026,77.132,0.293,2025-03-25 00:38:51
76.070,75.980,87.716,2.072,2025-03-25 01:38:51
76.467,75.896,79.033,0.616,2025-03-25 02:38:52
76.492,76.022,79.633,0.618,2025-03-25 03:38:50
76.369,75.960,77.567,0.380,2025-03-25 04:38:51
76.405,75.967,77.339,0.411,2025-03-25 05:38:51
76.416,75.964,77.874,0.364,2025-03-25 06:38:51
76.347,75.967,77.214,0.293,2025-03-25 07:38:51
76.410,75.937,77.544,0.382,2025-03-25 08:38:50
77.391,76.094,100.572,4.326,2025-03-25 09:38:51
76.335,75.952,77.434,0.340,2025-03-25 10:38:53
76.552,75.866,79.558,0.731,2025-03-25 11:38:53
76.537,75.925,79.088,0.601,2025-03-25 12:38:53
77.844,76.086,109.420,5.926,2025-03-25 13:38:52
76.871,76.088,86.624,1.891,2025-03-25 14:38:52
76.002,76.031,79.164,0.698,2025-03-25 15:38:54
79.195,75.961,100.926,5.559,2025-03-25 16:38:51
76.573,76.001,78.088,0.545,2025-03-25 17:38:52
76.899,76.025,88.637,2.206,2025-03-25 18:28:50
76.927,75.926,86.310,1.962,2025-03-25 19:38:54
76.380,75.955,77.258,0.316,2025-03-25 20:38:52
76.539,75.879,80.841,0.941,2025-03-25 21:28:52
76.511,76.134,78.980,0.560,2025-03-25 22:28:51
78.366,75.956,110.319,7.166,2025-03-25 23:28:52
