Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
63.260,63.050,64.246,0.231,2025-03-24 00:24:02
64.533,63.077,90.272,5.054,2025-03-24 01:24:02
63.407,63.078,64.698,0.339,2025-03-24 02:24:02
63.645,63.032,72.288,1.627,2025-03-24 03:24:02
63.828,63.035,82.205,3.414,2025-03-24 04:24:03
64.377,63.064,86.498,4.343,2025-03-24 05:24:02
64.480,63.082,72.762,2.749,2025-03-24 06:24:01
64.017,63.093,78.430,2.820,2025-03-24 07:24:02
63.287,63.048,71.594,1.689,2025-03-24 08:24:02
64.017,63.076,72.270,2.016,2025-03-24 09:24:04
63.833,63.032,71.183,1.630,2025-03-24 10:24:02
63.613,63.088,72.197,1.610,2025-03-24 11:24:07
63.394,63.047,66.070,0.581,2025-03-24 12:24:01
64.905,63.062,106.372,7.766,2025-03-24 13:24:02
64.769,63.060,106.548,7.763,2025-03-24 14:24:01
64.009,63.052,81.794,3.378,2025-03-24 15:24:02
70.862,63.488,76.679,4.020,2025-03-24 16:24:02
66.333,63.098,98.190,6.314,2025-03-24 17:24:04
68.503,64.458,73.499,2.621,2025-03-24 18:24:01
72.045,63.413,88.421,6.636,2025-03-24 19:24:02
69.287,63.359,79.435,3.111,2025-03-24 20:24:02
67.115,63.146,105.690,9.770,2025-03-24 21:24:00
64.029,63.047,66.996,1.115,2025-03-24 22:24:02
64.259,63.009,75.310,2.832,2025-03-24 23:24:02
64.419,63.032,73.729,2.940,2025-03-25 00:24:02
63.439,63.101,66.308,0.678,2025-03-25 01:24:02
63.348,63.111,65.743,0.476,2025-03-25 02:24:03
65.848,63.228,108.169,8.881,2025-03-25 03:24:02
65.069,63.081,90.607,5.855,2025-03-25 04:24:02
69.639,63.067,94.709,10.419,2025-03-25 05:24:02
63.519,63.079,70.746,1.355,2025-03-25 06:24:02
63.224,63.103,63.774,0.128,2025-03-25 07:24:01
63.623,63.063,64.190,0.229,2025-03-25 08:24:01
63.272,63.048,64.096,0.258,2025-03-25 09:24:01
63.572,63.067,68.473,1.057,2025-03-25 10:24:03
63.355,63.064,65.096,0.384,2025-03-25 11:24:03
63.241,63.021,63.682,0.154,2025-03-25 12:24:01
63.887,63.058,71.737,1.839,2025-03-25 13:24:04
66.990,63.085,106.930,10.564,2025-03-25 14:24:05
64.476,63.092,79.598,3.255,2025-03-25 15:24:03
67.533,63.077,96.023,9.649,2025-03-25 16:24:03
63.939,63.031,69.207,1.088,2025-03-25 17:24:03
63.342,63.073,66.205,0.545,2025-03-25 18:24:03
63.541,63.057,71.890,1.563,2025-03-25 19:24:03
63.444,63.087,67.129,0.744,2025-03-25 20:24:02
64.850,63.104,78.241,3.645,2025-03-25 21:24:03
63.315,63.109,65.102,0.349,2025-03-25 22:24:01
66.307,63.070,96.622,7.090,2025-03-25 23:24:03
