Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
9.643,9.504,10.512,0.177,2025-03-24 00:52:25
9.625,9.492,10.348,0.154,2025-03-24 01:52:25
9.635,9.482,10.229,0.153,2025-03-24 02:52:24
9.641,9.479,9.938,0.108,2025-03-24 03:52:26
9.607,9.500,9.796,0.080,2025-03-24 04:52:24
9.635,9.484,10.394,0.153,2025-03-24 05:52:25
9.616,9.492,9.720,0.058,2025-03-24 06:52:24
9.616,9.480,10.240,0.132,2025-03-24 07:52:25
9.602,9.479,9.758,0.069,2025-03-24 08:52:24
9.626,9.507,9.853,0.082,2025-03-24 09:52:25
9.669,9.513,10.209,0.171,2025-03-24 10:52:23
9.605,9.492,9.895,0.078,2025-03-24 11:52:29
9.573,9.495,9.747,0.057,2025-03-24 12:52:25
9.633,9.528,10.160,0.114,2025-03-24 13:52:26
9.686,9.484,10.209,0.362,2025-03-24 14:52:24
9.649,9.511,9.925,0.115,2025-03-24 15:52:27
9.628,9.500,10.127,0.127,2025-03-24 16:52:24
9.690,9.494,10.529,0.229,2025-03-24 17:52:27
9.648,9.470,10.674,0.235,2025-03-24 18:52:24
9.733,9.441,11.717,0.430,2025-03-24 19:52:25
9.605,9.487,10.034,0.097,2025-03-24 20:52:25
9.649,9.505,9.849,0.089,2025-03-24 21:52:23
9.762,9.474,10.350,0.189,2025-03-24 22:52:24
9.638,9.533,9.768,0.070,2025-03-24 23:52:26
9.608,9.465,9.803,0.070,2025-03-25 00:52:25
9.713,9.499,11.581,0.359,2025-03-25 01:52:24
9.686,9.481,10.749,0.256,2025-03-25 02:52:25
9.644,9.497,9.834,0.093,2025-03-25 03:52:25
9.657,9.510,10.192,0.171,2025-03-25 04:52:23
9.594,9.513,9.784,0.061,2025-03-25 05:52:24
9.628,9.449,9.989,0.091,2025-03-25 06:52:24
9.631,9.534,9.804,0.079,2025-03-25 07:52:25
9.641,9.501,10.224,0.154,2025-03-25 08:52:25
9.591,9.507,9.762,0.064,2025-03-25 09:52:25
9.621,9.480,9.930,0.083,2025-03-25 10:52:27
9.617,9.481,10.321,0.156,2025-03-25 11:52:29
9.702,9.517,11.445,0.334,2025-03-25 12:52:24
9.705,9.496,10.497,0.237,2025-03-25 13:52:25
9.714,9.513,10.891,0.242,2025-03-25 14:52:24
9.697,9.504,10.286,0.178,2025-03-25 15:52:25
9.686,9.497,10.190,0.176,2025-03-25 16:52:24
9.867,9.472,14.298,0.857,2025-03-25 17:52:23
9.681,9.475,11.005,0.281,2025-03-25 18:52:24
9.783,9.444,12.862,0.617,2025-03-25 19:52:25
9.635,9.486,10.105,0.116,2025-03-25 20:52:24
9.604,9.493,10.336,0.153,2025-03-25 21:52:23
9.663,9.491,10.262,0.142,2025-03-25 22:52:24
9.616,9.493,9.794,0.076,2025-03-25 23:52:25
