Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
34.104,33.529,35.489,0.336,2025-03-24 00:13:06
34.154,33.600,35.830,0.405,2025-03-24 01:13:07
34.107,33.637,37.129,0.604,2025-03-24 02:13:07
34.380,33.641,41.250,1.306,2025-03-24 03:13:06
34.530,33.904,40.508,1.235,2025-03-24 04:13:08
34.085,33.674,34.878,0.211,2025-03-24 05:13:08
34.028,33.748,34.219,0.101,2025-03-24 06:13:06
34.115,33.873,34.296,0.103,2025-03-24 07:13:07
34.188,33.883,36.630,0.458,2025-03-24 08:13:08
34.214,33.862,34.582,0.166,2025-03-24 09:13:06
34.328,33.751,42.158,1.462,2025-03-24 10:13:07
34.489,33.855,37.969,0.796,2025-03-24 11:13:07
34.613,33.691,49.045,2.712,2025-03-24 12:13:09
34.125,33.681,34.426,0.162,2025-03-24 13:13:07
33.949,33.575,34.327,0.195,2025-03-24 14:13:07
34.152,33.658,35.323,0.280,2025-03-24 15:13:07
34.198,33.603,38.799,0.913,2025-03-24 16:13:07
34.184,33.606,36.778,0.552,2025-03-24 17:13:07
34.934,33.729,51.377,3.246,2025-03-24 18:13:08
34.089,33.685,34.302,0.138,2025-03-24 19:13:09
34.293,33.584,40.956,1.312,2025-03-24 20:13:07
34.104,33.705,34.644,0.205,2025-03-24 21:13:07
34.345,33.634,39.475,0.982,2025-03-24 22:13:06
34.011,33.656,34.700,0.226,2025-03-24 23:13:07
34.188,33.688,38.842,0.881,2025-03-25 00:13:07
34.046,33.631,34.753,0.252,2025-03-25 01:13:08
34.067,33.636,36.855,0.572,2025-03-25 02:13:07
34.027,33.668,34.360,0.199,2025-03-25 03:13:06
34.056,33.665,35.806,0.386,2025-03-25 04:13:08
34.192,33.790,34.834,0.227,2025-03-25 05:13:07
34.014,33.691,34.233,0.164,2025-03-25 06:13:07
34.247,33.665,35.349,0.359,2025-03-25 07:13:07
34.132,33.721,34.998,0.219,2025-03-25 08:13:07
34.061,33.702,34.387,0.169,2025-03-25 09:13:08
33.999,33.645,35.449,0.328,2025-03-25 10:13:07
34.029,33.699,34.201,0.145,2025-03-25 11:13:07
33.982,33.649,34.238,0.167,2025-03-25 12:13:06
33.939,33.645,34.146,0.147,2025-03-25 13:13:07
36.353,33.629,65.288,6.551,2025-03-25 14:13:07
34.123,33.647,36.532,0.485,2025-03-25 15:13:08
33.997,33.639,34.305,0.197,2025-03-25 16:13:06
34.065,33.573,36.705,0.528,2025-03-25 17:13:07
34.432,33.637,39.355,1.299,2025-03-25 18:13:07
33.985,33.598,34.749,0.251,2025-03-25 19:13:07
34.275,33.623,39.908,1.115,2025-03-25 20:13:08
33.805,33.521,34.091,0.143,2025-03-25 21:13:07
33.928,33.602,34.148,0.156,2025-03-25 22:13:10
34.079,33.632,35.258,0.377,2025-03-25 23:13:06
