Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
21.176,20.848,21.503,0.188,2025-03-24 00:13:45
21.436,20.790,28.749,1.370,2025-03-24 01:13:44
49.920,20.852,373.926,69.847,2025-03-24 02:13:55
21.249,20.954,21.584,0.143,2025-03-24 03:13:45
21.437,20.997,23.622,0.448,2025-03-24 04:13:46
21.619,20.892,30.982,1.806,2025-03-24 05:13:44
23.322,20.951,49.989,5.889,2025-03-24 06:13:44
21.338,21.067,21.849,0.170,2025-03-24 07:13:44
21.298,20.940,21.542,0.139,2025-03-24 08:13:44
21.935,21.017,31.683,2.383,2025-03-24 09:13:44
21.203,20.779,21.445,0.196,2025-03-24 10:13:44
21.297,20.888,21.400,0.112,2025-03-24 11:13:45
21.281,20.841,21.426,0.147,2025-03-24 12:13:44
21.263,20.909,21.543,0.123,2025-03-24 13:13:45
21.326,21.040,21.513,0.119,2025-03-24 14:13:44
21.290,20.872,21.501,0.174,2025-03-24 15:13:44
21.191,20.897,21.520,0.158,2025-03-24 16:13:48
21.208,20.940,21.473,0.139,2025-03-24 17:13:45
21.138,20.777,21.464,0.189,2025-03-24 18:13:44
21.165,20.814,21.468,0.187,2025-03-24 19:13:48
21.120,20.760,21.393,0.138,2025-03-24 20:13:45
21.232,20.824,21.508,0.190,2025-03-24 21:13:44
22.490,20.983,38.172,3.242,2025-03-24 22:13:46
21.134,20.782,22.171,0.284,2025-03-24 23:13:44
21.146,20.819,21.759,0.221,2025-03-25 00:13:44
21.297,20.946,21.571,0.124,2025-03-25 01:13:47
22.077,20.916,34.288,2.917,2025-03-25 02:13:45
21.270,20.762,23.571,0.580,2025-03-25 03:12:44
21.215,20.924,21.451,0.176,2025-03-25 04:13:44
21.343,20.883,22.615,0.282,2025-03-25 05:13:44
21.243,20.825,21.561,0.179,2025-03-25 06:13:44
21.226,20.894,21.446,0.167,2025-03-25 07:13:46
21.328,20.911,21.505,0.123,2025-03-25 08:13:44
21.354,21.082,21.583,0.113,2025-03-25 09:13:47
21.208,20.891,21.409,0.156,2025-03-25 10:13:45
21.315,21.000,21.771,0.133,2025-03-25 11:13:43
22.032,20.741,42.223,3.834,2025-03-25 12:13:45
21.287,20.841,22.235,0.236,2025-03-25 13:13:45
21.781,20.724,34.102,2.544,2025-03-25 14:13:44
23.842,20.739,56.268,8.080,2025-03-25 15:13:46
21.285,20.902,21.475,0.446,2025-03-25 16:13:45
21.250,20.901,21.482,0.166,2025-03-25 17:13:44
21.212,20.878,21.520,0.174,2025-03-25 18:13:45
21.283,20.802,25.160,0.744,2025-03-25 19:13:49
21.080,20.808,21.465,0.199,2025-03-25 20:13:50
21.111,20.763,21.376,0.170,2025-03-25 21:13:44
21.247,20.839,21.499,0.188,2025-03-25 22:13:44
21.253,20.775,23.135,0.391,2025-03-25 23:13:44
