Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
69.034,67.262,90.595,4.679,2025-03-24 00:29:05
67.881,67.464,71.269,0.685,2025-03-24 01:29:03
68.166,67.182,81.267,2.446,2025-03-24 02:29:04
68.575,67.479,90.021,3.984,2025-03-24 03:29:03
69.102,67.469,87.567,4.147,2025-03-24 04:29:04
67.829,67.386,68.026,0.160,2025-03-24 05:29:04
67.753,67.320,68.097,0.198,2025-03-24 06:29:05
67.916,67.441,72.626,0.887,2025-03-24 07:29:04
67.848,67.327,68.113,0.188,2025-03-24 08:29:04
67.878,67.592,68.029,0.118,2025-03-24 09:29:17
69.824,67.568,91.815,5.060,2025-03-24 10:29:01
67.817,67.288,68.093,0.200,2025-03-24 11:29:04
67.860,67.504,68.097,0.133,2025-03-24 12:29:03
67.806,67.331,68.008,0.157,2025-03-24 13:29:04
70.030,67.240,102.209,7.055,2025-03-24 14:29:03
75.471,67.276,97.989,7.658,2025-03-24 15:29:02
79.718,67.278,1124.413,11.912,2025-03-24 16:29:03
67.745,67.349,68.535,0.227,2025-03-24 17:29:04
69.215,67.240,106.652,7.038,2025-03-24 18:29:03
67.971,67.188,73.387,1.155,2025-03-24 19:29:03
67.913,67.227,72.947,1.067,2025-03-24 20:29:02
67.115,67.260,68.085,0.178,2025-03-24 21:29:03
67.147,67.375,68.971,0.362,2025-03-24 22:29:02
68.383,67.199,78.634,2.376,2025-03-24 23:29:06
67.951,67.287,76.494,1.598,2025-03-25 00:29:03
68.301,67.337,77.049,2.015,2025-03-25 01:29:03
67.670,67.184,68.062,0.222,2025-03-25 02:29:03
67.647,67.201,67.985,0.207,2025-03-25 03:29:03
67.991,67.204,73.705,1.073,2025-03-25 04:29:03
67.822,67.333,68.007,0.373,2025-03-25 05:29:04
75.178,67.497,126.305,14.690,2025-03-25 06:29:04
67.731,67.367,68.445,0.225,2025-03-25 07:29:04
67.798,67.420,67.996,0.155,2025-03-25 08:29:03
67.849,67.483,68.097,0.158,2025-03-25 09:29:03
67.744,67.399,68.074,0.221,2025-03-25 10:29:16
69.430,67.415,97.505,5.488,2025-03-25 11:29:05
68.075,67.384,75.994,1.601,2025-03-25 12:29:03
67.692,67.293,67.981,0.220,2025-03-25 13:29:04
69.795,67.167,98.473,6.419,2025-03-25 14:29:04
67.851,67.278,69.247,0.304,2025-03-25 15:29:02
67.670,67.248,68.426,0.251,2025-03-25 16:29:04
67.658,67.115,67.948,0.209,2025-03-25 17:29:01
69.293,67.479,92.377,4.600,2025-03-25 18:29:04
68.037,67.009,74.080,1.504,2025-03-25 19:29:04
67.617,67.312,68.023,0.167,2025-03-25 20:29:04
67.920,67.296,73.670,1.084,2025-03-25 21:29:02
69.994,67.180,100.529,6.585,2025-03-25 22:29:03
74.057,70.762,93.055,5.280,2025-03-25 23:29:19
