Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
72.771,71.984,73.646,0.382,2025-03-24 00:38:54
73.193,72.290,77.442,1.307,2025-03-24 01:38:52
73.187,72.304,75.739,0.731,2025-03-24 02:38:52
73.214,72.105,76.362,0.759,2025-03-24 03:38:50
72.888,72.353,74.127,0.430,2025-03-24 04:38:55
73.790,72.178,83.900,3.009,2025-03-24 05:38:52
73.827,72.232,86.481,3.417,2025-03-24 06:38:54
72.713,71.892,73.989,0.413,2025-03-24 07:38:52
73.161,72.175,77.548,1.043,2025-03-24 08:38:54
72.709,72.209,73.524,0.268,2025-03-24 09:38:52
73.110,71.990,81.136,1.749,2025-03-24 10:38:51
77.332,72.217,111.323,10.065,2025-03-24 11:38:52
74.350,72.227,105.477,6.016,2025-03-24 12:38:56
77.073,72.275,106.205,9.260,2025-03-24 13:38:52
73.308,72.148,87.637,2.668,2025-03-24 14:38:52
72.480,72.021,73.244,0.276,2025-03-24 15:38:54
72.983,72.233,74.816,0.693,2025-03-24 16:38:58
72.772,71.991,75.296,0.627,2025-03-24 17:38:54
73.951,72.167,103.277,5.447,2025-03-24 18:38:51
73.142,72.034,84.458,2.220,2025-03-24 19:38:51
77.411,72.006,99.750,7.449,2025-03-24 20:38:56
76.214,72.079,108.498,8.299,2025-03-24 21:38:54
87.549,72.431,117.680,16.379,2025-03-24 22:38:55
73.199,71.978,79.913,1.857,2025-03-24 23:38:53
72.790,72.053,77.004,0.891,2025-03-25 00:38:51
77.005,72.005,95.499,5.569,2025-03-25 01:38:55
73.042,72.112,82.719,1.896,2025-03-25 02:38:52
72.883,72.059,78.531,1.093,2025-03-25 03:38:50
72.678,72.233,73.709,0.330,2025-03-25 04:38:51
72.557,71.929,73.899,0.419,2025-03-25 05:38:51
72.924,72.168,75.195,0.658,2025-03-25 06:38:51
73.209,72.276,82.316,1.894,2025-03-25 07:38:51
72.609,71.978,74.228,0.453,2025-03-25 08:38:50
75.489,72.032,97.220,6.548,2025-03-25 09:38:51
81.295,72.067,118.623,12.109,2025-03-25 10:38:53
72.796,72.078,78.372,1.130,2025-03-25 11:38:53
72.684,71.958,77.396,1.082,2025-03-25 12:38:52
73.861,72.083,104.325,5.679,2025-03-25 13:38:52
72.872,71.988,75.638,0.861,2025-03-25 14:38:57
72.508,71.950,74.076,0.425,2025-03-25 15:38:54
75.081,72.063,104.996,6.335,2025-03-25 16:38:51
72.764,71.917,75.379,0.661,2025-03-25 17:38:52
72.740,71.826,80.433,1.515,2025-03-25 18:38:50
72.921,72.040,80.648,1.578,2025-03-25 19:38:54
72.497,71.917,73.408,0.325,2025-03-25 20:38:52
72.633,71.878,75.208,0.626,2025-03-25 21:28:52
72.462,71.895,73.780,0.362,2025-03-25 22:28:51
77.904,72.215,121.325,11.169,2025-03-25 23:28:52
