Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
65.147,64.834,65.612,0.196,2025-03-24 00:24:02
67.108,64.931,104.978,8.072,2025-03-24 01:24:02
65.423,64.894,66.818,0.225,2025-03-24 02:24:02
65.361,64.896,66.745,0.324,2025-03-24 03:24:02
66.026,65.032,83.836,3.327,2025-03-24 04:24:03
66.087,64.832,88.032,4.094,2025-03-24 05:24:02
67.151,64.913,87.941,4.875,2025-03-24 06:24:02
65.764,64.930,74.744,1.696,2025-03-24 07:24:02
66.021,64.842,81.422,3.000,2025-03-24 08:24:02
67.442,64.817,81.343,3.762,2025-03-24 09:24:04
66.083,64.795,82.115,3.137,2025-03-24 10:24:02
65.567,64.889,69.080,0.751,2025-03-24 11:24:07
59.711,58.890,66.776,1.406,2025-03-24 12:24:01
62.130,59.189,100.874,7.883,2025-03-24 13:24:02
61.430,58.951,103.555,8.424,2025-03-24 14:24:01
60.093,58.832,75.575,3.557,2025-03-24 15:24:02
59.387,58.995,59.801,0.198,2025-03-24 16:24:02
60.980,58.806,96.231,6.851,2025-03-24 17:24:04
60.169,58.891,73.825,3.385,2025-03-24 18:24:01
61.719,58.911,72.625,4.602,2025-03-24 19:24:02
76.855,58.804,224.882,36.044,2025-03-24 20:24:03
65.018,58.835,104.401,13.076,2025-03-24 21:24:00
59.271,58.742,60.777,0.348,2025-03-24 22:24:03
61.241,58.820,83.830,4.882,2025-03-24 23:24:02
60.836,58.847,78.341,3.988,2025-03-25 00:24:02
59.283,58.834,60.046,0.240,2025-03-25 01:24:02
60.028,58.861,72.879,2.503,2025-03-25 02:24:03
61.815,58.869,102.694,9.485,2025-03-25 03:24:02
62.415,58.842,104.032,8.913,2025-03-25 04:24:02
66.301,58.755,99.297,11.937,2025-03-25 05:24:02
59.376,58.975,59.867,0.151,2025-03-25 06:24:02
59.703,58.975,67.835,1.744,2025-03-25 07:24:01
59.535,58.958,66.915,1.388,2025-03-25 08:24:01
59.365,59.032,60.240,0.220,2025-03-25 09:24:01
60.756,58.814,94.406,6.507,2025-03-25 10:24:03
59.259,58.868,60.600,0.329,2025-03-25 11:24:03
62.568,58.836,76.617,5.712,2025-03-25 12:24:01
60.310,58.956,79.671,3.731,2025-03-25 13:24:04
60.140,58.912,70.572,2.513,2025-03-25 14:24:05
63.968,58.838,93.188,8.801,2025-03-25 15:24:02
62.227,58.858,83.746,5.866,2025-03-25 16:24:03
59.234,58.780,62.787,0.703,2025-03-25 17:24:03
59.590,58.832,65.262,1.232,2025-03-25 18:24:03
59.326,58.925,59.754,0.168,2025-03-25 19:24:03
60.060,58.849,73.733,2.957,2025-03-25 20:24:02
62.922,58.883,89.202,7.154,2025-03-25 21:24:03
59.387,58.952,60.892,0.348,2025-03-25 22:24:01
63.868,58.812,94.306,8.936,2025-03-25 23:24:03
