Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
50.505,49.366,57.032,1.979,2025-03-24 00:27:03
48.963,48.396,55.457,1.222,2025-03-24 01:27:02
48.865,48.484,49.232,0.177,2025-03-24 02:27:03
49.052,48.464,54.036,0.951,2025-03-24 03:27:07
48.749,48.447,48.987,0.174,2025-03-24 04:27:03
49.732,49.369,49.945,0.170,2025-03-24 05:27:03
49.788,49.415,50.011,0.148,2025-03-24 06:27:04
49.852,49.496,50.536,0.201,2025-03-24 07:27:04
49.843,49.521,50.217,0.145,2025-03-24 08:27:03
49.769,49.434,50.065,0.174,2025-03-24 09:27:05
49.835,49.449,50.022,0.134,2025-03-24 10:27:02
49.852,49.550,50.050,0.136,2025-03-24 11:27:04
49.879,49.570,50.036,0.112,2025-03-24 12:27:02
49.815,49.445,50.307,0.151,2025-03-24 13:27:04
49.864,49.514,50.077,0.128,2025-03-24 14:27:02
49.796,49.303,50.103,0.177,2025-03-24 15:27:03
51.474,49.343,74.275,4.576,2025-03-24 16:27:08
50.143,49.277,62.305,2.266,2025-03-24 17:27:04
50.168,49.394,64.024,2.580,2025-03-24 18:27:04
49.826,49.326,50.233,0.193,2025-03-24 19:27:03
49.786,49.415,50.194,0.183,2025-03-24 20:27:03
51.268,49.368,85.430,6.491,2025-03-24 21:27:01
49.824,49.398,50.037,0.147,2025-03-24 22:27:02
52.206,49.370,68.458,3.497,2025-03-24 23:27:08
48.830,48.536,49.471,0.217,2025-03-25 00:27:03
49.062,48.594,49.759,0.186,2025-03-25 01:27:03
50.411,49.393,61.784,2.553,2025-03-25 02:27:07
49.918,49.255,54.287,1.072,2025-03-25 03:27:06
49.823,49.504,50.007,0.146,2025-03-25 04:27:02
49.745,49.273,50.082,0.213,2025-03-25 05:27:07
50.164,49.647,58.148,1.489,2025-03-25 06:27:03
49.863,49.517,50.013,0.131,2025-03-25 07:27:03
49.836,49.527,50.034,0.124,2025-03-25 08:27:03
49.802,49.419,51.214,0.391,2025-03-25 09:27:01
49.509,49.311,49.913,0.174,2025-03-25 10:27:06
52.323,49.401,85.244,8.072,2025-03-25 11:27:07
49.842,49.334,49.994,0.148,2025-03-25 12:27:04
51.818,49.407,70.042,4.903,2025-03-25 13:27:02
48.830,48.589,49.242,0.153,2025-03-25 14:27:04
48.986,48.506,49.492,0.143,2025-03-25 15:27:03
48.925,48.482,50.873,0.488,2025-03-25 16:27:04
49.854,49.533,50.086,0.144,2025-03-25 17:27:02
49.917,49.385,55.321,1.031,2025-03-25 18:27:03
49.997,49.318,59.950,1.853,2025-03-25 19:27:02
49.440,48.417,68.427,3.531,2025-03-25 20:27:04
50.557,49.372,59.751,2.431,2025-03-25 21:27:03
51.216,49.336,74.819,5.524,2025-03-25 22:27:02
52.169,49.295,79.697,6.731,2025-03-25 23:27:06
