Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
25.417,25.100,26.573,0.273,2025-03-24 00:52:25
25.234,25.114,25.797,0.186,2025-03-24 01:52:25
25.412,25.125,25.759,0.192,2025-03-24 02:52:24
25.426,25.185,25.877,0.206,2025-03-24 03:52:26
25.409,25.193,25.731,0.186,2025-03-24 04:52:24
25.405,25.123,25.842,0.218,2025-03-24 05:52:25
25.469,25.183,25.869,0.220,2025-03-24 06:52:24
25.409,25.178,25.801,0.189,2025-03-24 07:52:25
25.426,25.182,25.772,0.196,2025-03-24 08:52:24
26.014,25.158,43.874,3.320,2025-03-24 09:52:25
25.440,25.187,25.759,0.187,2025-03-24 10:52:24
25.420,25.119,25.713,0.181,2025-03-24 11:52:29
25.470,25.152,25.747,0.188,2025-03-24 12:52:25
25.419,25.134,25.797,0.218,2025-03-24 13:52:26
25.420,25.133,25.737,0.196,2025-03-24 14:52:24
25.391,25.138,25.820,0.193,2025-03-24 15:52:27
27.010,25.095,50.077,5.205,2025-03-24 16:52:24
25.446,25.152,25.728,0.190,2025-03-24 17:52:27
25.325,25.050,25.655,0.186,2025-03-24 18:52:24
25.383,25.082,26.326,0.294,2025-03-24 19:52:25
25.445,25.057,27.138,0.359,2025-03-24 20:52:25
25.936,25.085,38.823,2.516,2025-03-24 21:52:23
29.447,25.139,60.661,9.380,2025-03-24 22:52:24
25.389,25.130,25.769,0.207,2025-03-24 23:52:26
25.364,25.059,26.107,0.211,2025-03-25 00:52:25
25.384,25.106,25.942,0.215,2025-03-25 01:52:24
26.016,25.196,35.495,2.074,2025-03-25 02:52:25
25.362,25.150,25.656,0.164,2025-03-25 03:52:25
25.644,25.137,26.559,0.279,2025-03-25 04:52:23
25.454,25.149,27.252,0.380,2025-03-25 05:52:24
25.383,25.168,25.737,0.168,2025-03-25 06:52:24
25.450,25.165,26.705,0.297,2025-03-25 07:52:25
25.462,25.134,26.596,0.289,2025-03-25 08:52:25
25.475,25.162,26.265,0.249,2025-03-25 09:52:25
25.349,25.100,25.735,0.201,2025-03-25 10:52:27
25.336,25.046,25.747,0.192,2025-03-25 11:52:29
25.419,25.108,27.070,0.362,2025-03-25 12:52:24
25.885,25.139,29.070,0.682,2025-03-25 13:52:25
25.407,25.102,25.753,0.194,2025-03-25 14:52:24
25.943,25.118,34.214,2.098,2025-03-25 15:52:26
25.489,25.143,27.687,0.464,2025-03-25 16:52:24
25.360,25.094,25.696,0.188,2025-03-25 17:52:23
25.414,25.112,25.744,0.193,2025-03-25 18:52:24
26.206,25.149,36.391,2.697,2025-03-25 19:52:25
25.311,25.065,25.700,0.184,2025-03-25 20:52:24
25.631,25.039,31.750,1.352,2025-03-25 21:52:23
25.988,25.080,43.092,3.182,2025-03-25 22:52:24
25.391,25.085,28.885,0.209,2025-03-25 23:52:25
