Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
30.466,29.889,33.778,0.850,2025-03-24 00:12:45
31.284,30.250,33.821,0.579,2025-03-24 01:13:50
31.350,30.679,31.881,0.770,2025-03-24 02:13:49
30.111,29.880,31.079,0.273,2025-03-24 03:13:45
30.054,29.893,30.557,0.135,2025-03-24 04:13:46
30.055,29.879,30.477,0.140,2025-03-24 05:13:44
30.027,29.895,30.704,0.149,2025-03-24 06:13:44
30.097,29.900,32.671,0.482,2025-03-24 07:13:44
30.052,29.888,30.362,0.112,2025-03-24 08:13:44
30.284,29.855,35.853,1.050,2025-03-24 09:13:44
30.051,29.896,30.522,0.141,2025-03-24 10:13:44
30.158,29.932,32.269,0.581,2025-03-24 11:13:45
29.981,29.839,30.238,0.093,2025-03-24 12:13:44
29.991,29.838,30.402,0.113,2025-03-24 13:13:45
29.978,29.862,30.174,0.065,2025-03-24 14:13:44
30.072,29.885,32.068,0.379,2025-03-24 15:13:44
30.068,29.880,30.458,0.122,2025-03-24 16:13:48
30.069,29.867,30.772,0.165,2025-03-24 17:13:45
30.130,29.868,32.270,0.451,2025-03-24 18:13:44
30.010,29.907,30.142,0.067,2025-03-24 19:13:48
30.018,29.868,30.454,0.121,2025-03-24 20:13:45
30.033,29.884,30.283,0.108,2025-03-24 21:13:44
30.092,29.843,32.039,0.385,2025-03-24 22:13:46
29.971,29.823,30.342,0.111,2025-03-24 23:13:44
29.994,29.892,30.528,0.130,2025-03-25 00:13:14
29.967,29.853,30.154,0.083,2025-03-25 01:13:47
30.006,29.892,30.147,0.061,2025-03-25 02:13:45
30.022,29.892,30.251,0.085,2025-03-25 03:13:45
29.982,29.887,30.127,0.062,2025-03-25 04:13:44
30.097,29.906,31.396,0.299,2025-03-25 05:13:44
30.024,29.930,30.534,0.102,2025-03-25 06:13:44
30.097,29.863,31.136,0.225,2025-03-25 07:13:46
30.030,29.894,30.280,0.090,2025-03-25 08:13:44
30.058,29.953,30.420,0.087,2025-03-25 09:13:47
30.073,29.982,30.222,0.058,2025-03-25 10:13:45
17.298,16.255,24.509,2.100,2025-03-25 11:13:43
16.437,16.237,16.840,0.116,2025-03-25 12:13:45
16.429,16.304,16.616,0.074,2025-03-25 13:13:45
16.375,16.206,16.826,0.122,2025-03-25 14:13:44
16.394,16.284,16.519,0.049,2025-03-25 15:13:46
16.420,16.273,16.661,0.091,2025-03-25 16:13:45
16.986,16.252,24.400,1.761,2025-03-25 17:13:44
16.405,16.298,16.583,0.071,2025-03-25 18:13:45
16.324,16.184,17.059,0.156,2025-03-25 19:13:49
16.343,16.173,16.573,0.087,2025-03-25 20:13:44
16.320,16.199,16.881,0.157,2025-03-25 21:13:44
16.326,16.192,16.628,0.111,2025-03-25 22:13:44
16.315,16.212,16.448,0.060,2025-03-25 23:13:44
