Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
34.348,34.132,35.219,0.227,2025-03-24 00:29:05
34.298,34.024,34.602,0.119,2025-03-24 01:29:03
34.334,34.061,35.463,0.240,2025-03-24 02:29:04
34.263,34.023,34.446,0.082,2025-03-24 03:29:03
34.295,34.050,34.522,0.097,2025-03-24 04:29:04
34.350,33.971,37.341,0.566,2025-03-24 05:29:04
34.288,34.083,34.483,0.106,2025-03-24 06:29:05
34.348,34.021,34.795,0.146,2025-03-24 07:29:04
34.326,34.109,34.557,0.087,2025-03-24 08:29:04
34.277,34.008,34.461,0.101,2025-03-24 09:29:17
34.357,34.010,34.888,0.147,2025-03-24 10:29:01
34.320,34.073,34.702,0.122,2025-03-24 11:29:04
34.212,33.997,34.384,0.113,2025-03-24 12:29:03
34.532,34.108,37.251,0.619,2025-03-24 13:29:04
34.277,34.029,34.497,0.118,2025-03-24 14:29:03
34.357,34.034,36.764,0.462,2025-03-24 15:29:02
34.963,34.165,40.572,1.517,2025-03-24 16:29:03
34.318,33.992,34.529,0.132,2025-03-24 17:29:04
34.226,34.030,34.507,0.092,2025-03-24 18:29:03
34.265,34.024,34.806,0.171,2025-03-24 19:29:03
34.365,34.106,34.884,0.130,2025-03-24 20:29:02
34.349,34.151,35.200,0.199,2025-03-24 21:29:03
34.337,33.994,35.140,0.237,2025-03-24 22:29:02
34.290,34.023,35.314,0.214,2025-03-24 23:29:06
34.282,34.036,34.514,0.112,2025-03-25 00:29:03
34.259,34.056,34.504,0.105,2025-03-25 01:29:03
34.225,33.943,34.456,0.110,2025-03-25 02:29:03
34.241,34.005,34.641,0.112,2025-03-25 03:29:03
34.020,34.071,34.508,0.123,2025-03-25 04:29:04
34.423,34.052,36.201,0.422,2025-03-25 05:29:04
34.315,34.035,34.653,0.166,2025-03-25 06:29:04
34.337,34.036,34.625,0.118,2025-03-25 07:29:04
34.329,34.133,34.998,0.150,2025-03-25 08:29:03
34.374,34.043,34.621,0.122,2025-03-25 09:29:03
34.365,34.056,34.507,0.104,2025-03-25 10:29:16
34.409,34.142,35.510,0.250,2025-03-25 11:29:05
34.387,34.087,34.643,0.139,2025-03-25 12:29:03
34.305,34.023,34.520,0.132,2025-03-25 13:29:04
34.282,34.041,34.932,0.074,2025-03-25 14:29:04
34.446,34.084,37.087,0.504,2025-03-25 15:29:02
34.291,33.981,34.453,0.114,2025-03-25 16:29:04
34.478,34.290,34.475,0.104,2025-03-25 17:29:01
34.271,34.063,34.567,0.130,2025-03-25 18:29:04
34.377,34.121,34.880,0.166,2025-03-25 19:29:04
34.237,34.059,34.398,0.088,2025-03-25 20:29:04
34.290,33.989,34.568,0.103,2025-03-25 21:29:02
34.374,34.199,34.723,0.117,2025-03-25 22:29:03
34.247,34.063,34.379,0.086,2025-03-25 23:29:19
