Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
58.217,57.817,59.102,0.288,2025-03-24 00:38:54
58.651,57.827,62.181,0.937,2025-03-24 01:38:52
58.883,57.895,67.083,1.681,2025-03-24 02:38:52
58.473,57.861,60.364,0.575,2025-03-24 03:38:50
58.263,57.783,61.029,0.591,2025-03-24 04:38:55
58.295,57.821,59.747,0.457,2025-03-24 05:38:52
60.119,57.756,80.798,4.882,2025-03-24 06:38:54
58.239,57.786,59.390,0.406,2025-03-24 07:38:52
58.421,57.932,60.138,0.518,2025-03-24 08:38:54
58.139,57.827,58.676,0.209,2025-03-24 09:38:52
58.620,57.932,66.456,1.503,2025-03-24 10:38:51
64.699,57.920,96.123,10.084,2025-03-24 11:38:52
59.198,57.826,70.923,2.814,2025-03-24 12:38:56
61.638,57.666,85.906,7.703,2025-03-24 13:38:52
58.419,57.994,61.577,0.844,2025-03-24 14:38:52
58.171,57.534,59.418,0.443,2025-03-24 15:38:54
58.204,57.683,59.198,0.303,2025-03-24 16:38:58
58.616,57.976,62.278,0.941,2025-03-24 17:38:54
59.126,57.752,80.343,3.974,2025-03-24 18:38:51
58.223,57.773,59.172,0.335,2025-03-24 19:38:51
58.026,57.559,59.349,0.442,2025-03-24 20:28:51
58.323,57.716,60.125,0.515,2025-03-24 21:28:54
75.495,57.722,98.843,17.314,2025-03-24 22:28:55
58.491,57.776,62.397,0.926,2025-03-24 23:28:53
58.120,57.689,58.883,0.314,2025-03-25 00:38:51
58.314,57.530,60.449,0.533,2025-03-25 01:38:51
58.201,57.662,61.051,0.704,2025-03-25 02:38:52
58.019,57.619,59.053,0.328,2025-03-25 03:38:50
58.152,57.650,59.449,0.396,2025-03-25 04:38:51
58.050,57.572,58.685,0.278,2025-03-25 05:38:51
58.254,57.639,60.577,0.623,2025-03-25 06:38:51
58.280,57.641,61.304,0.723,2025-03-25 07:38:51
58.652,57.722,70.811,2.321,2025-03-25 08:38:50
60.675,57.838,80.671,6.166,2025-03-25 09:38:51
58.220,57.834,59.499,0.382,2025-03-25 10:38:53
58.002,57.674,59.111,0.298,2025-03-25 11:38:53
58.132,57.637,61.491,0.650,2025-03-25 12:38:52
60.772,57.853,95.629,8.755,2025-03-25 13:38:52
58.396,57.573,67.418,1.707,2025-03-25 14:38:52
58.232,57.598,60.867,0.694,2025-03-25 15:38:54
59.323,57.641,74.368,3.412,2025-03-25 16:38:55
58.246,57.617,61.092,0.674,2025-03-25 17:38:52
58.254,57.737,59.277,0.335,2025-03-25 18:38:50
58.977,57.728,78.150,3.741,2025-03-25 19:38:54
58.033,57.692,58.774,0.269,2025-03-25 20:28:52
58.256,57.575,60.828,0.602,2025-03-25 21:28:52
58.035,57.637,58.981,0.341,2025-03-25 22:28:51
60.596,57.633,94.111,8.624,2025-03-25 23:28:52
