Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
26.713,25.987,41.511,2.750,2025-03-24 00:24:02
27.774,25.998,64.250,6.894,2025-03-24 01:24:02
26.334,26.041,27.273,0.279,2025-03-24 02:24:02
26.533,26.016,34.549,1.500,2025-03-24 03:24:02
27.273,26.041,48.161,3.980,2025-03-24 04:24:03
26.656,26.005,33.078,1.391,2025-03-24 05:24:02
26.624,26.034,32.688,1.284,2025-03-24 06:24:02
27.162,26.034,39.040,2.961,2025-03-24 07:24:02
27.227,26.024,57.258,5.577,2025-03-24 08:24:02
28.241,26.080,49.197,4.403,2025-03-24 09:24:04
27.361,25.986,43.083,3.783,2025-03-24 10:24:02
26.601,26.114,34.611,1.531,2025-03-24 11:24:07
26.314,25.985,28.807,0.524,2025-03-24 12:24:01
28.516,25.927,71.477,8.336,2025-03-24 13:24:02
28.229,26.047,70.224,8.115,2025-03-24 14:24:01
27.145,26.032,46.188,3.669,2025-03-24 15:24:02
26.232,25.957,26.740,0.215,2025-03-24 16:24:02
27.151,26.027,39.624,3.032,2025-03-24 17:24:04
26.237,25.920,27.428,0.290,2025-03-24 18:24:01
28.669,26.048,39.989,4.532,2025-03-24 19:24:02
26.695,26.029,39.016,2.299,2025-03-24 20:24:03
32.169,26.021,67.122,11.357,2025-03-24 21:24:01
26.165,25.976,26.782,0.159,2025-03-24 22:24:03
27.301,25.923,43.185,3.231,2025-03-24 23:24:02
26.343,26.000,30.484,0.775,2025-03-25 00:24:02
26.226,26.009,27.320,0.248,2025-03-25 01:24:02
26.497,25.998,35.417,1.660,2025-03-25 02:24:03
28.669,26.001,64.364,7.795,2025-03-25 03:24:02
26.158,26.018,26.833,0.146,2025-03-25 04:24:02
33.291,25.981,64.008,11.697,2025-03-25 05:24:02
26.344,26.037,28.872,0.601,2025-03-25 06:24:02
26.282,25.978,29.498,0.620,2025-03-25 07:24:01
26.282,26.125,26.575,0.113,2025-03-25 08:24:01
26.546,26.138,33.633,1.320,2025-03-25 09:24:01
26.223,25.987,26.777,0.179,2025-03-25 10:24:03
26.320,26.029,28.777,0.507,2025-03-25 11:24:03
26.212,26.057,26.607,0.106,2025-03-25 12:24:01
26.631,26.032,33.258,1.339,2025-03-25 13:24:04
28.755,26.013,69.081,8.947,2025-03-25 14:24:05
27.923,26.030,43.912,4.432,2025-03-25 15:24:03
31.960,26.011,70.287,12.836,2025-03-25 16:24:03
26.466,25.924,33.488,1.343,2025-03-25 17:24:03
27.592,25.993,66.518,7.229,2025-03-25 18:24:03
26.293,26.046,29.634,0.633,2025-03-25 19:24:03
26.149,26.015,26.379,0.095,2025-03-25 20:24:02
27.971,26.016,42.879,4.087,2025-03-25 21:24:03
26.242,26.028,27.300,0.286,2025-03-25 22:24:01
28.020,25.986,58.882,5.962,2025-03-25 23:24:03
