Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
41.525,41.298,41.753,0.126,2025-03-24 00:27:03
41.462,41.349,41.732,0.095,2025-03-24 01:27:02
41.497,41.374,41.764,0.108,2025-03-24 02:27:03
41.580,41.391,41.758,0.088,2025-03-24 03:27:07
41.505,41.290,41.838,0.105,2025-03-24 04:27:03
41.571,41.414,41.770,0.105,2025-03-24 05:27:03
41.579,41.336,43.089,0.320,2025-03-24 06:27:04
41.495,41.372,41.768,0.086,2025-03-24 07:27:04
41.894,41.382,51.518,1.792,2025-03-24 08:27:03
41.497,41.398,41.753,0.081,2025-03-24 09:27:05
41.512,41.360,41.711,0.074,2025-03-24 10:27:02
41.536,41.335,41.899,0.122,2025-03-24 11:27:04
41.514,41.363,41.694,0.089,2025-03-24 12:27:02
41.572,41.387,42.120,0.161,2025-03-24 13:27:04
41.507,41.366,41.893,0.121,2025-03-24 14:27:02
41.588,41.399,42.464,0.218,2025-03-24 15:27:03
41.592,41.392,42.398,0.182,2025-03-24 16:27:01
41.527,41.353,41.677,0.082,2025-03-24 17:27:04
41.501,41.390,41.708,0.069,2025-03-24 18:27:04
41.548,41.350,41.772,0.097,2025-03-24 19:27:03
41.544,41.362,42.374,0.185,2025-03-24 20:27:03
41.554,41.363,42.359,0.198,2025-03-24 21:27:01
41.509,41.295,42.158,0.162,2025-03-24 22:27:02
41.711,41.389,47.071,1.002,2025-03-24 23:27:08
41.545,41.369,41.913,0.112,2025-03-25 00:27:03
41.470,41.325,41.903,0.099,2025-03-25 01:27:03
41.486,41.333,41.895,0.120,2025-03-25 02:27:07
41.542,41.364,41.990,0.129,2025-03-25 03:27:01
41.600,41.356,42.739,0.283,2025-03-25 04:27:02
41.617,41.400,42.003,0.164,2025-03-25 05:27:07
41.601,41.402,42.499,0.200,2025-03-25 06:27:03
41.522,41.374,42.565,0.208,2025-03-25 07:27:03
41.579,41.375,42.303,0.175,2025-03-25 08:27:03
41.590,41.428,41.972,0.099,2025-03-25 09:27:01
41.602,41.430,41.751,0.079,2025-03-25 10:27:06
41.592,41.449,41.795,0.080,2025-03-25 11:27:07
41.544,41.389,41.973,0.118,2025-03-25 12:27:04
41.523,41.376,41.749,0.081,2025-03-25 13:27:02
41.504,41.358,41.832,0.104,2025-03-25 14:27:04
41.663,41.439,42.026,0.144,2025-03-25 15:27:03
41.564,41.401,41.962,0.131,2025-03-25 16:27:04
41.623,41.450,42.520,0.188,2025-03-25 17:27:02
41.513,41.297,42.260,0.181,2025-03-25 18:27:03
41.572,41.400,41.837,0.108,2025-03-25 19:27:02
41.514,41.200,41.782,0.105,2025-03-25 20:27:04
41.600,41.411,41.928,0.132,2025-03-25 21:27:03
41.590,41.385,42.663,0.271,2025-03-25 22:27:02
41.513,41.330,42.168,0.152,2025-03-25 23:27:07
