Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
52.481,52.314,53.421,0.190,2025-03-24 00:52:25
52.543,52.254,53.212,0.242,2025-03-24 01:52:25
52.527,52.288,53.014,0.181,2025-03-24 02:52:24
52.473,52.281,52.946,0.171,2025-03-24 03:52:26
52.482,52.329,53.283,0.174,2025-03-24 04:52:24
52.501,52.310,53.550,0.267,2025-03-24 05:52:25
52.703,52.375,53.090,0.263,2025-03-24 06:52:24
52.506,52.385,52.992,0.111,2025-03-24 07:52:25
52.449,52.352,52.635,0.074,2025-03-24 08:52:24
52.485,52.308,52.736,0.082,2025-03-24 09:52:25
52.649,52.394,53.275,0.253,2025-03-24 10:52:24
52.403,52.306,52.520,0.050,2025-03-24 11:52:29
53.484,53.351,53.651,0.064,2025-03-24 12:52:25
53.588,53.442,54.178,0.117,2025-03-24 13:52:26
53.663,53.423,54.150,0.125,2025-03-24 14:52:24
53.538,53.407,53.975,0.106,2025-03-24 15:52:27
53.513,53.386,54.141,0.139,2025-03-24 16:52:24
53.707,53.406,59.215,1.025,2025-03-24 17:52:27
53.556,53.431,54.133,0.130,2025-03-24 18:52:24
53.546,53.368,53.575,0.090,2025-03-24 19:52:25
53.579,53.431,53.763,0.091,2025-03-24 20:52:25
53.766,53.382,57.958,0.925,2025-03-24 21:52:23
53.582,53.390,55.628,0.427,2025-03-24 22:52:24
53.497,53.353,53.764,0.100,2025-03-24 23:52:26
53.532,53.419,53.624,0.049,2025-03-25 00:52:25
52.486,52.315,53.118,0.152,2025-03-25 01:52:24
52.514,52.258,53.558,0.266,2025-03-25 02:52:25
52.434,52.275,53.093,0.135,2025-03-25 03:52:25
52.530,52.271,54.490,0.458,2025-03-25 04:52:23
52.676,52.359,53.711,0.340,2025-03-25 05:52:24
52.515,52.362,53.159,0.150,2025-03-25 06:52:24
52.423,52.284,52.833,0.097,2025-03-25 07:52:25
52.509,52.366,52.771,0.089,2025-03-25 08:52:25
52.583,52.430,53.285,0.151,2025-03-25 09:52:25
52.555,52.420,53.010,0.117,2025-03-25 10:52:27
52.496,52.341,53.029,0.127,2025-03-25 11:52:29
52.496,52.407,52.636,0.054,2025-03-25 12:52:24
52.397,52.314,52.601,0.054,2025-03-25 13:52:25
56.631,56.419,57.235,0.168,2025-03-25 14:52:24
56.197,56.050,56.437,0.087,2025-03-25 15:52:26
56.173,56.028,56.386,0.087,2025-03-25 16:52:24
56.189,56.059,56.569,0.125,2025-03-25 17:52:23
73.644,73.507,74.402,0.180,2025-03-25 18:52:24
55.149,54.973,55.813,0.161,2025-03-25 19:52:25
55.037,54.943,55.206,0.061,2025-03-25 20:52:24
55.119,54.948,55.550,0.133,2025-03-25 21:52:23
55.079,54.889,56.225,0.218,2025-03-25 22:52:24
55.030,54.918,55.326,0.085,2025-03-25 23:52:25
