Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
64.127,64.476,65.231,0.513,2025-03-24 00:29:05
64.571,64.539,65.107,0.486,2025-03-24 01:29:03
64.603,64.701,65.266,0.451,2025-03-24 02:29:04
63.570,64.423,63.725,0.095,2025-03-24 03:29:03
63.560,64.412,63.723,0.105,2025-03-24 04:29:04
63.706,64.485,63.973,0.113,2025-03-24 05:29:04
63.648,64.448,64.237,0.164,2025-03-24 06:29:05
63.672,64.477,64.050,0.106,2025-03-24 07:29:04
63.683,64.438,63.802,0.080,2025-03-24 08:29:04
63.792,64.566,64.724,0.209,2025-03-24 09:29:17
63.703,64.471,64.031,0.132,2025-03-24 10:29:01
63.669,64.364,63.862,0.103,2025-03-24 11:29:04
63.610,64.440,63.575,0.078,2025-03-24 12:29:03
63.612,64.422,63.745,0.089,2025-03-24 13:29:04
63.664,64.436,64.004,0.118,2025-03-24 14:29:03
63.654,64.435,62.847,0.109,2025-03-24 15:29:02
63.707,63.507,63.941,0.099,2025-03-24 16:29:03
63.641,64.435,63.745,0.073,2025-03-24 17:29:04
63.619,64.382,63.819,0.106,2025-03-24 18:29:03
63.605,64.422,63.769,0.105,2025-03-24 19:29:03
63.673,64.388,63.925,0.107,2025-03-24 20:29:02
63.568,64.372,63.749,0.095,2025-03-24 21:29:03
63.634,64.440,63.794,0.106,2025-03-24 22:29:02
63.668,64.477,63.804,0.111,2025-03-24 23:29:06
63.682,64.429,63.929,0.126,2025-03-25 00:29:03
63.673,64.365,64.217,0.190,2025-03-25 01:29:03
63.687,64.615,64.384,0.175,2025-03-25 02:29:03
63.668,64.431,63.817,0.099,2025-03-25 03:29:03
63.710,64.458,63.976,0.111,2025-03-25 04:29:04
63.685,64.486,63.822,0.095,2025-03-25 05:29:04
63.668,64.442,63.863,0.108,2025-03-25 06:29:04
63.666,64.432,63.888,0.119,2025-03-25 07:29:04
63.671,64.442,63.786,0.110,2025-03-25 08:29:03
63.697,64.430,63.844,0.110,2025-03-25 09:29:03
63.229,62.720,63.967,0.265,2025-03-25 10:29:16
50.438,50.250,50.653,0.096,2025-03-25 11:29:05
50.426,50.219,50.564,0.095,2025-03-25 12:29:03
50.342,50.112,50.489,0.094,2025-03-25 13:29:04
50.367,50.203,50.533,0.099,2025-03-25 14:29:04
50.307,50.171,50.511,0.096,2025-03-25 15:29:02
50.392,50.193,50.578,0.077,2025-03-25 16:29:04
50.421,50.194,50.629,0.090,2025-03-25 17:29:01
50.373,50.169,50.533,0.101,2025-03-25 18:29:04
50.392,50.184,50.636,0.090,2025-03-25 19:29:04
50.331,50.138,50.475,0.105,2025-03-25 20:29:04
50.395,50.167,50.530,0.080,2025-03-25 21:29:02
50.375,50.154,50.483,0.088,2025-03-25 22:29:03
50.353,50.148,50.502,0.104,2025-03-25 23:29:19
