Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
69.360,68.442,70.678,0.546,2025-03-24 00:38:54
69.963,68.348,77.493,1.516,2025-03-24 01:38:56
70.378,68.261,101.882,5.881,2025-03-24 02:38:52
68.892,68.131,71.209,0.709,2025-03-24 03:38:50
68.615,68.133,70.132,0.396,2025-03-24 04:38:55
69.303,68.239,83.090,2.610,2025-03-24 05:38:52
70.412,68.161,105.564,6.735,2025-03-24 06:38:54
68.592,68.046,70.181,0.401,2025-03-24 07:38:52
68.924,68.417,70.662,0.493,2025-03-24 08:38:54
68.648,68.250,69.457,0.290,2025-03-24 09:38:52
69.255,68.183,83.282,2.662,2025-03-24 10:38:56
74.599,68.198,104.592,10.675,2025-03-24 11:38:52
70.309,68.176,100.625,5.840,2025-03-24 12:38:56
71.895,68.198,105.600,7.905,2025-03-24 13:38:58
68.633,68.238,69.272,0.254,2025-03-24 14:38:52
68.444,68.084,69.276,0.277,2025-03-24 15:38:54
68.796,68.203,71.896,0.712,2025-03-24 16:38:58
68.793,68.315,70.511,0.470,2025-03-24 17:38:54
68.828,68.038,74.363,1.141,2025-03-24 18:38:51
68.418,68.101,69.401,0.292,2025-03-24 19:38:51
68.306,68.057,68.663,0.167,2025-03-24 20:28:51
68.692,68.207,70.670,0.463,2025-03-24 21:28:54
80.916,68.164,114.192,15.333,2025-03-24 22:28:55
68.891,68.207,71.511,0.673,2025-03-24 23:28:53
68.609,68.218,69.883,0.346,2025-03-25 00:38:51
68.627,68.125,70.818,0.606,2025-03-25 01:38:51
68.527,68.073,69.181,0.288,2025-03-25 02:38:57
68.671,68.136,70.243,0.477,2025-03-25 03:38:50
68.529,67.932,70.229,0.425,2025-03-25 04:38:55
68.503,68.117,69.510,0.315,2025-03-25 05:38:51
68.513,68.124,69.307,0.265,2025-03-25 06:38:51
68.520,68.082,70.995,0.538,2025-03-25 07:38:51
68.886,68.185,75.112,1.261,2025-03-25 08:38:51
68.735,68.034,71.445,0.681,2025-03-25 09:38:51
62.424,61.645,63.914,0.496,2025-03-25 10:38:53
56.090,55.266,59.476,1.060,2025-03-25 11:38:53
55.686,55.238,57.921,0.516,2025-03-25 12:38:52
58.293,55.337,94.403,8.862,2025-03-25 13:38:52
55.715,53.332,57.622,0.455,2025-03-25 14:38:52
55.567,53.366,56.194,0.203,2025-03-25 15:38:54
56.004,55.277,60.104,1.099,2025-03-25 16:38:55
55.768,55.167,58.085,0.563,2025-03-25 17:38:52
55.691,55.216,57.037,0.365,2025-03-25 18:28:50
55.676,55.329,56.052,0.171,2025-03-25 19:28:54
55.754,55.346,56.790,0.402,2025-03-25 20:28:52
55.639,55.274,56.329,0.304,2025-03-25 21:28:57
55.583,55.227,56.298,0.263,2025-03-25 22:28:56
58.621,55.264,95.364,9.488,2025-03-25 23:28:52
