Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
52.931,52.764,53.344,0.123,2025-03-24 03:24:02
53.731,52.768,73.607,3.713,2025-03-24 04:24:03
53.566,52.792,59.929,1.616,2025-03-24 05:24:02
54.941,52.754,75.693,4.864,2025-03-24 06:24:02
53.612,52.813,65.047,2.353,2025-03-24 07:24:02
54.070,52.848,84.870,5.720,2025-03-24 08:24:02
54.040,52.778,66.160,2.676,2025-03-24 09:24:04
53.427,52.807,60.726,1.732,2025-03-24 10:24:02
53.209,52.807,56.274,0.849,2025-03-24 11:24:07
53.118,52.755,58.322,1.085,2025-03-24 12:24:01
54.648,52.751,95.893,7.759,2025-03-24 13:24:02
54.640,52.755,97.014,7.964,2025-03-24 14:24:01
53.709,52.769,72.512,3.504,2025-03-24 15:24:02
54.181,52.780,86.301,5.970,2025-03-24 16:24:02
54.633,52.794,87.924,6.581,2025-03-24 17:24:04
52.855,52.749,53.203,0.089,2025-03-24 18:24:01
55.706,52.762,66.428,4.908,2025-03-24 19:24:02
53.209,52.728,58.127,1.117,2025-03-24 20:24:03
58.712,52.761,95.870,11.554,2025-03-24 21:24:01
52.892,52.767,53.299,0.138,2025-03-24 22:24:03
53.931,52.805,76.241,4.176,2025-03-24 23:24:02
53.776,52.803,65.524,2.544,2025-03-25 00:24:02
52.928,52.788,53.270,0.114,2025-03-25 01:24:02
53.605,52.847,66.391,2.456,2025-03-25 02:24:03
54.881,52.736,73.384,5.043,2025-03-25 03:24:02
56.288,52.761,97.736,10.125,2025-03-25 04:24:08
58.587,52.794,82.751,10.145,2025-03-25 05:24:02
52.941,52.840,53.477,0.156,2025-03-25 06:24:02
53.383,52.821,61.098,1.667,2025-03-25 07:24:01
53.266,52.799,61.074,1.473,2025-03-25 08:24:01
52.906,52.747,53.409,0.149,2025-03-25 09:24:07
53.027,52.818,54.477,0.334,2025-03-25 10:24:03
46.573,46.329,47.478,0.294,2025-03-25 11:24:03
46.436,46.323,46.606,0.077,2025-03-25 12:24:01
48.360,46.312,73.923,6.269,2025-03-25 13:24:04
46.967,46.298,53.603,1.612,2025-03-25 14:24:05
48.177,46.348,66.812,4.636,2025-03-25 15:24:03
50.819,46.324,89.112,10.464,2025-03-25 16:24:09
46.819,46.337,58.500,2.170,2025-03-25 17:24:03
47.947,46.355,89.532,7.726,2025-03-25 18:24:03
46.447,46.318,47.011,0.122,2025-03-25 19:24:03
46.409,46.318,46.779,0.088,2025-03-25 20:24:02
47.044,46.268,55.424,1.874,2025-03-25 21:24:03
46.528,46.290,48.382,0.448,2025-03-25 22:24:01
47.658,46.254,75.503,5.208,2025-03-25 23:24:10
