Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
40.465,40.359,41.002,0.131,2025-03-24 00:27:03
40.430,40.306,40.912,0.105,2025-03-24 01:27:08
40.496,40.382,40.907,0.108,2025-03-24 02:27:03
40.488,40.378,40.757,0.097,2025-03-24 03:27:07
40.460,40.330,40.743,0.083,2025-03-24 04:27:03
40.555,40.355,41.000,0.116,2025-03-24 05:27:03
40.629,40.342,42.537,0.397,2025-03-24 06:27:04
40.711,40.410,41.729,0.316,2025-03-24 07:27:04
40.571,40.338,41.289,0.179,2025-03-24 08:27:03
40.637,40.400,41.365,0.239,2025-03-24 09:27:05
40.529,40.409,40.694,0.063,2025-03-24 10:27:02
40.520,40.387,40.654,0.067,2025-03-24 11:27:04
40.450,40.369,40.643,0.056,2025-03-24 12:27:02
40.545,40.411,40.902,0.139,2025-03-24 13:27:04
40.547,40.448,40.824,0.088,2025-03-24 14:27:02
40.534,40.437,40.689,0.067,2025-03-24 15:27:03
40.556,40.438,40.925,0.094,2025-03-24 16:27:01
40.550,40.344,40.945,0.125,2025-03-24 17:27:04
40.480,40.402,40.702,0.060,2025-03-24 18:27:04
40.527,40.401,40.892,0.103,2025-03-24 19:27:03
41.508,41.427,41.643,0.061,2025-03-24 20:27:08
41.487,41.360,41.682,0.072,2025-03-24 21:27:01
41.482,41.384,41.714,0.079,2025-03-24 22:27:08
41.521,41.426,41.664,0.051,2025-03-24 23:27:08
41.487,41.389,41.676,0.074,2025-03-25 00:27:09
41.568,41.408,42.036,0.183,2025-03-25 01:27:03
41.571,41.353,42.235,0.212,2025-03-25 02:27:07
41.487,41.388,41.750,0.091,2025-03-25 03:27:06
41.549,41.385,42.061,0.147,2025-03-25 04:27:08
41.674,41.431,42.917,0.356,2025-03-25 05:27:07
41.526,41.378,41.745,0.079,2025-03-25 06:27:03
41.540,41.390,41.839,0.092,2025-03-25 07:27:03
41.545,41.419,41.767,0.100,2025-03-25 08:27:09
41.565,41.403,42.735,0.235,2025-03-25 09:27:01
41.593,41.457,42.150,0.128,2025-03-25 10:27:06
40.530,40.403,40.836,0.100,2025-03-25 11:27:07
40.571,40.456,40.700,0.062,2025-03-25 12:27:04
40.546,40.465,40.716,0.063,2025-03-25 13:27:02
40.532,40.359,40.975,0.106,2025-03-25 14:27:04
40.560,40.427,40.716,0.072,2025-03-25 15:27:03
40.514,40.348,40.931,0.110,2025-03-25 16:27:04
40.561,40.403,41.266,0.165,2025-03-25 17:27:02
40.503,40.355,40.687,0.073,2025-03-25 18:27:03
40.510,40.283,40.803,0.093,2026-03-25 19:27:10
40.507,40.377,40.712,0.083,2025-03-25 20:27:10
40.489,40.376,40.702,0.080,2025-03-25 21:27:03
40.497,40.374,41.040,0.135,2025-03-25 22:27:02
40.452,40.384,40.597,0.044,2025-03-25 23:27:07
