Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
33.412,33.354,33.550,0.036,2025-03-24 00:52:25
33.452,33.373,33.717,0.063,2025-03-24 01:52:25
33.406,33.335,33.512,0.037,2025-03-24 02:52:24
33.441,33.360,33.534,0.043,2025-03-24 03:52:26
33.446,33.324,33.630,0.067,2025-03-24 04:52:24
33.475,33.388,33.614,0.054,2025-03-24 05:52:25
33.454,33.373,33.525,0.037,2025-03-24 06:52:24
33.461,33.403,33.661,0.054,2025-03-24 07:52:25
33.495,33.411,33.900,0.094,2025-03-24 08:52:24
33.455,33.373,33.575,0.046,2025-03-24 09:52:25
33.428,33.350,33.515,0.039,2025-03-24 10:52:24
33.449,33.365,33.580,0.049,2025-03-24 11:52:29
33.414,33.343,33.494,0.038,2025-03-24 12:52:25
33.431,33.318,33.550,0.053,2025-03-24 13:52:26
33.444,33.368,33.527,0.045,2025-03-24 14:52:24
33.425,33.363,33.505,0.033,2025-03-24 15:52:27
33.424,33.351,33.522,0.036,2025-03-24 16:52:24
33.462,33.299,33.551,0.034,2025-03-24 17:52:27
33.409,33.355,33.450,0.027,2025-03-24 18:52:24
33.465,33.371,33.791,0.083,2025-03-24 19:52:25
33.438,33.359,33.549,0.042,2025-03-24 20:52:25
33.408,33.354,33.463,0.027,2025-03-24 21:52:30
33.446,33.388,33.639,0.052,2025-03-24 22:52:24
33.464,33.383,33.562,0.039,2025-03-24 23:52:26
33.481,33.396,33.552,0.037,2025-03-25 00:52:25
33.475,33.430,33.538,0.030,2025-03-25 01:52:24
33.437,33.368,33.504,0.037,2025-03-25 02:52:25
33.442,33.361,33.548,0.035,2025-03-25 03:52:25
33.508,33.309,34.339,0.239,2025-03-25 04:52:23
33.435,33.351,33.628,0.056,2025-03-25 05:52:24
33.490,33.422,33.663,0.054,2025-03-25 06:52:24
33.472,33.353,33.565,0.048,2025-03-25 07:52:25
33.453,33.393,33.534,0.032,2025-03-25 08:52:25
33.488,33.406,33.961,0.098,2025-03-25 09:52:25
29.058,28.920,29.139,0.040,2025-03-25 10:52:27
28.994,28.903,29.061,0.033,2025-03-25 11:52:29
29.026,28.949,29.104,0.037,2025-03-25 12:52:24
28.983,28.899,29.047,0.029,2025-03-25 13:52:25
29.010,28.939,29.104,0.038,2025-03-25 14:52:24
29.058,28.978,29.113,0.035,2025-03-25 15:52:26
29.000,28.894,29.097,0.044,2025-03-25 16:52:24
53.089,50.603,54.178,0.661,2025-03-25 17:52:30
29.030,28.900,29.232,0.066,2025-03-25 18:52:24
29.004,28.921,29.101,0.041,2025-03-25 19:52:25
29.018,28.945,29.135,0.042,2025-03-25 20:52:24
28.988,28.893,29.095,0.046,2025-03-25 21:52:23
28.967,28.916,29.040,0.030,2025-03-25 22:52:24
28.978,28.916,29.017,0.028,2025-03-25 23:52:25
