Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
36.484,35.749,37.928,0.527,2025-03-24 00:38:55
36.488,35.787,39.773,0.797,2025-03-24 01:38:56
37.97,36.047,68.959,5.983,2025-03-24 02:38:52
36.364,35.922,38.132,0.509,2025-03-24 03:38:51
36.259,35.818,36.838,0.268,2025-03-24 04:38:55
36.392,35.681,37.193,0.369,2025-03-24 05:38:52
37.62,35.841,57.336,4.051,2025-03-24 06:38:54
36.752,35.885,46.06,1.883,2025-03-24 07:38:52
36.899,35.554,45.64,1.794,2025-03-24 08:38:54
36.296,35.859,37.073,0.282,2025-03-24 09:38:52
36.465,35.81,39.974,0.819,2025-03-24 10:38:51
40.493,35.984,72.086,9.494,2025-03-24 11:38:52
37.449,35.655,54.819,3.447,2025-03-24 12:38:56
38.915,35.873,73.722,7.478,2025-03-24 13:38:52
36.533,35.899,41.286,0.969,2025-03-24 14:38:52
36.157,35.723,37.909,0.399,2025-03-24 15:38:54
36.426,35.852,40.979,0.934,2025-03-24 16:38:58
36.579,35.881,46.393,1.834,2025-03-24 17:38:54
36.341,35.843,37.866,0.43,2025-03-24 18:38:52
36.055,35.642,38.148,0.426,2025-03-24 19:38:51
36.347,35.516,47.994,2.181,2025-03-24 20:38:56
36.469,35.9,38.327,0.523,2025-03-24 21:38:54
51.04,35.638,76.661,15.651,2025-03-24 22:38:55
36.78,36.015,41.248,1.024,2025-03-24 23:38:53
36.128,35.732,36.952,0.292,2025-03-25 00:38:51
36.073,35.804,36.529,0.196,2025-03-25 01:38:55
36.498,35.688,45.658,1.741,2025-03-25 02:38:57
36.126,35.668,37.857,0.51,2025-03-25 03:38:50
36.173,35.537,37.213,0.395,2025-03-25 04:38:55
36.136,35.672,37.193,0.355,2025-03-25 05:38:51
36.325,35.806,38.68,0.591,2025-03-25 06:38:52
36.256,35.826,38.177,0.415,2025-03-25 07:38:51
36.084,35.636,36.774,0.295,2025-03-25 08:38:55
38.35,35.563,55.879,5.242,2025-03-25 09:38:51
36.097,35.741,36.466,0.209,2025-03-25 10:38:53
36.046,35.488,36.712,0.273,2025-03-25 11:38:53
36.056,35.488,37.319,0.351,2025-03-25 12:38:52
36.23,35.703,36.979,0.339,2025-03-25 13:38:57
36.553,35.67,47.732,2.116,2025-03-25 14:38:57
36.206,35.657,40.557,0.845,2025-03-25 15:38:54
38.444,35.798,63.823,5.773,2025-03-25 16:38:56
36.114,35.618,36.974,0.316,2025-03-25 17:38:52
36.185,35.723,36.981,0.342,2025-03-25 18:38:51
36.003,35.524,37.024,0.286,2025-03-25 19:38:55
36.22,35.661,37.298,0.386,2025-03-25 20:38:52
36.131,35.65,37.791,0.382,2025-03-25 21:38:52
36.036,35.68,36.777,0.228,2025-03-25 22:38:51
38.75,35.891,75.59,8.752,2025-03-25 23:38:52
