Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
51.516,50.762,65.494,2.597,2025-03-24 00:42:03
51.68,50.937,61.072,1.959,2025-03-24 01:42:02
51.899,50.872,69.509,3.423,2025-03-24 02:42:02
51.172,50.776,52.302,0.27,2025-03-24 03:42:03
31.189,30.106,39.687,2.226,2025-03-24 04:42:03
31.997,30.201,47.755,3.666,2025-03-24 05:42:02
31.54,30.158,52.909,4.078,2025-03-24 06:42:02
31.871,30.083,52.545,4.631,2025-03-24 07:42:02
30.482,30.142,31.074,0.22,2025-03-24 08:42:02
32.328,30.273,55.012,5.082,2025-03-24 09:42:04
30.933,30.12,45.276,2.671,2025-03-24 10:42:02
30.62,30.196,33.259,0.68,2025-03-24 11:42:07
30.527,30.008,34.234,0.756,2025-03-24 12:42:02
31.308,30.068,40.498,2.374,2025-03-24 13:42:02
32.639,30.048,74.362,8.98,2025-03-24 14:42:01
30.844,30.042,40.061,1.867,2025-03-24 15:42:02
30.594,30.114,34.856,0.826,2025-03-24 16:42:02
31.143,30.114,48.595,3.402,2025-03-24 17:42:04
30.414,30.184,31.421,0.268,2025-03-24 18:42:02
33.207,30.037,45.557,5.255,2025-03-24 19:42:02
30.469,30.076,32.513,0.506,2025-03-24 20:42:03
33.273,30.011,72.45,7.931,2025-03-24 21:42:01
30.399,29.986,32.116,0.349,2025-03-24 22:42:03
31.672,30.048,42.855,3.353,2025-03-24 23:42:03
31.145,30.045,36.449,1.879,2025-03-25 00:42:02
30.338,30.197,30.961,0.14,2025-03-25 01:42:02
30.331,30.048,30.936,0.178,2025-03-25 02:42:03
31.258,30.08,43.81,2.635,2025-03-25 03:42:02
32.488,30.028,73.865,8.005,2025-03-25 04:42:03
34.149,30.047,63.347,7.526,2025-03-25 05:42:03
30.313,30.034,30.754,0.14,2025-03-25 06:42:03
30.671,30.042,40.482,1.835,2025-03-25 07:42:02
30.345,30.123,30.735,0.139,2025-03-25 08:42:02
30.315,30.036,30.873,0.173,2025-03-25 09:42:01
32.268,30.024,70.812,7.455,2025-03-25 10:42:03
30.357,30.013,30.654,0.151,2025-03-25 11:42:03
30.333,30.125,30.707,0.113,2025-03-25 12:42:02
30.961,29.976,38.208,1.86,2025-03-25 13:42:04
30.891,30.033,36.282,1.351,2025-03-25 14:42:05
34.791,30.174,71.02,8.31,2025-03-25 15:42:03
35.788,30.355,63.323,8.899,2025-03-25 16:42:03
30.315,30.015,30.931,0.205,2025-03-25 17:42:03
30.453,30.085,33.768,0.624,2025-03-25 18:42:03
30.32,30.224,30.42,0.054,2025-03-25 19:42:03
30.329,30.063,30.776,0.107,2025-03-25 20:42:02
31.114,30.228,39.963,2.186,2025-03-25 21:42:03
30.342,30.112,30.644,0.115,2025-03-25 22:42:01
32.33,29.989,62.51,6.171,2025-03-25 23:42:03
