Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
66.046,65.769,66.132,0.069,2025-03-24 00:52:25
66.015,65.735,66.133,0.086,2025-03-24 01:52:25
66.059,65.799,66.121,0.058,2025-03-24 02:52:24
66.01,65.734,66.122,0.096,2025-03-24 03:52:26
66.045,65.775,66.275,0.095,2025-03-24 04:52:25
66.022,65.749,66.136,0.096,2025-03-24 05:52:25
66.021,65.797,66.128,0.095,2025-03-24 06:52:24
66.048,65.774,66.536,0.126,2025-03-24 07:52:25
66.042,65.786,66.141,0.079,2025-03-24 08:52:24
66.027,65.767,66.142,0.078,2025-03-24 09:52:25
66.108,65.819,66.921,0.191,2025-03-24 10:52:24
66.033,65.873,66.154,0.072,2025-03-24 11:52:29
67.094,66.813,67.185,0.075,2025-03-24 12:52:25
67.086,66.811,67.18,0.101,2025-03-24 13:52:26
67.098,66.846,67.207,0.094,2025-03-24 14:52:24
67.124,66.876,67.209,0.069,2025-03-24 15:52:27
67.085,66.842,67.203,0.095,2025-03-24 16:52:24
67.042,66.856,67.192,0.107,2025-03-24 17:52:28
67.098,66.837,67.169,0.081,2025-03-24 18:52:24
67.094,66.79,67.241,0.115,2025-03-24 19:52:26
67.101,66.857,67.246,0.094,2025-03-24 20:52:25
67.112,66.94,67.198,0.059,2025-03-24 21:52:23
67.069,66.839,67.208,0.079,2025-03-24 22:52:24
67.083,66.864,67.22,0.11,2025-03-24 23:52:26
67.087,66.907,67.209,0.065,2025-03-25 00:52:25
65.999,65.742,66.129,0.108,2025-03-25 01:52:24
66.062,65.866,66.393,0.116,2025-03-25 02:52:26
66.022,65.769,66.12,0.079,2025-03-25 03:52:25
65.989,65.738,66.127,0.098,2025-03-25 04:52:23
66.009,65.773,66.114,0.088,2025-03-25 05:52:24
66.049,65.834,66.129,0.067,2025-03-25 06:52:24
66.036,65.781,66.309,0.117,2025-03-25 07:52:25
66.074,65.81,66.809,0.152,2025-03-25 08:52:25
66.006,65.792,66.144,0.109,2025-03-25 09:52:25
66.033,65.783,66.263,0.097,2025-03-25 10:52:27
66.019,65.731,66.259,0.107,2025-03-25 11:52:29
66.03,65.743,66.121,0.086,2025-03-25 12:52:25
66.008,65.757,66.147,0.105,2025-03-25 13:52:25
70.161,69.912,70.268,0.069,2025-03-25 14:52:25
69.776,69.681,69.887,0.051,2025-03-25 15:52:26
69.667,69.504,69.834,0.095,2025-03-25 16:52:24
69.775,69.483,69.866,0.086,2025-03-25 17:52:23
87.287,87.053,87.368,0.078,2025-03-25 18:52:24
68.657,68.419,68.778,0.092,2025-03-25 19:52:26
68.666,68.416,68.777,0.095,2025-03-25 20:52:24
68.679,68.454,68.778,0.075,2025-03-25 21:52:24
68.663,68.443,68.771,0.091,2025-03-25 22:52:24
68.636,68.378,68.771,0.094,2025-03-25 23:52:25
