Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
34.433,32.705,52.468,3.655,2025-03-24 01:42:02
35.308,32.775,55.582,5.769,2025-03-24 02:42:02
34.654,32.73,61.436,5.564,2025-03-24 03:42:03
34.276,32.667,42.592,2.399,2025-03-24 04:42:03
36.088,32.92,72.908,7.737,2025-03-24 05:42:02
37.307,32.817,94.962,12.008,2025-03-24 06:42:02
34.088,32.789,57.666,4.418,2025-03-24 07:42:03
35.069,32.642,65.956,6.765,2025-03-24 08:42:02
34.113,32.598,47.944,3.417,2025-03-24 09:42:04
34.789,32.671,47.837,4.135,2025-03-24 10:42:02
39.468,32.764,66.056,9.383,2025-03-24 11:42:07
34.233,32.731,45.492,3.049,2025-03-24 12:42:02
36.821,32.832,82.525,9.413,2025-03-24 13:42:02
35.752,32.508,76.688,10.163,2025-03-24 14:42:02
33.229,32.526,38.478,1.283,2025-03-24 15:42:02
34.272,32.658,53.564,3.685,2025-03-24 16:42:02
34.352,32.609,60.875,5.04,2025-03-24 17:42:04
33.128,32.791,34.07,0.298,2025-03-24 18:42:02
35.162,32.633,48.394,4.554,2025-03-24 19:42:03
33.075,32.528,34.614,0.523,2025-03-24 20:42:03
35.83,32.775,57.904,6.19,2025-03-24 21:42:01
37.947,32.583,65.354,8.974,2025-03-24 22:42:03
33.75,32.839,40.4,1.612,2025-03-24 23:42:03
34.899,32.545,67.009,6.762,2025-03-25 00:42:02
32.949,32.514,34.092,0.353,2025-03-25 01:42:02
33.286,32.595,34.732,0.494,2025-03-25 02:42:03
34.496,32.515,61.982,5.206,2025-03-25 03:42:02
35.738,32.662,62.655,6.829,2025-03-25 04:42:03
38.021,32.708,61.486,8.28,2025-03-25 05:42:03
33.664,32.708,39.869,1.559,2025-03-25 06:42:03
33.416,32.591,40.196,1.423,2025-03-25 07:42:02
33.685,32.772,45.71,2.451,2025-03-25 08:42:02
33.128,32.61,34.733,0.465,2025-03-25 09:42:02
34.888,32.517,77.527,8.034,2025-03-25 10:42:10
33.146,32.546,37.795,0.933,2025-03-25 11:42:03
35.102,32.6,66.237,6.471,2025-03-25 12:42:02
34.54,32.505,51.371,4.057,2025-03-25 13:42:04
33.256,32.535,40.423,1.367,2025-03-25 14:42:05
37.673,32.632,56.599,6.819,2025-03-25 15:42:03
38.509,32.604,67.015,9.767,2025-03-25 16:42:03
33.452,32.488,37.914,1.24,2025-03-25 17:42:03
33.581,32.611,38.143,1.598,2025-03-25 18:42:03
32.848,32.565,33.618,0.234,2025-03-25 19:42:03
32.937,32.488,33.707,0.27,2025-03-25 20:42:02
33.68,32.494,48.861,2.907,2025-03-25 21:42:03
33.103,32.629,35.075,0.484,2025-03-25 22:42:02
35.84,32.447,59.516,5.585,2025-03-25 23:42:03
