Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
89.555,89.083,90.466,0.325,2025-03-24 00:52:25
89.839,89.0,99.028,1.72,2025-03-24 01:52:25
90.084,89.241,95.998,1.244,2025-03-24 02:52:25
89.631,88.96,92.114,0.599,2025-03-24 03:52:26
89.762,89.17,90.987,0.364,2025-03-24 04:52:25
89.968,89.174,94.263,0.925,2025-03-24 05:52:25
89.656,89.073,90.77,0.383,2025-03-24 06:52:24
89.507,88.939,91.05,0.392,2025-03-24 07:52:25
92.822,89.042,122.633,8.765,2025-03-24 08:52:24
89.71,89.166,92.776,0.732,2025-03-24 09:52:25
89.884,89.181,93.26,0.881,2025-03-24 10:52:24
93.909,89.102,122.322,12.469,2025-03-24 11:52:29
91.127,90.212,95.168,1.093,2025-03-24 12:52:26
90.849,90.054,99.72,1.699,2025-03-24 13:52:26
92.81,90.14,115.262,6.09,2025-03-24 14:52:24
90.845,90.057,98.776,1.537,2025-03-24 15:52:27
90.784,90.179,92.414,0.524,2025-03-24 16:52:24
93.008,90.248,122.286,6.193,2025-03-24 17:52:28
90.803,90.23,92.046,0.438,2025-03-24 18:52:24
90.372,90.003,91.211,0.281,2025-03-24 19:52:26
90.431,89.974,91.265,0.296,2025-03-24 20:52:25
91.16,90.327,97.336,1.362,2025-03-24 21:52:23
91.875,90.324,105.072,2.855,2025-03-24 22:52:24
92.697,90.409,109.12,3.936,2025-03-24 23:52:26
94.255,90.039,122.782,8.674,2025-03-25 00:52:26
90.099,89.103,110.118,3.747,2025-03-25 01:52:24
90.053,88.975,96.964,1.911,2025-03-25 02:52:26
89.447,88.971,91.371,0.412,2025-03-25 03:52:25
89.604,88.95,93.897,0.863,2025-03-25 04:52:23
89.551,88.986,92.56,0.646,2025-03-25 05:52:24
89.399,89.104,90.335,0.279,2025-03-25 06:52:24
92.257,89.106,124.846,8.123,2025-03-25 07:52:25
90.564,89.046,99.341,2.843,2025-03-25 08:52:25
89.519,89.141,91.276,0.459,2025-03-25 09:52:25
89.564,88.864,92.987,0.712,2025-03-25 10:52:27
93.485,89.05,124.514,8.268,2025-03-25 11:52:29
89.443,89.054,93.005,0.686,2025-03-25 12:52:25
89.62,89.079,90.683,0.365,2025-03-25 13:52:25
89.676,89.103,92.04,0.649,2025-03-25 14:52:25
93.189,92.662,97.657,1.049,2025-03-25 15:52:26
93.242,92.818,93.963,0.309,2025-03-25 16:52:24
93.001,92.694,94.975,0.441,2025-03-25 17:52:23
111.024,110.342,116.422,1.108,2025-03-25 18:52:24
92.032,91.634,93.236,0.301,2025-03-25 19:52:26
92.566,91.599,101.181,1.677,2025-03-25 20:52:24
91.893,91.568,93.155,0.338,2025-03-25 21:52:24
92.567,91.706,98.801,1.514,2025-03-25 22:52:24
92.929,91.71,114.294,3.985,2025-03-25 23:52:25
