Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
59.349,58.979,62.696,0.842,2025-03-24 00:52:25
59.199,58.908,60.078,0.267,2025-03-24 01:52:25
59.972,58.987,72.106,2.49,2025-03-24 02:52:25
59.832,58.921,67.767,1.858,2025-03-24 03:52:26
59.168,58.965,59.563,0.133,2025-03-24 04:52:25
59.387,58.939,65.911,1.246,2025-03-24 05:52:25
59.175,58.979,59.838,0.154,2025-03-24 06:52:24
59.183,58.973,59.543,0.165,2025-03-24 07:52:25
61.407,58.946,84.07,5.71,2025-03-24 08:52:24
62.187,59.082,90.485,7.013,2025-03-24 09:52:25
59.164,58.94,59.543,0.155,2025-03-24 10:52:24
59.653,58.952,64.118,1.324,2025-03-24 11:52:29
60.783,58.878,85.336,6.394,2025-03-24 12:52:26
60.028,58.907,71.834,2.911,2025-03-24 13:52:26
61.672,58.929,76.854,4.707,2025-03-24 14:52:24
60.73,58.896,72.689,3.432,2025-03-24 15:52:27
59.867,58.96,76.948,3.227,2025-03-24 16:52:24
59.192,58.936,59.739,0.23,2025-03-24 17:52:28
59.114,58.873,61.987,0.548,2025-03-24 18:52:24
59.079,58.86,60.966,0.375,2025-03-24 19:52:26
58.644,57.966,72.313,2.577,2025-03-24 20:52:25
58.181,57.944,59.594,0.32,2025-03-24 21:52:23
58.604,57.889,73.345,2.742,2025-03-24 22:52:24
58.739,57.964,66.615,1.829,2025-03-24 23:52:26
60.396,57.88,90.298,7.724,2025-03-25 00:52:26
58.292,57.959,63.43,0.967,2025-03-25 01:52:24
62.257,57.89,85.888,6.502,2025-03-25 02:52:26
60.574,57.889,84.349,6.352,2025-03-25 03:52:25
59.62,57.853,83.285,4.975,2025-03-25 04:52:23
59.5,57.987,72.889,3.507,2025-03-25 05:52:25
66.56,59.032,81.9,6.197,2025-03-25 06:52:24
62.972,58.919,100.792,9.549,2025-03-25 07:52:25
72.194,59.209,84.561,7.04,2025-03-25 08:52:25
66.639,59.071,78.209,6.808,2025-03-25 09:52:25
59.64,58.878,75.11,2.877,2025-03-25 10:52:27
59.973,58.971,67.881,2.136,2025-03-25 11:52:29
59.205,59.064,59.505,0.098,2025-03-25 12:52:25
59.102,58.883,59.435,0.117,2025-03-25 13:52:25
59.989,58.995,65.694,1.943,2025-03-25 14:52:25
65.027,58.945,90.942,7.971,2025-03-25 15:52:26
60.368,59.018,77.838,4.319,2025-03-25 16:52:24
59.074,58.926,59.3,0.078,2025-03-25 17:52:23
59.107,58.923,59.601,0.168,2025-03-25 18:52:24
59.384,58.952,66.75,1.377,2025-03-25 19:52:26
59.202,58.938,59.901,0.226,2025-03-25 20:52:24
59.252,58.892,64.388,0.975,2025-03-25 21:52:24
59.534,58.944,70.803,2.12,2025-03-25 22:52:24
60.342,58.915,69.585,2.506,2025-03-25 23:52:25
