Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
9.300,9.121,9.386,0.078,2025-03-24 00:29:05
9.285,9.070,9.823,0.155,2025-03-24 01:29:03
9.300,9.062,9.410,0.084,2025-03-24 02:29:04
9.311,9.030,9.467,0.090,2025-03-24 03:29:03
9.241,9.031,9.431,0.126,2025-03-24 04:29:04
9.269,9.030,9.445,0.113,2025-03-24 05:29:04
9.285,9.031,9.443,0.112,2025-03-24 06:29:05
9.245,9.058,9.415,0.107,2025-03-24 07:29:04
9.298,9.091,9.490,0.088,2025-03-24 08:29:04
9.320,9.100,9.459,0.082,2025-03-24 09:29:17
9.324,9.120,9.509,0.094,2025-03-24 10:29:01
9.241,9.046,9.428,0.102,2025-03-24 11:29:04
9.270,9.041,9.658,0.157,2025-03-24 12:29:03
9.324,9.107,9.453,0.091,2025-03-24 13:29:05
9.300,9.069,9.468,0.108,2025-03-24 14:29:03
9.290,9.041,9.698,0.127,2025-03-24 15:29:02
9.336,9.071,9.514,0.095,2025-03-24 16:29:03
9.284,9.072,9.489,0.125,2025-03-24 17:29:04
9.273,9.021,9.436,0.108,2025-03-24 18:29:03
9.277,9.097,9.429,0.084,2025-03-24 19:29:03
9.284,9.096,9.419,0.084,2025-03-24 20:29:02
9.211,9.038,9.368,0.106,2025-03-24 21:29:03
9.295,9.029,9.766,0.142,2025-03-24 22:29:02
9.237,9.029,9.392,0.110,2025-03-24 23:29:06
9.244,9.018,9.412,0.099,2025-03-25 00:29:03
9.286,9.046,9.413,0.099,2025-03-25 01:29:04
9.273,9.060,9.417,0.106,2025-03-25 02:29:04
9.236,9.044,9.445,0.116,2025-03-25 03:29:04
9.541,9.101,16.909,1.371,2025-03-25 04:29:04
9.294,9.043,9.455,0.110,2025-03-25 05:29:04
9.294,9.047,9.398,0.089,2025-03-25 06:29:04
9.261,9.007,9.378,0.099,2025-03-25 07:29:04
9.287,9.088,9.428,0.116,2025-03-25 08:29:03
9.304,9.065,9.417,0.098,2025-03-25 09:29:03
9.263,9.041,9.456,0.112,2025-03-25 10:29:16
9.259,9.060,9.441,0.102,2025-03-25 11:29:06
9.266,9.029,9.408,0.092,2025-03-25 12:29:04
9.282,9.057,9.425,0.101,2025-03-25 13:29:04
9.325,9.078,9.446,0.079,2025-03-25 14:29:04
9.298,9.020,9.905,0.162,2025-03-25 15:29:02
9.214,9.019,9.395,0.104,2025-03-25 16:29:04
9.263,9.017,9.441,0.099,2025-03-25 17:29:02
9.362,8.987,12.712,0.634,2025-03-25 18:29:04
9.276,9.046,9.405,0.100,2025-03-25 19:29:04
9.303,9.083,9.415,0.090,2025-03-25 20:29:04
9.388,9.049,12.288,0.556,2025-03-25 21:29:03
9.310,9.108,9.420,0.079,2025-03-25 22:29:03
9.229,9.051,9.394,0.104,2025-03-25 23:29:19
