Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
50.436,50.034,51.667,0.361,2025-03-24 00:38:55
50.664,50.010,52.351,0.580,2025-03-24 01:38:52
52.076,49.956,83.447,5.980,2025-03-24 02:38:52
50.542,50.012,52.218,0.478,2025-03-24 03:38:51
50.433,49.953,51.391,0.350,2025-03-24 04:38:55
50.439,49.946,52.127,0.441,2025-03-24 05:38:52
51.978,49.951,65.126,4.291,2025-03-24 06:38:54
51.014,49.934,62.189,2.226,2025-03-24 07:38:52
50.587,49.927,55.271,0.945,2025-03-24 08:38:54
50.293,49.820,51.335,0.256,2025-03-24 09:38:52
50.533,49.923,51.755,0.355,2025-03-24 10:38:51
55.208,50.124,84.229,8.843,2025-03-24 11:38:52
52.278,50.209,75.944,4.878,2025-03-24 12:38:56
53.895,50.120,77.008,7.884,2025-03-24 13:38:52
50.632,49.945,53.755,0.758,2025-03-24 14:38:52
50.266,49.798,52.716,0.502,2025-03-24 15:38:54
50.578,49.951,52.175,0.589,2025-03-24 16:38:58
51.064,49.947,58.139,1.911,2025-03-24 17:28:54
50.371,49.900,51.838,0.359,2025-03-24 18:38:52
50.249,50.013,50.847,0.212,2025-03-24 19:38:51
50.219,49.865,51.106,0.292,2025-03-24 20:28:56
50.469,49.905,53.045,0.573,2025-03-24 21:28:54
64.491,50.067,93.456,15.702,2025-03-24 22:28:55
50.845,49.988,60.253,1.784,2025-03-24 23:28:53
50.630,49.916,63.440,2.389,2025-03-25 00:38:51
50.197,49.828,50.809,0.244,2025-03-25 01:38:55
50.282,49.864,52.764,0.529,2025-03-25 02:28:57
50.333,49.847,51.569,0.339,2025-03-25 03:38:54
50.292,49.793,51.175,0.346,2025-03-25 04:38:55
50.296,49.881,51.176,0.338,2025-03-25 05:38:51
50.336,49.823,51.893,0.441,2025-03-25 06:38:52
50.439,49.941,52.111,0.482,2025-03-25 07:38:51
50.343,49.799,51.942,0.467,2025-03-25 08:38:55
52.298,49.937,76.121,5.365,2025-03-25 09:38:51
50.273,49.822,51.589,0.390,2025-03-25 10:38:53
50.176,49.856,52.153,0.417,2025-03-25 11:38:53
50.238,49.712,53.019,0.572,2025-03-25 12:28:52
51.063,49.860,61.591,2.270,2025-03-25 13:38:52
50.663,49.803,59.837,1.741,2025-03-25 14:38:57
50.604,49.849,61.813,2.003,2025-03-25 15:38:54
53.224,49.809,80.812,6.788,2025-03-25 16:38:56
50.497,49.848,51.734,0.506,2025-03-25 17:38:52
50.317,49.952,51.135,0.300,2025-03-25 18:38:55
50.260,49.912,50.968,0.260,2025-03-25 19:38:55
50.406,49.898,52.939,0.554,2025-03-25 20:28:52
50.188,49.885,50.958,0.236,2025-03-25 21:28:52
50.187,49.813,51.035,0.289,2025-03-25 22:28:51
53.038,49.899,89.110,9.400,2025-03-25 23:28:52
