Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
22.162,21.516,35.982,2.584,2025-03-24 00:24:03
22.881,21.422,38.976,3.560,2025-03-24 01:24:02
21.862,21.590,23.859,0.417,2025-03-24 02:24:02
21.849,21.575,22.831,0.328,2025-03-24 03:24:03
22.414,21.571,29.088,1.545,2025-03-24 04:24:03
22.686,21.564,40.755,3.628,2025-03-24 05:24:02
24.028,21.556,66.103,8.325,2025-03-24 06:24:02
21.841,21.563,23.568,0.391,2025-03-24 07:24:02
21.769,21.569,22.502,0.183,2025-03-24 08:24:02
23.333,21.549,35.517,3.734,2025-03-24 09:24:04
22.255,21.604,37.567,2.847,2025-03-24 10:24:02
21.996,21.547,25.041,0.894,2025-03-24 11:24:07
22.014,21.529,29.566,1.487,2025-03-24 12:24:02
22.915,21.583,36.935,3.307,2025-03-24 13:24:02
24.277,21.528,65.814,9.654,2025-03-24 14:24:01
21.924,21.514,28.389,1.218,2025-03-24 15:24:02
21.916,21.517,24.218,0.582,2025-03-24 16:24:02
22.870,21.562,49.411,5.028,2025-03-24 17:24:04
21.719,21.569,23.100,0.267,2025-03-24 18:24:02
24.288,21.496,37.181,4.893,2025-03-24 19:24:02
22.276,21.502,32.351,2.332,2025-03-24 20:24:03
26.217,21.491,61.933,9.181,2025-03-24 21:24:01
22.379,21.543,33.986,2.380,2025-03-24 22:24:03
22.272,21.559,29.288,2.112,2025-03-24 23:24:03
22.256,21.561,27.785,1.587,2025-03-25 00:24:02
21.953,21.500,29.240,1.364,2025-03-25 01:24:02
21.884,21.565,24.496,0.542,2025-03-25 02:24:03
22.746,21.523,36.467,3.316,2025-03-25 03:24:02
25.075,21.569,66.311,10.194,2025-03-25 04:24:03
26.972,21.602,59.512,9.777,2025-03-25 05:24:03
21.759,21.509,23.573,0.366,2025-03-25 06:24:03
21.946,21.500,28.940,1.323,2025-03-25 07:24:02
21.736,21.531,22.357,0.193,2025-03-25 08:24:02
21.757,21.518,22.809,0.264,2025-03-25 09:24:01
21.870,21.536,27.002,0.968,2025-03-25 10:24:03
21.679,21.565,21.968,0.089,2025-03-25 11:24:03
22.222,21.550,38.437,3.012,2025-03-25 12:24:02
23.216,21.541,45.813,4.959,2025-03-25 13:24:04
22.101,21.532,28.329,1.373,2025-03-25 14:24:05
26.259,21.505,59.997,8.337,2025-03-25 15:24:03
25.856,21.554,61.404,10.536,2025-03-25 16:24:03
21.687,21.528,22.132,0.134,2025-03-25 17:24:03
21.794,21.559,23.470,0.399,2025-03-25 18:24:03
21.679,21.511,22.893,0.229,2025-03-25 19:24:03
21.649,21.541,22.203,0.114,2025-03-25 20:24:02
21.857,21.543,25.819,0.758,2025-03-25 21:24:03
21.666,21.533,21.845,0.074,2025-03-25 22:24:01
23.866,21.567,51.546,5.712,2025-03-25 23:24:03
