Average_delay,Minimum_delay,Maximum_delay,Medium_dev,Timestamp
58.524,58.308,59.53,0.266,2025-03-24 00:52:25
58.542,58.396,59.217,0.15,2025-03-24 01:52:25
58.578,58.334,60.615,0.412,2025-03-24 02:52:24
58.481,58.341,58.843,0.11,2025-03-24 03:52:26
58.478,58.357,58.633,0.074,2025-03-24 04:52:25
58.478,58.333,58.775,0.101,2025-03-24 05:52:25
58.486,58.331,58.943,0.121,2025-03-24 06:52:24
58.488,58.358,58.817,0.112,2025-03-24 07:52:25
58.468,58.328,58.654,0.095,2025-03-24 08:52:24
58.442,58.354,58.551,0.054,2025-03-24 09:52:25
58.456,58.346,58.727,0.081,2025-03-24 10:52:24
58.458,58.346,58.639,0.064,2025-03-24 11:52:29
58.44,58.32,58.567,0.052,2025-03-24 12:52:25
58.463,58.355,58.743,0.094,2025-03-24 13:52:26
58.466,58.335,58.905,0.11,2025-03-24 14:52:24
58.489,58.358,58.833,0.088,2025-03-24 15:52:27
58.518,58.358,58.871,0.125,2025-03-24 16:52:24
58.514,58.353,59.502,0.194,2025-03-24 17:52:28
58.466,58.303,58.681,0.088,2025-03-24 18:52:24
58.477,58.29,58.744,0.103,2025-03-24 19:52:26
57.493,57.36,57.759,0.106,2025-03-24 20:52:25
57.483,57.344,57.969,0.125,2025-03-24 21:52:23
57.445,57.307,57.65,0.085,2025-03-24 22:52:24
57.471,57.341,57.639,0.087,2025-03-24 23:52:26
57.459,57.351,58.031,0.128,2025-03-25 00:52:25
57.478,57.34,57.741,0.085,2025-03-25 01:52:24
57.469,57.375,57.603,0.061,2025-03-25 02:52:25
57.481,57.293,57.617,0.073,2025-03-25 03:52:25
57.453,57.327,57.663,0.079,2025-03-25 04:52:23
57.459,57.369,57.696,0.071,2025-03-25 05:52:24
65.659,58.333,80.223,5.922,2025-03-25 06:52:24
58.586,58.347,59.595,0.275,2025-03-25 07:52:25
71.877,58.576,81.947,7.168,2025-03-25 08:52:25
65.806,58.38,79.639,7.052,2025-03-25 09:52:25
58.471,58.332,58.657,0.081,2025-03-25 10:52:27
58.606,58.4,60.94,0.453,2025-03-25 11:52:29
58.446,58.335,58.556,0.054,2025-03-25 12:52:24
58.495,58.358,58.724,0.085,2025-03-25 13:52:25
58.485,58.365,58.751,0.09,2025-03-25 14:52:25
58.486,58.365,59.049,0.12,2025-03-25 15:52:26
58.48,58.373,58.639,0.062,2025-03-25 16:52:24
58.486,58.367,58.676,0.073,2025-03-25 17:52:23
58.517,58.302,58.691,0.108,2025-03-25 18:52:24
58.475,58.356,58.851,0.102,2025-03-25 19:52:26
58.529,58.345,59.296,0.167,2025-03-25 20:52:24
58.484,58.357,58.747,0.087,2025-03-25 21:52:24
58.502,58.346,58.685,0.098,2025-03-25 22:52:24
58.532,58.379,58.961,0.118,2025-03-25 23:52:25
