interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,market,location_id,location_short_name,location_type,lmp,energy,congestion,loss
2025-03-24T00:00:00-04:00,2025-03-24 04:00:00+00:00,2025-03-24T00:05:00-04:00,2025-03-24 04:05:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,28.05,26.75,0.42,0.88
2025-03-24T00:05:00-04:00,2025-03-24 04:05:00+00:00,2025-03-24T00:10:00-04:00,2025-03-24 04:10:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,23.71,18.32,4.78,0.61
2025-03-24T00:10:00-04:00,2025-03-24 04:10:00+00:00,2025-03-24T00:15:00-04:00,2025-03-24 04:15:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,24.71,20.38,3.6,0.73
2025-03-24T00:15:00-04:00,2025-03-24 04:15:00+00:00,2025-03-24T00:20:00-04:00,2025-03-24 04:20:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,24.65,23.59,0.23,0.83
2025-03-24T00:20:00-04:00,2025-03-24 04:20:00+00:00,2025-03-24T00:25:00-04:00,2025-03-24 04:25:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,24.52,23.47,0.27,0.78
2025-03-24T00:25:00-04:00,2025-03-24 04:25:00+00:00,2025-03-24T00:30:00-04:00,2025-03-24 04:30:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,26.4,20.939999999999998,4.78,0.68
2025-03-24T00:30:00-04:00,2025-03-24 04:30:00+00:00,2025-03-24T00:35:00-04:00,2025-03-24 04:35:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,24.1,18.400000000000002,5.09,0.61
2025-03-24T00:35:00-04:00,2025-03-24 04:35:00+00:00,2025-03-24T00:40:00-04:00,2025-03-24 04:40:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,31.29,25.7,4.79,0.8
2025-03-24T00:40:00-04:00,2025-03-24 04:40:00+00:00,2025-03-24T00:45:00-04:00,2025-03-24 04:45:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,31.98,30.68,0.42,0.88
2025-03-24T00:45:00-04:00,2025-03-24 04:45:00+00:00,2025-03-24T00:50:00-04:00,2025-03-24 04:50:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,26.99,26.24,0.04,0.71
2025-03-24T00:50:00-04:00,2025-03-24 04:50:00+00:00,2025-03-24T00:55:00-04:00,2025-03-24 04:55:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,28.52,22.23,5.73,0.56
2025-03-24T00:55:00-04:00,2025-03-24 04:55:00+00:00,2025-03-24T01:00:00-04:00,2025-03-24 05:00:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,27.81,27.02,0.13,0.66
2025-03-24T01:00:00-04:00,2025-03-24 05:00:00+00:00,2025-03-24T01:05:00-04:00,2025-03-24 05:05:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,36.28,35.2,0.21,0.87
2025-03-24T01:05:00-04:00,2025-03-24 05:05:00+00:00,2025-03-24T01:10:00-04:00,2025-03-24 05:10:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,30.34,26.419999999999998,3.3,0.62
2025-03-24T01:10:00-04:00,2025-03-24 05:10:00+00:00,2025-03-24T01:15:00-04:00,2025-03-24 05:15:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,30.48,29.6,0.14,0.74
2025-03-24T01:15:00-04:00,2025-03-24 05:15:00+00:00,2025-03-24T01:20:00-04:00,2025-03-24 05:20:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,30.48,25.41,4.48,0.59
2025-03-24T01:20:00-04:00,2025-03-24 05:20:00+00:00,2025-03-24T01:25:00-04:00,2025-03-24 05:25:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,30.51,29.57,0.19,0.75
2025-03-24T01:25:00-04:00,2025-03-24 05:25:00+00:00,2025-03-24T01:30:00-04:00,2025-03-24 05:30:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,30.76,29.29,0.76,0.71
2025-03-24T01:30:00-04:00,2025-03-24 05:30:00+00:00,2025-03-24T01:35:00-04:00,2025-03-24 05:35:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,30.76,29.29,0.76,0.71
2025-03-24T01:35:00-04:00,2025-03-24 05:35:00+00:00,2025-03-24T01:40:00-04:00,2025-03-24 05:40:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,27.73,27.3,-0.23,0.66
2025-03-24T01:40:00-04:00,2025-03-24 05:40:00+00:00,2025-03-24T01:45:00-04:00,2025-03-24 05:45:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,30.53,30.19,-0.34,0.68
2025-03-24T01:45:00-04:00,2025-03-24 05:45:00+00:00,2025-03-24T01:50:00-04:00,2025-03-24 05:50:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,28.14,27.74,-0.24,0.64
2025-03-24T01:50:00-04:00,2025-03-24 05:50:00+00:00,2025-03-24T01:55:00-04:00,2025-03-24 05:55:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,30.64,27.03,2.97,0.64
2025-03-24T01:55:00-04:00,2025-03-24 05:55:00+00:00,2025-03-24T02:00:00-04:00,2025-03-24 06:00:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,30.18,29.900000000000002,-0.37,0.65
2025-03-24T02:00:00-04:00,2025-03-24 06:00:00+00:00,2025-03-24T02:05:00-04:00,2025-03-24 06:05:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,28.01,27.650000000000002,-0.23,0.59
2025-03-24T02:05:00-04:00,2025-03-24 06:05:00+00:00,2025-03-24T02:10:00-04:00,2025-03-24 06:10:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,27.59,27.349999999999998,-0.36,0.6
2025-03-24T02:10:00-04:00,2025-03-24 06:10:00+00:00,2025-03-24T02:15:00-04:00,2025-03-24 06:15:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,27.41,27.16,-0.32,0.57
2025-03-24T02:15:00-04:00,2025-03-24 06:15:00+00:00,2025-03-24T02:20:00-04:00,2025-03-24 06:20:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,25.05,24.52,0.05,0.48
2025-03-24T02:20:00-04:00,2025-03-24 06:20:00+00:00,2025-03-24T02:25:00-04:00,2025-03-24 06:25:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,25.82,25.240000000000002,0.04,0.54
2025-03-24T02:25:00-04:00,2025-03-24 06:25:00+00:00,2025-03-24T02:30:00-04:00,2025-03-24 06:30:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,24.2,23.589999999999996,0.1,0.51
2025-03-24T02:30:00-04:00,2025-03-24 06:30:00+00:00,2025-03-24T02:35:00-04:00,2025-03-24 06:35:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,25.04,24.48,0.06,0.5
2025-03-24T02:35:00-04:00,2025-03-24 06:35:00+00:00,2025-03-24T02:40:00-04:00,2025-03-24 06:40:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,26.46,25.950000000000003,0.02,0.49
2025-03-24T02:40:00-04:00,2025-03-24 06:40:00+00:00,2025-03-24T02:45:00-04:00,2025-03-24 06:45:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,26.53,25.970000000000002,0.02,0.54
2025-03-24T02:45:00-04:00,2025-03-24 06:45:00+00:00,2025-03-24T02:50:00-04:00,2025-03-24 06:50:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,26.14,25.55,0.11,0.48
2025-03-24T02:50:00-04:00,2025-03-24 06:50:00+00:00,2025-03-24T02:55:00-04:00,2025-03-24 06:55:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,25.79,25.41,-0.1,0.48
2025-03-24T02:55:00-04:00,2025-03-24 06:55:00+00:00,2025-03-24T03:00:00-04:00,2025-03-24 07:00:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,26.11,25.599999999999998,0.0,0.51
2025-03-24T03:00:00-04:00,2025-03-24 07:00:00+00:00,2025-03-24T03:05:00-04:00,2025-03-24 07:05:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,25.75,25.24,0.0,0.51
2025-03-24T03:05:00-04:00,2025-03-24 07:05:00+00:00,2025-03-24T03:10:00-04:00,2025-03-24 07:10:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,25.79,25.43,-0.13,0.49
2025-03-24T03:10:00-04:00,2025-03-24 07:10:00+00:00,2025-03-24T03:15:00-04:00,2025-03-24 07:15:00+00:00,AECO,REAL_TIME_5_MIN,51291,AECO,ZONE,27.41,27.05,-0.17,0.53
