interval_start_utc,iso,location,lmp,energy,congestion,loss,iso_location
2025-03-24 04:00:00+00:00,ISONE,.H.INTERNAL_HUB,38.61,38.3,0.0,0.31,ISONE_.H.INTERNAL_HUB
2025-03-24 04:00:00+00:00,NYISO,CAPITL,55.15,53.24,-0.0,1.91,NYISO_CAPITL
2025-03-24 04:00:00+00:00,OHIO,OHIO HUB,26.13,26.75,0.5,-1.12,OHIO_OHIO HUB
2025-03-24 04:00:00+00:00,PJM,AECO,28.05,26.75,0.42,0.88,PJM_AECO
2025-03-24 04:05:00+00:00,ISONE,.H.INTERNAL_HUB,38.61,38.3,0.0,0.31,ISONE_.H.INTERNAL_HUB
2025-03-24 04:05:00+00:00,NYISO,CAPITL,55.15,53.29,-0.0,1.86,NYISO_CAPITL
2025-03-24 04:05:00+00:00,OHIO,OHIO HUB,25.6,18.32,8.07,-0.79,OHIO_OHIO HUB
2025-03-24 04:05:00+00:00,PJM,AECO,23.71,18.32,4.78,0.61,PJM_AECO
2025-03-24 04:10:00+00:00,ISONE,.H.INTERNAL_HUB,38.61,38.31,0.0,0.3,ISONE_.H.INTERNAL_HUB
2025-03-24 04:10:00+00:00,NYISO,CAPITL,57.74,55.74,-0.0,2.0,NYISO_CAPITL
2025-03-24 04:10:00+00:00,OHIO,OHIO HUB,26.26,20.380000000000003,6.77,-0.89,OHIO_OHIO HUB
2025-03-24 04:10:00+00:00,PJM,AECO,24.71,20.38,3.6,0.73,PJM_AECO
2025-03-24 04:15:00+00:00,ISONE,.H.INTERNAL_HUB,40.82,40.51,0.0,0.31,ISONE_.H.INTERNAL_HUB
2025-03-24 04:15:00+00:00,NYISO,CAPITL,56.35,54.34,-0.0,2.01,NYISO_CAPITL
2025-03-24 04:15:00+00:00,OHIO,OHIO HUB,22.61,23.59,0.06,-1.04,OHIO_OHIO HUB
2025-03-24 04:15:00+00:00,PJM,AECO,24.65,23.59,0.23,0.83,PJM_AECO
2025-03-24 04:20:00+00:00,ISONE,.H.INTERNAL_HUB,38.59,38.31,0.0,0.28,ISONE_.H.INTERNAL_HUB
2025-03-24 04:20:00+00:00,NYISO,CAPITL,55.1,53.13,-0.0,1.97,NYISO_CAPITL
2025-03-24 04:20:00+00:00,OHIO,OHIO HUB,22.5,23.47,0.07,-1.04,OHIO_OHIO HUB
2025-03-24 04:20:00+00:00,PJM,AECO,24.52,23.47,0.27,0.78,PJM_AECO
2025-03-24 04:25:00+00:00,ISONE,.H.INTERNAL_HUB,38.59,38.31,0.0,0.28,ISONE_.H.INTERNAL_HUB
2025-03-24 04:25:00+00:00,NYISO,CAPITL,52.37,50.5,-0.0,1.87,NYISO_CAPITL
2025-03-24 04:25:00+00:00,OHIO,OHIO HUB,28.85,20.94,8.85,-0.94,OHIO_OHIO HUB
2025-03-24 04:25:00+00:00,PJM,AECO,26.4,20.94,4.78,0.68,PJM_AECO
2025-03-24 04:30:00+00:00,ISONE,.H.INTERNAL_HUB,38.62,38.36,0.0,0.26,ISONE_.H.INTERNAL_HUB
2025-03-24 04:30:00+00:00,NYISO,CAPITL,52.32,50.45,-0.0,1.87,NYISO_CAPITL
2025-03-24 04:30:00+00:00,OHIO,OHIO HUB,26.5,18.4,8.93,-0.83,OHIO_OHIO HUB
2025-03-24 04:30:00+00:00,PJM,AECO,24.1,18.4,5.09,0.61,PJM_AECO
2025-03-24 04:35:00+00:00,ISONE,.H.INTERNAL_HUB,38.61,38.35,0.0,0.26,ISONE_.H.INTERNAL_HUB
2025-03-24 04:35:00+00:00,NYISO,CAPITL,45.54,43.91,-0.0,1.63,NYISO_CAPITL
2025-03-24 04:35:00+00:00,OHIO,OHIO HUB,33.41,25.7,8.8,-1.09,OHIO_OHIO HUB
2025-03-24 04:35:00+00:00,PJM,AECO,31.29,25.7,4.79,0.8,PJM_AECO
2025-03-24 04:40:00+00:00,ISONE,.H.INTERNAL_HUB,38.61,38.35,0.0,0.26,ISONE_.H.INTERNAL_HUB
2025-03-24 04:40:00+00:00,NYISO,CAPITL,45.5,43.88,-0.0,1.62,NYISO_CAPITL
2025-03-24 04:40:00+00:00,OHIO,OHIO HUB,29.53,30.68,0.1,-1.25,OHIO_OHIO HUB
2025-03-24 04:40:00+00:00,PJM,AECO,31.98,30.68,0.42,0.88,PJM_AECO
2025-03-24 04:45:00+00:00,ISONE,.H.INTERNAL_HUB,40.41,40.13,0.0,0.28,ISONE_.H.INTERNAL_HUB
2025-03-24 04:45:00+00:00,NYISO,CAPITL,44.09,42.52,-0.0,1.57,NYISO_CAPITL
2025-03-24 04:45:00+00:00,OHIO,OHIO HUB,25.2,26.24,0.01,-1.05,OHIO_OHIO HUB
2025-03-24 04:45:00+00:00,PJM,AECO,26.99,26.24,0.04,0.71,PJM_AECO
2025-03-24 04:50:00+00:00,ISONE,.H.INTERNAL_HUB,38.68,38.42,0.0,0.26,ISONE_.H.INTERNAL_HUB
2025-03-24 04:50:00+00:00,NYISO,CAPITL,44.09,42.52,-0.0,1.57,NYISO_CAPITL
2025-03-24 04:50:00+00:00,OHIO,OHIO HUB,32.17,22.23,10.78,-0.84,OHIO_OHIO HUB
2025-03-24 04:50:00+00:00,PJM,AECO,28.52,22.23,5.73,0.56,PJM_AECO
2025-03-24 04:55:00+00:00,ISONE,.H.INTERNAL_HUB,38.68,38.42,0.0,0.26,ISONE_.H.INTERNAL_HUB
2025-03-24 04:55:00+00:00,NYISO,CAPITL,42.69,41.21,-0.0,1.48,NYISO_CAPITL
2025-03-24 04:55:00+00:00,OHIO,OHIO HUB,26.2,27.02,0.19,-1.01,OHIO_OHIO HUB
2025-03-24 04:55:00+00:00,PJM,AECO,27.81,27.02,0.13,0.66,PJM_AECO
2025-03-24 05:00:00+00:00,ERCOT,HB_HOUSTON,27.25,,,,ERCOT_HB_HOUSTON
2025-03-24 05:00:00+00:00,ILLINOIS,ILLINOIS.HUB,19.62,24.860000000000003,-4.05,-1.19,ILLINOIS_ILLINOIS.HUB
2025-03-24 05:00:00+00:00,ISONE,.H.INTERNAL_HUB,38.68,38.42,0.0,0.26,ISONE_.H.INTERNAL_HUB
2025-03-24 05:00:00+00:00,NYISO,CAPITL,40.89,39.39,-0.0,1.5,NYISO_CAPITL
2025-03-24 05:00:00+00:00,OHIO,OHIO HUB,33.93,35.2,0.08,-1.35,OHIO_OHIO HUB
