interval_start_utc,CAISO_TH_NP15_GEN-APND,ERCOT_HB_HOUSTON,ILLINOIS_ILLINOIS.HUB,ISONE_.H.INTERNAL_HUB,NYISO_CAPITL,OHIO_OHIO HUB,PJM_AECO,SPP_SPPSOUTH_HUB
2025-03-24 04:00:00+00:00,,,,38.61,55.15,26.13,28.05,
2025-03-24 04:05:00+00:00,,,,38.61,55.15,25.6,23.71,
2025-03-24 04:10:00+00:00,,,,38.61,57.74,26.26,24.71,
2025-03-24 04:15:00+00:00,,,,40.82,56.35,22.61,24.65,
2025-03-24 04:20:00+00:00,,,,38.59,55.1,22.5,24.52,
2025-03-24 04:25:00+00:00,,,,38.59,52.37,28.85,26.4,
2025-03-24 04:30:00+00:00,,,,38.62,52.32,26.5,24.1,
2025-03-24 04:35:00+00:00,,,,38.61,45.54,33.41,31.29,
2025-03-24 04:40:00+00:00,,,,38.61,45.5,29.53,31.98,
2025-03-24 04:45:00+00:00,,,,40.41,44.09,25.2,26.99,
2025-03-24 04:50:00+00:00,,,,38.68,44.09,32.17,28.52,
2025-03-24 04:55:00+00:00,,,,38.68,42.69,26.2,27.81,
2025-03-24 05:00:00+00:00,,27.25,19.62,38.68,40.89,33.93,36.28,25.5081
2025-03-24 05:05:00+00:00,,27.13,19.19,38.59,37.7,31.46,30.34,26.2109
2025-03-24 05:10:00+00:00,,28.25,18.33,38.59,37.77,28.52,30.48,26.2085
2025-03-24 05:15:00+00:00,,28.28,18.06,38.59,39.37,33.46,30.48,26.7354
2025-03-24 05:20:00+00:00,,28.56,16.02,38.62,39.37,28.49,30.51,26.0502
2025-03-24 05:25:00+00:00,,28.63,13.61,38.62,37.98,30.3,30.76,25.9796
2025-03-24 05:30:00+00:00,,28.72,17.71,36.78,39.41,30.3,30.76,25.6854
2025-03-24 05:35:00+00:00,,29.14,18.65,36.78,37.98,26.56,27.73,13.0021
2025-03-24 05:40:00+00:00,,29.41,17.88,34.67,37.85,29.46,30.53,25.7168
2025-03-24 05:45:00+00:00,,29.19,19.15,34.67,37.85,27.01,28.14,25.9046
2025-03-24 05:50:00+00:00,,29.11,18.31,34.79,37.6,32.66,30.64,25.8148
2025-03-24 05:55:00+00:00,,29.14,18.19,34.79,37.56,29.18,30.18,25.7037
2025-03-24 06:00:00+00:00,,28.89,19.07,35.8,37.36,26.99,28.01,25.042
2025-03-24 06:05:00+00:00,,28.88,10.28,35.8,37.28,26.65,27.59,24.9907
2025-03-24 06:10:00+00:00,,28.49,16.9,36.66,37.18,26.48,27.41,25.2851
2025-03-24 06:15:00+00:00,,27.5,19.38,36.67,37.22,23.8,25.05,26.1029
2025-03-24 06:20:00+00:00,,25.46,19.52,36.67,35.59,24.47,25.82,25.6754
2025-03-24 06:25:00+00:00,,25.03,19.44,36.7,32.98,22.85,24.2,25.2709
2025-03-24 06:30:00+00:00,,25.24,19.4,36.7,32.98,23.73,25.04,24.8818
2025-03-24 06:35:00+00:00,,25.75,19.43,35.42,32.98,25.23,26.46,24.9125
2025-03-24 06:40:00+00:00,,26.19,19.66,34.75,32.64,25.22,26.53,24.9256
2025-03-24 06:45:00+00:00,,27.65,20.09,33.27,32.64,24.81,26.14,25.1085
2025-03-24 06:50:00+00:00,,29.16,19.76,33.27,32.64,24.66,25.79,25.0051
2025-03-24 06:55:00+00:00,,28.11,20.88,34.04,31.29,24.74,26.11,25.5367
2025-03-24 07:00:00+00:00,33.82879,26.21,20.17,34.04,32.64,24.5,25.75,25.1412
2025-03-24 07:05:00+00:00,34.53201,26.25,19.76,32.73,31.29,24.83,25.79,24.9424
2025-03-24 07:10:00+00:00,32.59188,25.3,20.18,32.73,31.23,26.44,27.41,24.9631
2025-03-24 07:15:00+00:00,32.66328,25.27,20.4,32.13,31.29,26.11,27.41,25.2548
2025-03-24 07:20:00+00:00,32.66922,24.44,19.51,32.13,31.26,26.02,26.99,25.0259
2025-03-24 07:25:00+00:00,32.95478,24.51,20.26,31.86,31.23,26.03,27.59,24.6773
2025-03-24 07:30:00+00:00,32.7952,24.73,17.85,31.86,31.23,22.21,23.54,24.5976
2025-03-24 07:35:00+00:00,32.72066,24.11,19.16,31.45,31.23,23.97,25.22,24.4387
2025-03-24 07:40:00+00:00,32.28776,23.38,19.14,31.45,31.17,24.97,26.28,24.6201
2025-03-24 07:45:00+00:00,31.38341,23.14,20.25,31.65,31.17,24.86,26.36,24.513
2025-03-24 07:50:00+00:00,31.34114,22.9,19.65,31.67,31.17,29.07,30.25,24.4901
2025-03-24 07:55:00+00:00,31.34114,23,20.02,31.67,32.61,27.66,28.15,24.9837
2025-03-24 08:00:00+00:00,31.79871,21.3,19.64,31.67,34,24.69,25.62,25.4534
2025-03-24 08:05:00+00:00,31.79871,22.65,19.62,31.88,35.31,24.68,25.52,24.4038
2025-03-24 08:10:00+00:00,31.48255,22.68,19.78,31.88,35.25,24.36,25.2,24.6037
2025-03-24 08:15:00+00:00,31.40974,22.86,20.94,32.06,33.69,24.58,25.83,24.8422
2025-03-24 08:20:00+00:00,31.32987,23.03,20.58,32.06,33.69,27.18,27.52,24.6163
2025-03-24 08:25:00+00:00,31.10797,22.04,20.74,31.89,33.27,25.59,26.87,24.9158
2025-03-24 08:30:00+00:00,30.56758,22.15,20.52,31.89,34,23.75,24.95,24.9995
2025-03-24 08:35:00+00:00,30.95849,22.2,20.96,31.62,35.22,35.14,36.78,24.8968
2025-03-24 08:40:00+00:00,30.39295,22.41,20.71,31.62,35.34,28.12,28.15,25.0322
2025-03-24 08:45:00+00:00,30.46717,22.46,21.06,31.28,35.34,25.8,27.08,24.9318
2025-03-24 08:50:00+00:00,30.4446,21.94,21.06,31.28,36.97,26.23,27.47,24.8617
2025-03-24 08:55:00+00:00,30.4027,21.6,21.2,32.71,35.42,24.47,25.6,24.9187
2025-03-24 09:00:00+00:00,30.63122,21.59,20.49,32.39,37.38,29.27,26.92,25.1573
2025-03-24 09:05:00+00:00,30.42285,22.22,21.14,32.78,42.61,28.26,29.57,25.0299
2025-03-24 09:10:00+00:00,30.70634,22.91,20.97,32.78,37.7,30.9,32.38,25.142
2025-03-24 09:15:00+00:00,30.19181,23.51,21.2,38.75,37.67,30.64,30.82,25.3835
2025-03-24 09:20:00+00:00,29.68593,23.18,21.39,38.79,37.67,40.04,41.68,25.4297
2025-03-24 09:25:00+00:00,29.39067,22.86,21.91,38.76,37.59,137.11,63.39,40.5545
2025-03-24 09:30:00+00:00,28.88612,22.77,21.52,38.76,42.57,114.09,78.2,34.5953
2025-03-24 09:35:00+00:00,28.70932,22.7,18.55,38.75,41.89,192.71,184.15,29.1134
2025-03-24 09:40:00+00:00,28.5675,23.39,24.14,38.75,39.42,113.14,115.11,29.2882
2025-03-24 09:45:00+00:00,28.49722,22.84,25.23,38.75,42.57,51.68,51.8,27.6685
2025-03-24 09:50:00+00:00,28.40438,22.72,25.38,41.91,42.94,30.09,28.19,24.8164
2025-03-24 09:55:00+00:00,28.86774,22.5,25.97,41.91,34.99,34.62,29.69,25.5637
2025-03-24 10:00:00+00:00,30.50118,22.56,24.26,35,39.23,39.19,25.75,25.959
2025-03-24 10:05:00+00:00,30.50003,23.09,25.53,37.57,43.84,39.8,26.11,32.4808
2025-03-24 10:10:00+00:00,30.79391,23.76,29.45,40.88,43.84,40.53,30.5,32.7246
2025-03-24 10:15:00+00:00,30.6797,24.05,25.91,40.88,42.97,39.63,30.55,32.3446
2025-03-24 10:20:00+00:00,30.74935,23.87,27.03,47.79,46.64,67.11,36.52,32.9736
2025-03-24 10:25:00+00:00,30.79105,24.21,28.26,67.09,49.17,42.23,44.3,37.2045
2025-03-24 10:30:00+00:00,30.86449,24.47,30.24,67.11,50.33,77.43,32.88,39.2618
2025-03-24 10:35:00+00:00,30.97313,25.25,32.93,68.14,57.93,115.22,62.91,39.6753
2025-03-24 10:40:00+00:00,31.04991,27.51,31.08,68.14,55.87,63.19,52.66,41.1341
2025-03-24 10:45:00+00:00,31.09545,28.35,26.38,67.09,53.9,98.1,73.07,43.0028
2025-03-24 10:50:00+00:00,30.74688,28.38,28.46,67.03,55.88,101.98,68.94,41.4183
2025-03-24 10:55:00+00:00,30.31087,32.95,26.01,67.03,39.78,135.02,39.22,41.6985
2025-03-24 11:00:00+00:00,25.39918,29.52,26.2,57.51,41.77,107.47,41.61,24.156
2025-03-24 11:05:00+00:00,26.48095,30.92,30.84,57.51,45.37,97.15,87.66,20.5441
2025-03-24 11:10:00+00:00,27.85827,33.73,26.15,57.51,58.59,97.75,85.73,38.137
2025-03-24 11:15:00+00:00,28.50366,33.55,37.37,73.01,73.38,33.6,39.59,36.9769
2025-03-24 11:20:00+00:00,29.10522,34.54,34.72,60.48,93.62,103.61,64.72,35.4649
2025-03-24 11:25:00+00:00,29.57819,38.26,37.03,60.48,95.51,56.51,34.1,34.673
2025-03-24 11:30:00+00:00,29.88779,39.68,36.86,48.63,113.56,118.06,59.93,36.6843
2025-03-24 11:35:00+00:00,30.58566,35.75,39.63,58.12,104.77,145.76,121.72,30.5223
2025-03-24 11:40:00+00:00,30.59052,35.76,84.2,60.8,93.81,143.72,119.23,28.8343
2025-03-24 11:45:00+00:00,31.47422,36.91,173.24,60.8,73.61,96.41,82.43,33.2484
2025-03-24 11:50:00+00:00,31.53843,35.09,45.05,73.2,93.93,46.67,47.46,31.8536
2025-03-24 11:55:00+00:00,33.224,38.42,44.75,73.2,72.86,82.86,124.43,24.2924
